Authors,Title
"md. asif kamal, prodhan mahbub ibna seraj, fatema begum","""teachers’ perceptions on corrective feedback in task-based language teaching (tblt) and content and language integrated learning (clil) contexts in bangladesh"""
farhat tasannum farah,N/A
farhat tasannum farah,N/A
"biswas, buddha dev and khan, ashrafuzzaman","""the dilemma of unlawful digital interventions and their impacts on the rohingya community during the covid-19 pandemic"""
"klimova, b., & khan, r.","""visualizing research trends in english language teaching ( elt ) from 2013 to 2022 : a bibliometric analysis"""
"dr. arifatul kibria, jamiul hasan","""a study on revised curriculum and educational trends in bangladesh"""
"akibur rahman khan, dr. sayeedur rahman","""dealing with language learning anxiety and the role of teachers in ensuring anxiety-free foreign language classrooms"""
risala ahmed,"""integrating indigenous languages into textbooks for ethnic minority students in bangladesh: empirical research on challenges and potential solutions"""
"ibna seraj, p. m., klimova, b., & muthmainnah, m.","""a systematic review on the factors related to cyberbullying for learners' wellbeing"""
dr. sabuktagin rahman,"""role of low amount of iron intake from groundwater for prevention of anemia in children: a cross-sectional study in rural bangladesh"""
"islam, md tamzidul, islam, md hasibul, & kamal, md. asif","""role of habit in household waste recycling behavior: evidence from an emerging country"""
"md. saiful alam, adelina asmawi, mohammad hamidul haque, md. nurullah patwary, md. mohib ullah, sayeda fatema",N/A
"robayet ferdous syed,kazi tanvir mahmud, jinat hossain, & shaira matin",N/A
"fatema begum, md asif kamal",N/A
"mt islam, bms hossain","""an evaluation of tax policy in bangladesh: perspective from different professional"""
"b. m. sajjad hossain, abdur rahman","""remittance inflow to bangladesh: post covid-19 strategies"""
"kazi dawood hafiz , mohammad rukanuddin, kh atikur rahman, and prodhan mahbub ibna seraj","""rethinking the acculturation model : implications for theory"""
"risala ahmed, shihab saqib","""impact of social media method for retake students of english for academic purpose courses"""
"dr. md taufiqul islam, dr. b m sajjad hossain",N/A
maria mollah,N/A
"farhana afroz, bm sajjad hossain, mohammad abu taher, jubayer ahamed","""establishing democracy in bangladesh: evaluating the role of media"""
jinat hossain; kazi tanvir mahmud and shejuti haque,"""does land ownership really improve the decision-making capacity of the rural women? reflections from bangladesh"""
"yesmin, farjana; siddique, shahrina afrin","""possibility of using jamboard for interactive remote efl teaching and learning: a survey of students' perception"""
md. nasir uddin,N/A
"lurwanu sani, dr. arifatul kibria",N/A
dr. ashrafuzzaman khan,N/A
taslima monsoor,N/A
dr. md. asif kamal,N/A
md. saiful alam; adelina; mohammad hamidul haque; md. mohib ullah; nurullah patwary; sayeda fatema; humayra akhter,"""an appreciation of the efl teacher model in bangladesh: a content analysis of job advertisements"""
single author,N/A
single,N/A
single,N/A
"rahman, k. a., rukanuddin, m., sabrina, m. y. c., ahmed, s., & ibna seraj, p. m.","""recognizing stakeholders and factors mediating washback in language testing."""
"klímová, b., & ibna seraj, p. m.","""the use of chatbots in university efl settings : research trends and pedagogical implications. , 14(1131506), 1–7."""
"muthmainnah, al yakin, a., & ibna seraj, p. m.","""impact of metaverse technology on student engagement and academic performance: the mediating role of learning motivation"""
"moninoor, m., ibna seraj, p.m.","""interrogating higher education ’ s responses to international student mobility in the context of the covid-19 pandemic."""
