Author Name,Author ID
M.N.Y. Ali,ju_author_0
J.K. Das,ju_author_1
S.M. Abdullah  Al  Mamun,ju_author_2
M.E.H. Choudhury,ju_author_3
M. Ameer Ali,ju_author_4
A. M. Nurannabi,ju_author_5
M. Z. H. Sarker,ju_author_6
G.A. Farook,ju_author_7
S. Al Noor,ju_author_8
M. Z. Hossain,ju_author_9
S. M. Allayear,ju_author_10
Aloke Kumar Saha,ju_author_11
Jugal Krishna Das,ju_author_12
M.F. Mridha,ju_author_13
Jahir Ibna Rafiq,ju_author_14
Jugal K Das,ju_author_15
M. F. Mridha,ju_author_16
Jahir Ibna Rafiq and Jugal Krishna Das,ju_author_17
Md. Firoz Mridha,ju_author_18
Molla Rashied Hussein and Jugal Krishna Das,ju_author_19
Muhammad F. Mridha,ju_author_20
Aloke Kumar Saha and Jugal Krishna Das,ju_author_21
Muhammad F. Mridha and Jugal Krishna Das,ju_author_22
Shammi Akhtar and Jugal Krishna Das,ju_author_23
Kamal Kanti Biswas,ju_author_24
and Jugal Krishna Das,ju_author_25
Manoj Banik,ju_author_26
Muhammad Firoz Mridha,ju_author_27
Md. Nawab Yousuf Ali,ju_author_28
Mohammad Nurul Huda,ju_author_29
Chowdhury Mofizur Rahman,ju_author_30
Md. Zakir Hossain,ju_author_31
Nusrat Sultana,ju_author_32
Rumana Yasmin,ju_author_33
Bijon Mallik,ju_author_34
Mohammad Shorif Uddin,ju_author_35
Kanija Muntarina,ju_author_36
Rafid Mostafiz,ju_author_37
Sumaita Binte Shorif,ju_author_38
Fahmida Khanom,ju_author_39
Shuvo Biswas,ju_author_40
Ohiduzzaman,ju_author_41
Mahmudul Hasan,ju_author_42
Shiming Zhang,ju_author_43
Shayla Sharmin,ju_author_44
Mohammad Riadur Rashid,ju_author_45
Tania Khatun,ju_author_46
Md Zahid Hasan,ju_author_47
Marzia,ju_author_48
Md. Masum Billah,ju_author_49
Azmery Sultana,ju_author_50
Rakin Sad Aftab,ju_author_51
Mir Maruf Ahmed,ju_author_52
Bikash Kumar Paul,ju_author_53
Sk. Fahmida Islam,ju_author_54
Nayan Chakrabarty,ju_author_55
Md. Masudul Islam,ju_author_56
Galib Muhammad Shahriar Himel,ju_author_57
Md. Golam Moazzam,ju_author_58
Mahbuba Begum,ju_author_59
Jannatul Ferdush,ju_author_60
Tony Jan,ju_author_61
Alistair Barros,ju_author_62
Md Whaiduzzaman,ju_author_63
Md. Asraful Sharker Nirob,ju_author_64
Prayma Bishshash,ju_author_65
Morium Akter,ju_author_66
Muhammad Kamal Hossen and Mohammad Shorif Uddin,ju_author_67
Abdur Razzak,ju_author_68
Md. Shofiul Islam,ju_author_69
Shinthi Tasnim Himi,ju_author_70
Natasha Tanzila Monalisa,ju_author_71
Mostafiz Ahammed,ju_author_72
Md. Al Mamun,ju_author_73
Musfika Jahan,ju_author_74
Md. Solaiman Kabir,ju_author_75
Umme Sara,ju_author_76
Aditya Rajbongshi,ju_author_77
Rashiduzzaman Shakil,ju_author_78
Bonna Akter,ju_author_79
Md. Sabab Zulfiker,ju_author_80
Nasrin Kabir,ju_author_81
Al Amin Biswas,ju_author_82
Sunjare Zulfiker,ju_author_83
Khandaker Mohammad Mohi Uddin,ju_author_84
Mohammad Motiur Rahman,ju_author_85
Sadia Sazzad,ju_author_86
Iffat Jabin,ju_author_87
Muhammad Minoar Hossain,ju_author_88
Fauzia Yasmeen and Mohammad Shorif Uddin,ju_author_89
Mohammad Meraj Khan,ju_author_90
Mohammad Zavid Parvez,ju_author_91
Lutfur Nahar,ju_author_92
Jia Uddin,ju_author_93
Mahbuba Begum and Mohammad Shorif Uddin,ju_author_94
Md. Zahid Hasan,ju_author_95
Mohammad Shahidul Islam,ju_author_96
Tarek Habib,ju_author_97
Md. Jueal Mia,ju_author_98
Faruk Ahmed,ju_author_99
Farhana Binte Hasan,ju_author_100
Md. Asadur Rahman,ju_author_101
Anika Anjum,ju_author_102
Md. Mahmudul Haque Milu,ju_author_103
Farzana Khanam,ju_author_104
Md. Nurunnabi Mollah,ju_author_105
