Author Name,Author ID
Md. Abdullah Al Mumin,sust_author_0
Abu Awal Md. Shoeb,sust_author_1
Mohammad Reza Selim and M. Zafar Iqbal,sust_author_2
Md. Reza Selim and M. Zafar Iqbal,sust_author_3
Mohammad Iftekhar Ahmed,sust_author_4
Mohammad Alauddin Bhuiyan,sust_author_5
Mohammad Reza Selim and Muhammed Zafar Iqbal,sust_author_6
Arun Krishna Paul and Md. Abdullah Al Mumin,sust_author_7
Sabir Ismail,sust_author_8
Md. Shahidur Rahman and Md. Abdullah Al Mumin,sust_author_9
Ahmed Yunus,sust_author_10
Md Masum,sust_author_11
Quazi Ishtiaque Mahmud,sust_author_12
Noymul Islam Chowdhury,sust_author_13
Md. Masum,sust_author_14
Muhammad Raisul Alam and Shafiul Hasan Md Tareq,sust_author_15
Md. Hasibur Rashid Chayon,sust_author_16
Tawhidur Rahman and Md. Forhad Rabbi,sust_author_17
Syed Nuruzzaman and Md. Nazimul Haque,sust_author_18
Muhammad Raisul Alam,sust_author_19
Md. Mostafizur Rahman and Md. Arifur Rahman,sust_author_20
Saiful Hasan,sust_author_21
Shah Minul Amin,sust_author_22
Md Abul Khayer,sust_author_23
Md shohel Rana,sust_author_24
Md Ashraf Hossain,sust_author_25
Md Masum and M Muztaba Fuad,sust_author_26
Dr. M Zafar Iqbal,sust_author_27
Samin,sust_author_28
A. M.,sust_author_29
Kobir,sust_author_30
M. H.,sust_author_31
Rafee,sust_author_32
M. M. S.,sust_author_33
Ahmed,sust_author_34
M. F.,sust_author_35
Hasan,sust_author_36
M.,sust_author_37
Ghosh,sust_author_38
P.,sust_author_39
... & Rahman,sust_author_40
M. S.,sust_author_41
Islam,sust_author_42
M. R.,sust_author_43
Ahmad,sust_author_44
A.,sust_author_45
& Rahman,sust_author_46
Hosain,sust_author_47
Sugiura,sust_author_48
Y.,sust_author_49
Rahman,sust_author_50
& Shimamura,sust_author_51
T.,sust_author_52
Shahrear,sust_author_53
Saha,sust_author_54
G.,sust_author_55
Ataullha,sust_author_56
Sultana,sust_author_57
S.,sust_author_58
Iqbal,sust_author_59
M. Z.,sust_author_60
Selim,sust_author_61
Rashid,sust_author_62
M. M.,sust_author_63
Kibria,sust_author_64
& Iqbal,sust_author_65
Chowdhury,sust_author_66
H. A.,sust_author_67
H. A. and Rahman,sust_author_68
Chowdhury Husne A. and Rahman M. S.,sust_author_69
Ishraq,sust_author_70
Khadka,sust_author_71
N.,sust_author_72
Samir,sust_author_73
M.R.,sust_author_74
M.Z.,sust_author_75
M.S.,sust_author_76
Rahman M. S. and Shimamura T.,sust_author_77
Akter M.,sust_author_78
Rahman M. S,sust_author_79
Iqbal M. Z. and Selim M. R.,sust_author_80
Habib A,sust_author_81
Islam M. J. and Rahman M. S.,sust_author_82
Ahmad A.,sust_author_83
Selim M.R.,sust_author_84
Iqbal M.Z. and Rahman M.S.,sust_author_85
Habib A. and Rahman M. S.,sust_author_86
Sadat,sust_author_87
A. M. and Rahman,sust_author_88
M. A. R.,sust_author_89
Yasmin,sust_author_90
R.,sust_author_91
Das,sust_author_92
D.,sust_author_93
Hoque,sust_author_94
Pramanik,sust_author_95
M. I.,sust_author_96
and Rahman,sust_author_97
Habib A.,sust_author_98
Hoque M. L.,sust_author_99
Rahman M. S.,sust_author_100
Hasan M. R.,sust_author_101
Rashid M. M.,sust_author_102
Hussain M. A.,sust_author_103
Haque M. M.,sust_author_104
Islam M. S,sust_author_105
Hasan M. M. and Rahman M. S.,sust_author_106
Bashar M. A.,sust_author_107
Chowdhury M. A.,sust_author_108
Islam R.,sust_author_109
Das S. K.,sust_author_110
Karmakar C. K.,sust_author_111
Shams S.M.,sust_author_112
and Iqbal M. Z.,sust_author_113
Rahman M. S. and Iqbal M. Z.,sust_author_114
A Jahan,sust_author_115
I.,sust_author_116
Jahan Mim,sust_author_117
& Shahidur Rahman,sust_author_118
J.,sust_author_119
Siddik,sust_author_120
A. D. & Rahman,sust_author_121
Baig,sust_author_122
M. N.,sust_author_123
Owishi,sust_author_124
N. A.,sust_author_125
A. Debnath,sust_author_126
B. Karmokar and M. S. Rahman,sust_author_127
A. D. Dristy,sust_author_128
M. T. Hossain and M. S. Rahman,sust_author_129
M. Mosleh,sust_author_130
M. A. Sayem,sust_author_131
M. Shahidur Rahman and M. S. Islam,sust_author_132
M. Ataullha,sust_author_133
M. Rahman and M. Shahidur Rahman,sust_author_134
M. M. Hasan Jibon,sust_author_135
D. Mahinur Alam and M. S. Rahman,sust_author_136
Tui,sust_author_137
N. N.,sust_author_138
Hamza,sust_author_139
Alom,sust_author_140
Eshita,sust_author_141
R. M.,sust_author_142
Harun,sust_author_143
A. I.,sust_author_144
Ferdous,sust_author_145
Shuhan,sust_author_146
M. K. B.,sust_author_147
M. J. M.,sust_author_148
Bhattacharjee,sust_author_149
Raju,sust_author_150
R. S.,sust_author_151
A. J. F. Samed,sust_author_152
S. S. Alam,sust_author_153
K. Elahi and E Nobi,sust_author_154
Mezanul Hoque Chy,sust_author_155
Md. Ashrafuzzaman Mollah and Mohammad Reza Selim,sust_author_156
Mohammad Reza Selim,sust_author_157
Mohammed Ziaur Rahman,sust_author_158
MD. Abdul Awal Ansary,sust_author_159
