Authors,Title
"Zarif Ikram, Dianbo Liu, M Saifur Rahman","Antibody sequence optimization with gradient-guided discrete walk-jump sampling"
"Abrar Rahman Abir, Md Toki Tahmid, M Saifur Rahman","Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model"
"Abrar Rahman Abir, Rafiqul Islam Rayan, Md Toki Tahmid, M Saifur Rahman","Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model"
"Abrar Rahman Abir, Md Toki Tahmid, M Saifur Rahman","LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning"
"Rabina Awal, Mahmuda Naznin, Tanvir R. Faisal","Machine Learning Based Finite Element Analysis (FEA) Surrogate for Hip Fracture Risk Assessment and Visualization"
"Saha Gourab, Sawmya Shashata, Saha Arpita, Akil Md Ajwad, Tasnim Sadia, Rahman Md Saifur, Rahman M Sohel","PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information"
"Zarif Ikram, Dianbo Liu, M Saifur Rahman","Gradient-guided discrete walk-jump sampling for biological sequence generation"
"Sheikh Azizul Hakim, Md Rownok Zahan Ratul, Md Shamsuzzoha Bayzid","wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs"
"Mursalin Habib, Kowshic Roy, Saem Hasan, Atif Hasan Rahman, Md Shamsuzzoha Bayzid","Terraces in species tree inference from gene trees"
"Ramisa Alam, Sazan Mahbub, Md Shamsuzzoha Bayzid","Pair-EGRET: enhancing the prediction of protein–protein interaction sites through graph attention networks and protein language models"
"Sadia Sharmin","Evolution of user behaviour on social media during 2018 road safety movement in Bangladesh"
"Farhin Faiza Neha, Yuan-Cheng Lai, Md. Shohrab Hossain, Ying-Dar Lin","Prioritization and offloading in P4 switch integrated with NFV"
"Ratul Sikder, Md. Shohrab Hossain, Mohammed J.F. Alenazi, Mohammed Atiquzzaman","A Relaxed and Faster Switch Migration Framework to Balance the Load of Distributed Control Plane in Software Defined Networks"
"Asad Ali, Minhajul Islam, Tushin Mallick, Mohammad Sakibul Islam, Sadman Sakib, Md. Shohrab Hossain, Ying-Dar Lin","3GPP Edge-Fog Federation: Transparent 3rd-Party Authentication and Application Mobility"
"Md. Shamim Ahsan, Md. Shariful Islam, Md. Shohrab Hossain, Anupam Das","Detecting Smart Home Device Activities Using Packet-Level Signatures from Encrypted Traffic"
"Md Shohel Khan, Rubaiyat Sha Fardin Siam, Muhammad Abdullah Adnan","A Framework for Checking and Mitigating the Security Vulnerabilities of Cloud Service RESTful API"
"Islam Rubyeat, Rahman Atif","An Alignment-Free Method for Detection of Missing Regions for Phylogenetic Analysis"
"Roy Nilanjan, Kabir Acramul Haque, Zahan Nourin, Mouna Shahba Tasmiya, Chakravarty Sakshar, Rahman Atif Hasan, Md Shamsuzzoha Bayzid","Genome wide association studies on seven yield-related traits of 183 rice varieties in Bangladesh"
"Saha Shoumik, Afroz Sadia, Rahman Atif Hasan","MAlign: Explainable static raw-byte based malware family classification using sequence alignment"
"Yafi Mashrur Ahmed, Hisham Md Hasibul Husain, Grisanti Francisco, Martin James F, Rahman Atif, Samee Md Abul Hassan","scGIST: gene panel design for spatial transcriptomics with prioritized gene sets"
"Meher Afroz, Muntaka Ibnath, Ashikur Rahman, Jakia Sultana, Raqeebir Rab","On Feature Selection Algorithms for Effective Botnet Detection (Journal)"
"Sheikh Azizul Hakim, Rahnuma Islam Nishat, Md Saidur Rahman","Approximation algorithms for maximum weighted internal spanning trees in regular graphs and subdivisions of graphs"
"Md. Masum Mushfiq, Tarik Reza Toha, Saiful Islam Salim","A Two-Tier Classification Model for Financial Fraud Detection"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
"Md. Ashiqur Rahman, Abdullah Aman Tutul, A. B. M. Alim Al Islam","A hybrid protocol for wireless sensor network"
