Title,Authors
Developing an Islamic Farayez System Applying Software Engineering,"Sadia Tabassum, A. H. M. Sajedul Hoque, Sharaban Twahura and Mohammad Osiur Rahman"
"UKM press, Journal of Engineering, April - 2019",This paper proposes computational models for computing shares of deceased according to Islamic Farayez and justifies the proposed models applying 10 complex real cases.
A Systematic Review of Electronic Health Record - Based Disease Prediction Approaches,"S. Muntaha, T. Rahman, M. H. Seddiqui"
"Computer Science and Engineering Research Journal, Vol. 11, 36 - 4 8, January - 2019",Keyword Extraction in Bangla Scientific documents: A Hybrid Approach
"Khaled Hasan Sazzad, Md Abdullah Al Mumin, Muhammad Anwarul Azim","Computer Science and Engineering Research Journal 11(1), 28-35, January - 2019"
Neural Networks and Support Vector Machine based Approach for Classifying Tweets by Information Types at TREC 2018 Incident Streams Task,"AN Chy, UA Siddiqua, M Aono"
"TREC, 27th Text REtrieval Conference (TREC), 1-7, 2019, 1-7, 2019",Query Expansion for Microblog Retrieval Focusing on an Ensemble of Features
"AN Chy, MZ Ullah, M Aono","Journal of Information Processing, 27, 61-76, 2019"
Rise of Bangladesh: Sheikh Hasina Factor,Editor: Rudro Saiful
"Ekattor, 2019",Prof. Dr. Hanif Seddiqui is one of the Editorial Board Members.
Languages’ Impact on Emotional Classification Methods,"AC Eilertsen, DH Rose, PL Erichsen, RE Christensen, RPD Nath"
"2019 Federated Conference on Computer Science and Information Systems …, 2019, 2019",A brief review: security issues in cloud computing and their solutions.
I Ahmed,"Telkomnika 17 (6), 2019, 2019"
Evaluating Programmed Artifical Insemination for Cattle Production,"I Ahmed, T Yoshihara, Y He, O Fukuda, H Okumura, K Arai, K Endo, ..."
Title,Authors
Comparison of Classical Machine Learning Approaches on Bangla Textual Emotion Analysis,M. A. Rahman and M. H. Seddiqui
"IEEE, 21st International Conference on Computer and Information Technology (ICCIT), December - 2018",Bangladeshi License Plate Detection and Recognition with Morphological Operation and Convolution Neural Network
"Golam Rabbani, Mohammad Aminul Islam, Muhammad Anwarul Azim, Mohammad Khairul Islam, Md. Mostafizur Rahman","21st International Conference of Computer and Information Technology (ICCIT), December - 2018"
Bangladeshi license plate detection and recognition with morphological operation and convolution neural network,"Golam Rabbani, Mohammad Aminul Islam, Muhammad Anwarul Azim, Mohammad Khairul Islam, Md Mostafizur Rahman"
"IEEE, 21st International Conference of Computer and Information Technology, 1-5, December - 2018",Fusion of Hyperspectral and LiDAR Data Using Discriminant Correlation Analysis for Land Cover Classification
"Farah Jahan, Jun Zhou, Mohammad Awrangjeb and Yongsheng Gao","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, vol. 11, no. 10, pp. 3905 - 3917, September - 2018"
Conditional Random Field and Deep Feature Learning for Hyperspectral Image Classification,"Fahim Irfan Alam, Jun Zhou, Alan Wee-Chung Liew, Xiuping Jia, Jocelyn Chanussot, Yongsheng Gao"
"IEEE Transactions on Geoscience and Remote Sensing, Volume: 57, Issue: 3, 1612 - 1628, September - 2018","This paper is a major contribution of my PhD thesis. In this work, we proposed a method to classify hyperspectral images by considering both spectral and spatial information via a combined framework consisting of 3D Convolutional Neural Network (CNN) and Conditional Random Field (CRF). We used multiple spectral band groups to learn deep features using CNN, and then formulate deep CRF with CNN-based unary and pairwise potential functions to effectively extract the semantic correlations between patches consisting of 3-D data cubes. Furthermore, we introduced a deep deconvolution network that improves the final classification performance. We also introduced a new data set and experimented our proposed method on it along with several widely adopted benchmark data sets to evaluate the effectiveness of our method."
Fairness comparison of TCP variants over proactive and reactive routing protocol in MANET,"Nahida Nigar, Muhammad Anwarul Azim"
"Institute of Advanced Engineering and Science (IAES), Indonesia, International Journal of Electrical and Computer Engineering 8 (4), August - 2018",Integration of Heterogeneous Features from Co-registered Hyperspectral and LiDAR Data for Land Cover Classification
"Farah Jahan, Jun Zhou, Mohammad Awrangjeb and Yongsheng Gao","2018 10th IAPR Workshop on Pattern Recognition in Remote Sensing (PRRS), August - 2018"
Aspect-based query expansion for search results diversification,"Md Shajalal, Masaki Aono, Muhammad Anwarul Azim"
"IEEE, Joint 7th International Conference on Informatics, Electronics & Vision, June - 2018",Text to Emotion Extraction Using Supervised Machine Learning Techniques
"Muhammad Anwarul Azim, Mahmudul Hasan Bhuiyan","University Ahmad Dahlan, Indonesia, TELKOMNIKA Telecommunication, Computing, Electronics and Control 16 (3), June - 2018"
Diversifying Search Result Leveraging Aspect-based Query Expansion,"Md Shajalal, Masaki Aono, Muhammad Anwarul Azim"
"Society of Digital Information and Wireless Communications (SDIWC), Hong Kong, International Journal of New Computer Architectures and Their Applications 8(2), April - 2018",Stance Detection on Microblog Focusing on Syntactic Tree Representation
"UA Siddiqua, AN Chy, M Aono","Springer, The Third International Conference on Data Mining and Big Data (DMBD), 478-490, 2018"
A belief rule-based expert system to assess suspicion of acute coronary syndrome (acs) under uncertainty,"MS Hossain, S Rahaman, R Mustafa, K Andersson"
"Soft Computing 22 (22), 7571-7586, 2018, 2018",A Method to Recognize Food using Gist and SURF Features
"R Mustafa, P Dhar","2018 Joint 7th International Conference on Informatics, Electronics & Vision …, 2018, 2018"
Sustainable Green Service Level Agreement (GSLA) Framework Development for IT and ICT Based Industries.,I Ahmed
2018,Combining Unmixing and Deep Feature Learning for Hyperspectral Image Classification
"Fahim Alam, Jun Zhou, Lei Tong, Alan Wee-Chung Liew, Yongsheng Gao","IEEE, Proceedings of the International Conference on Digital Image Computing: Techniques and Applications (DICTA), 1-6, December - 2017"
"This work is a part of my PhD contributions. Considering the usefulness of Unmixing techniques, we proposed to utilize the unmixing results as an input to classifiers for better classification accuracy. We proposed a novel band group based structure preserving nonnegative matrix factorization (NMF) method to estimate the individual spectral responses from different materials within different ranges of wavelengths. Then we train a convolutional neural network (CNN) with the unmixing results to generate powerful features and eventually classify the data.",Classifier-Free Detection of Power Line Pylons from Point Cloud Data
"Mohammad Awrangjeb, Mohammad Khairul Islam","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume IV-4/W4, 2017, 4th International GeoAdvances Workshop, Safranbolu, Karabuk, Turkey, October - 2017"
A Comparative Study on Big Data Handling Using Relational and Non -Relational Data Model,"Jannatul Maowa, A.H.M. Sajedul Hoque, Rashed Mustafa and Mohammad Osiur Rahman"
"International Journal of Data Mining & Knowledge Management Process (IJDKP), Volume:7, Issue :3, 25-32, May - 2017",This paper illustrates the comparison between Relational and Non-Relational Database.
Building a Classifier Employing Prism Algorithm with Fuzzy Logic,"Ishrat Nahar Farhana, A.H.M. Sajedul Hoque, Rashed Mustafa and Mohammad Sanaullah Chowdhury"
"International Journal of Data Mining & Knowledge Management Process (IJDKP), Volume : 7, Issue: 2, 51-62, March - 2017",We review a random forest classifier using Prism Algorithm using Fuzzy Logic.
Performance Evaluation of Different Backoff Algorithms in IEEE 802.15.4 Using Double Sensing,"Md. Mohibur Rahaman, Mohammad Khairul Islam, Kazi Ashrafuzzaman, Mohammad Sanaullah Chowdhury"
"Indonesian Journal of Electrical Engineering and Computer Science, vol. 5, no. 2, February - 2017",Accuracy Analysis of Recommendation System Using Singular Value Decomposition
"Naznin Akter, A. H. M. Sajedul Hoque, Rashed Mustafa and Mohammad Sanaullah Chowdhury","19th International Conference on Computer and Information Technology (ICCIT), IEEE, 405-408, February - 2017"
This Paper shows the way to generate recommendation system using Singular Value Decomposition.,Microblog retrieval using ensemble of feature sets through supervised feature selection
"AN Chy, MZ Ullah, M Aono","IEICE TRANSACTIONS on Information and Systems, 100 (4), 793-806, 2017"
A COMPARATIVE STUDY ON BIG DATA HANDLING USING RELATIONAL AND NONRELATIONAL DATA MODEL,"J Maowa, A Hoque, R Mustafa, MO Rahman"
"IJDKP 7 (3), 2017, 2017",SETL: A programmable semantic extract-transform-load framework for semantic data warehouses
"RPD Nath, K Hose, TB Pedersen, O Romero","Information Systems 68, 17-43, 2017, 2017"
Special issue on DOLAP 2015: Evolving data warehousing and OLAP cubes to big data analytics.,"C Ordonez, C Garcia-Alvarado, IY Song"
"Inf. Syst. 68, 1-2, 2017, 2017",Pixel-based Land Cover Classification by Fusing Hyperspectral and LiDAR data
Farah Jahan and Mohammad Awrangjeb,"ISPRS Geospatial Week, 18–22 September, Wuhan, China (Best paper award), 2017"
Method for productive cattle finding with estrus cycle estimated with BCS and parity number and hormone treatments based on a regressive analysis,"K Arai, N Suzaki, I Ahmed, O Fukuda, H Okumura, K Endo, K Yamashita"
"IJACSA 8 (9), 191-196, 2017, 2017CRF learning with CNN features for hyperspectral image segmentation","Fahim Irfan Alam, Jun Zhou, Alan Wee-Chung Liew, Xiuping Jia"
