author,title
"Rudra Pratap Deb Nath, Emil Bækdahl, Magnus Brogaard Larsen, Jakob Skallebæk, Jesper Juul Severinsen",Sentiment Analysis of Danish Health Care Industries' Financial Text
"Rudra Pratap Deb Nath, Amrit Bhattacharjee",Publishing Bangladesh Socio-economic Data as Linked and Multidimensional Data
"Nuzat Tasnim, Rudra Pratap Deb Nath",A Cross-Language Analysis on Sarcasm Detection
"Fahim Faisal, Rudra Pratap Deb Nath, Nasrin Sultana",LiberationKG: A Knowledge Graph of Bangladesh Liberation War from Newspape
"Tonmoy Chandro Das, Rudra Pratap Deb Nath",Presenting Bangladesh Education Data in Analytical and Semantic Format
"Joy Roy, Muhammad Anwarul Azim, Abu Nowshed Chy, Mohammad Khairul Islam","Detection and Classification of Mahogany Tree Species via Satellite Imagery, Google Earth Engine, and Deep Learning"
"A. H. M. Sajedul Hoque, Gerg ˝o Bognár, Sándor Fridli",Quantitative Radiomics Analysis of Lung CT Images Using Radial Harmonic Fourier Moments
"Rudra Pratap Deb Nath, Tithi Rani Das, Tonmoy Chandro Das, SM Shafkat Raihan",Knowledge Graph Generation and Enabling Multidimensional Analytics on Bangladesh Agricultural Data
"Niladree Datta, Muhammad Anwarul Azim, Abu Nowshed Chy, Mohammad Khairul Islam, Sajib Kumar Das",Profiling Fake News Spreader on Twitter Using Stochastic Gradient Descent
"Sajib Kumar Das, Muhammad Anwarul Azim, Abu Nowshed Chy, Mohammad Khairul Islam",A Comparative Analysis of Statistical Machine Learning and Deep Learning for Identifying Cyber Trolls on Twitter Data
"Amrit Bhattacharjee, Rudra Pratap Deb Nath",SETLonDEMAND: Towards an On-Demand ETL Approach for Semantic Data Warehouses
"Sajib Kumar Das, Muhammad Anwarul Azim, Abu Nowshed Chy, Mohammad Khairul Islam, and Niladree Dutta",A Comparative Analysis of Statistical Machine Learning and Deep Learning for Identifying Cyber Trolls on Twitter Data
"Niladree Datta, Muhammad Anwarul Azim, Abu Nowshed Chy, Mohammad Khairul Islam, and Sajib Kumar Das",Profiling Fake News Spreader on Twitter Using Stochastic Gradient Descent
"Nishat Soultana Chy, Sourav Biswas, Abu Nowshed Chy, Mohammad A. Halim, Md. Hanif Seddiqui",Machine Learning Based Prediction of Anti-dengue Drugs Using Structure-activity Relationship Study
"Nazma Hossen Nishat, Pranta Paul, Farzina Akther, Tahmina Akter, Muhammad Anwarul Azim",Skin Lesion Prediction From Dermoscopic Images Using Deep Learning
Tithi Rani Das. Shima Chakraborty and Abu Nowshed Chy,A Comparative Analysis of Various Machine Learning and Transformer Models for Harmful Tweet Detection
Juel Sikder and Mohammad Khairul Islam and Farah Jahan,Object segmentation for image indexing in large database
"Md. Nesarul Hoque, Md. Hanif Seddiqui",Detecting cyberbullying text using the approaches with machine learning models for the low-resource Bengali language
"Nadia Afroz, Muhammad Anwarul Azim, Mohammad Khairul Islam",News Classification Using Local Text Pattern and TF-IDF Features
"Abdul Aziz, Md. Akram Hossain, Abu Nowshed Chy, Md. Zia Ullah, and Masaki Aono",Leveraging Contextual Representations with BiLSTM-based Regressor for Lexical Complexity Prediction
"Md. Nesarul Hoque, Md. Hanif Seddiqui",Leveraging Transformer Models in the Cyberbullying Text Classification System for the Low-resource Bengali Language
"Kazi Farhan Hasan Tanjim, Md. Nesarul Hoque, Md. Hanif Seddiqui",A Benchmark Dataset with Developing a Strong Baseline Accident Text Classification System for the Low-resource Bengali Language
"Jørgen Robin Våge, Saptanil Ghose, Rudra Pratap Deb Nath, Debasish Ghose, Yuan Lin, Soumya Prakash Dash","Predictive Modeling for Heart Rate: A Comparative Analysis of LSTM, XGBoost, and LightGBM"
"Machbah Uddin, Mohammad Khairul Islam, Md Rakib Hassan, Farah Jahan and Joong Hwan Baek",A fast and efficient algorithm for DNA sequence similarity identification
"Nadia Afroz, Muhammad Anwarul Azim, and Mohammad Khairul Islam",News Classification Using Local Text Pattern and TF-IDF Features
"S.M. Shafkat Raihan, Rudra Pratap Deb Nath, Tonmoy Chandro Das","Covid-19 Knowledge Graph Generation and Enabling Analysis across Healthcare, Socioeconomic, and Environmental Dimensions"
"Iqbal Ahmed, Tamanna Akther Mukta",Assessing the Impact of COVID-19 Regulations on Air Quality in Asian Cities: A Time Series Analysis
"S M Sarwar Mahmud, Taofica Amrine, Muhammad Anwarul Azim",SQL Injection Attack Vulnerabilities of Web Application and Detection
"Md Saidul Islam, Taofica Amrine, Tahmina Akter, Muhammad Anwarul Azim",Enhancing Customer Churn Prediction using Machine Learning and Deep Learning Approaches with Principal Component Analysis
"Tahmina Akter, Muhammad Anwarul Azim, Mohammad Khairul Islam",Gesture Recognition for Interpretation of Bengali Sign Language using Hyper Parameter Tuning Convolution Neural Network
"Md. Akram Hossain, Muhammad Anwarul Azim, Abu Nowshed Chy, and Mohammad Khairul Islam",BiGCAT: An Integrated Graph Neural Network Model for Financial Named Entity Recognition
"Md. Rashedul Islam Mamun, Umma Saima Rahman, Tahmina Akter, Muhammad Anwarul Azim",Fish Disease Detection using Deep Learning and Machine Learning
"Md. Jawwad Bin Zahir, Muhammad Anwarul Azim, Abu Nowshed Chy, Mohammad Khairul Islam",A Fast and Reliable Approach for COVID-19 Detection from CT-Scan Images
"Miskatul Jannat, Rezwana Karim, Navia Zafrin Islam, Abu Nowshed Chy, and Abdul Kadar Muhammad Masum",Human Activity Recognition Using Ensemble of CNN-Based Transfer Learning Models
"Md. Ataur Rahman, Nazifa Tabassum, Mitu Paul, Riya Pal, Mohammad Khairul Islam",BN-HTRd: A Benchmark Dataset for Document Level Offline Bangla Handwritten Text Recognition and Line Segmentation
Atiqur Rahman* & Emmanuel Ufiteyezu,An rPark-branded Proposed Smart Occupancy Detection System for Parking
"Nagifa Ilma Progga, Mohammad Khairul Islam, Machbah Uddin, Shafkat Ahmed, Farah Jahan, Muhammad Anwarul Azim",Emotion Detection using Deep Learning Approach
R Das and I Ahmed,Comparative Analysis of Fine-tuning Multiple Pre- Trained Convolutional Neural Network (CNN) Models for Oryza Sativa Disease Detection
