Title,Authors
ADBNet: An Attention-Guided Deep Broad Convolutional Neural Network for the Classification of Breast Cancer Histopathology Images,"Musfequa Rahman, Kaushik Deb, Pranab Kumar Dhar, Tetsuya Shimamura"
XAI-Driven Lightweight Multiscale ConvLSTM Architecture for Video Violence Detection,"Md Al-Mamun Provath, Kaushik Deb, Kang Hyun Jo"
An Enhanced Feature-Based Hybrid Approach for Adversarial PDF Malware Detection,"GM Sakhawat Hossain, Kaushik Deb, Iqbal H Sarker"
Removing Rain from Single Image Using Atrous U-Net and GAN,"Ayesha Banu, Sabiha Anan, Kaushik Deb"
A hybrid deep learning framework for daily living human activity recognition with cluster-based video summarization,"S Hossain, K Deb, S Sakib, IH Sarker"
PDF Malware Detection: Towards Machine Learning Modeling with Explainability Analysis,"GM Sakhawat Hossain, Kaushik Deb, Helge Janicke, Iqbal H Sarker"
Estimation from Human Facial Expression Using Deep Neural Network,"Md Ashiqur Rahman, Shuhena Salam Aonty, Kaushik Deb"
Classification of Lung and Colon Cancer Histopathological Images Using Global Context Attention Based Convolutional Neural Network,"Md Al-Mamun Provath, Kaushik Deb, Pranab Kumar Dhar, Tetsuya Shimamura"
Improved YOLOv5-Based Real-Time Road Pavement Damage Detection in Road Infrastructure Management,"Abdullah As Sami, Saadman Sakib, Kaushik Deb, Iqbal H Sarker"
Attention-Based Human Age Estimation from Face Images to Enhance Public Security,"Md Ashiqur Rahman, Shuhena Salam Aonty, Kaushik Deb, Iqbal H Sarker"
Outdoor Trash Detection in Natural Environment Using a Deep Learning Model,"Dhrubajyoti Das, Kaushik Deb, Taufique Sayeed, Pranab Kumar Dhar, Tetsuya Shimamura"
Human Pose Estimation Using Parallel Architecture,"huhena Salam Aonty, Kaushik Deb, Dhrubajyoti Das, Kang-Hyun Jo"
Daily Living Human Activity Recognition Using Deep Neural Networks,"Md Shihab Hossain, Kaushik Deb, Syed Md Minhaz Hossain, Kang-Hyun Jo"
Classification of Lung and Colon Cancer Using Deep Learning Method,"Md Al-Mamun Provath, Kaushik Deb, Kang-Hyun Jo"
Classifying Breast Cancer Using Deep Convolutional Neural Network Method,"Musfequa Rahman, Kaushik Deb, Kang-Hyun Jo"
A comprehensive study on atlas-based classification of autism spectrum disorder using functional connectivity features from resting-state functional magnetic resonance imaging,"Faria Zarin Subah, Kaushik Deb"
Person Recognition Based on Deep Gait: A Survey,"Md Khaliluzzaman, Ashraf Uddin, Kaushik Deb, Md Junayed Hasan"
A Transfer Learning Approach to Recognize Pedestrian Attributes,"Saadman Sakib, Anik Sen, Kaushik Deb"
Flood Region Detection Based on K-Means Algorithm and Color Probability,"Promiti Chakraborty, Sabiha Anan, Kaushik Deb"
Multi-Person Pose Estimation using Group-Based Convolutional Neural Network Model,"Shuhena Salam Aonty, Kaushik Deb, Moumita Sen Sarma, Pranab Kumar Dhar, Tetsuya Shimamura"
Shadow processing with color model adjustment and texture analysis,"Md. Azhar Uddin, Tahmina Khanam, Muhammad Ibrahim Khan, Kaushik Deb and Kang-Hyun Jo"
Road Damage Detection and Classification using Deep Neural Network,"Md Mahadi Hasan, Saadman Sakib, Kaushik Deb"
Jointly Learning Structure for Human Pose Estimation using Convolutional Neural Networks,"Shuhena Salam Aonty, Moumita Sen Sarma, Kaushik Deb"
Masked Face Inpainting Using Generative Adversarial Network Based Architecture,"Maisha Maimuna, Syed Md Minhaz Hossain, Kaushik Deb"
Trash Image Classification Using Transfer Learning Based Deep Neural Network,"Dhrubajyoti Das, Anik Sen, Syed Md Minhaz Hossain, Kaushik Deb"
Detecting Spam SMS Using Self Attention Mechanism,"Syed Md Minhaz Hossain, Anik Sen, Kaushik Deb"
Fine-Grained Soccer Actions Classification Using Deep Neural Network,"Anik Sen, Syed Md Minhaz Hossain, Mohammad Ashraf Russo, Kaushik Deb, Kang-Hyun Jo"
Emotion Recognition from Speech Using Deep Learning,"MD Muhyminul Haque, Kaushik Deb"
Emergency Vehicle Detection Using Deep Convolutional Neural Network,"Samiul Haque, Shayla Sharmin, Kaushik Deb"
Categorization of actions in soccer videos using a combination of transfer learning and Gated Recurrent Unit,"Anik Sen, Kaushik Deb"
Tomato leaf disease recognition using depthwise separable convolution,"Syed Md Minhaz Hossain, Khaleque Md Aashiq Kamal, Anik Sen, Kaushik Deb"
Human Fall Classification from Indoor Videos Using Modified Transfer Learning Model,"Arifa Sultana, Kaushik Deb"
A Framework for Pedestrian Attribute Recognition Using Deep Learning,"Saadman Sakib, Kaushik Deb, Pranab Kumar Dhar, Oh-Jin Kwon"
Plant Leaf Disease Recognition Using Histogram Based Gradient Boosting Classifier,"Syed Mohammad Minhaz Hosain, Kaushik Deb"
A Framework for Traffic Sign Detection Based on Fuzzy Image Processing and Hu Features,"Zainul Abedin, Kaushik Deb"
Categorization of actions in soccer videos using a combination of transfer learning and Gated Recurrent Unit,"Anik Sen, Kaushik Deb, Pranab Kumar Dhar, and Takeshi Koshiba"
Door Detection Based on Geometrical Features and Harris Corner,"Md. Akber Hossain, Sabiha Anan, and Kaushik Deb"
CricShotClassify: An Approach to Classifying Batting Shots from Cricket Videos Using a Convolutional Neural Network and Gated Recurrent Unit,"Anik Sen, Kaushik Deb, Pranab Kumar Dhar, and Takeshi Koshiba"
Plant Leaf Disease Recognition Using Depth-Wise Separable Convolution-Based Models,"Syed Mohammad Minhaz Hosain, Kaushik Deb, Pranab Kumar Dhar, and Takeshi Koshiba"
Classification of Indoor Human Fall Events Using Deep Learning,"Arifa Sultana, Kaushik Deb, Pranab Kumar Dhar, and Takeshi Koshiba"
Image Defogging Framework Using Segmentation and the Dark Channel Prior,"Sabiha Anan, Mohammad Ibrahim Khan, Mir Md. Saki Kowsar, Kaushik Deb, Pranab Kumar Dhar, and Takeshi Koshiba"
