Author,Title
Md Samiullah,iOOBN: An Object-Oriented Bayesian Network Modelling Framework with Inheritance.
Md Samiullah,An efficient approach to mine correlated graphs.
Dr. Md. Haider Ali,Fundamentals of Computer and Information Technology.
Md. Rezaul Karim,"Straight-Line Grid Drawings of Planar Graphs with Sub-Quadratic Area,."
Hafiz Md. Hasan Babu,“VLSI   Circuits  and  Embedded  Systems”.
Hafiz Md. Hasan Babu,“Quantum Computing: A Pathway to Quantum Logic Design”.
Hafiz Md. Hasan Babu,“Reversible and DNA Computing”.
Hafiz  Md.  Hasan   Babu,VLSI   Circuits  and  Embedded  Systems.
Hafiz Md. Hasan Babu,“One  Dream  One  Country:  Digital  Bangladesh”.
Md Mahmudur Rahman,N/A
Shaily Kabir,N/A
Md Mahmudur Rahman,N/A
Md. Haider Ali,N/A
Muhammad Ibrahim,N/A
Shabbir Ahmed,N/A
Shabbir Ahmed,N/A
Shabbir Ahmed,N/A
Md. Abdur Razzaque,N/A
Mosarrat Jahan,N/A
Md. Abdur Razzaque,N/A
Md. Abdur Razzaque,N/A
Muhammad Ibrahim,N/A
Muhammad Ibrahim,N/A
Muhammad Ibrahim,N/A
Md. Abdur Razzaque,N/A
Md. Abdur Razzaque,N/A
Md. Abdur Razzaque,N/A
Muhammad Asif Hossain Khan,N/A
Md Tanvir  Alam,N/A
Md. Abdur Razzaque,N/A
Md. Abdur Razzaque,N/A
Md. Abdur Razzaque,N/A
Md. Abdur Razzaque,N/A
Md. Abdur Razzaque,N/A
Md Abdur Razzaque,N/A
Mosarrat Jahan,N/A
Shaily Kabir,N/A
Shaily Kabir,N/A
Mosarrat Jahan,N/A
Md. Abdur Razzaque,N/A
Md Haider Ali,N/A
Mosarrat Jahan,N/A
Mosarrat Jahan,N/A
Muhammad Ibrahim,N/A
Muhammad Ibrahim,N/A
Muhammad Ibrahim,N/A
Md. Abdur Razzaque,N/A
Shaily Kabir,N/A
Md. Abdur Razzaque,N/A
Md. Abdur Razzaque,N/A
Md. Rezaul Karim,N/A
Md. Abdur Razzaque,N/A
Md Ashraful  Islam,N/A
Md Tanvir Alam,N/A
Md. Rezaul Karim,N/A
Md. Abdur Razzaque,N/A
Muhammad Asif Hossain Khan,N/A
Muhammad Ibrahim,N/A
Md Tanvir Alam,N/A
Md. Abdur Razzaque,N/A
Md. Ashraful Islam,N/A
Md. Ashraful  Islam,N/A
Muhammad Ibrahim,N/A
Md Tanvir Alam,N/A
Muhammad Ibrahim,N/A
Muhammad Ibrahim,N/A
Muhammad Ibrahim,N/A
Muhammad Ibrahim,N/A
Mohammad Haider Ali,N/A
Shaily Kabir,N/A
Mohammad Haider Ali,N/A
Mohammad Haider Ali,N/A
Muhammad Ibrahim,N/A
Abu Ahmed  Ferdaus,N/A
M. Samiullah,N/A
Muhammad Asif Hossain Khan,N/A
Muhammad Asif Hossain Khan,N/A
Md Mahmudur Rahman,N/A
Md Haider Ali,N/A
Chowdhury Farhan Ahmed,N/A
Md Samiullah,N/A
Md Mofijul Islam,N/A
"Mubin Ul Haque, Zarrin Tasnim Sworna, Hafiz Md Hasan Babu, and Ashis Kumar Biswas",N/A
Muhammad Asif Hossain Khan,N/A
Muhammad Asif Hossain Khan,N/A
Md. Mamun-Or-Rashid,N/A
Md. Rezaul Karim,N/A
Md. Mamun Or Rashid,N/A
Md Mahmudur Rahman,N/A
Md Haider Ali,N/A
Mosarrat Jahan,N/A
Mosarrat Jahan,N/A
"Mubin Ul Haque, Zarrin Tasnim Sworna, Hafiz Md Hasan Babu, and Ashis Kumar Biswas.",N/A
Muhammad Asif Hossain Khan,N/A
Muhammad Asif Hossain Khan,N/A
Chowdhury Farhan Ahmed,N/A
Chowdhury Farhan Ahmed,N/A
Chowdhury Farhan Ahmed,N/A
Md Samiullah,N/A
Md Samiullah,N/A
Md Samiullah,N/A
Suraiya Pervin,N/A
Md. Haider Ali,N/A
Md Mofijul Islam,N/A
Md. Rezaul Karim,N/A
Md. Haider Ali,N/A
Md. Mustafizur Rahman,N/A
Md. Haider Ali,N/A
Muhammad Asif Hossain Khan,N/A
Chowdhury Farhan Ahmed,N/A
Chowdhury Farhan Ahmed,N/A
Muhammad Ibrahim,N/A
Chowdhury Farhan Ahmed,N/A
Md. Haider Ali,N/A
Chowdhury Farhan Ahmed,N/A
Hasnain Heickal,N/A
Md Samiullah,N/A
"Zarrin Tasnim Sworna, Mubin Ul Haque, Nazma Tara, Hafiz Md Hasan Babu and Ashis Kumar Biswas",N/A
Md. Rezaul Karim,N/A
"Zarrin Tasnim Sworna, Mubin Ul Haque, Nazma Tara, Hafiz Md Hasan Babu and Ashis Kumar Biswas",N/A
Md. Mamun Or Rashid,N/A
Muhammad Asif Hossain Khan,N/A
Abu Ahmed Ferdaus,N/A
Chowdhury Farhan Ahmed,N/A
Suraiya Pervin,N/A
Chowdhury Farhan Ahmed,N/A
Chowdhury Farhan Ahmed,N/A
M. Samiullah,N/A
Md. Samiullah,N/A
Md Mofijul Islam,N/A
Shaily Kabir,N/A
Shaily Kabir,N/A
Abu Ahmed  Ferdaus,N/A
Abu Ahmed Ferdaus,N/A
Abu Ahmed Ferdaus,N/A
Md Samiullah,N/A
M. Samiullah,N/A
Chowdhury Farhan Ahmed,N/A
Chowdhury Farhan Ahmed,N/A
Shaily Kabir,N/A
Mosarrat Jahan,N/A
Mosarrat Jahan,N/A
Mosarrat Jahan,N/A
Shaily Kabir,N/A
Shaily Kabir,N/A
Md. Mamun Or Rashid,N/A
Md. Mamun Or Rashid,N/A
Abu Ahmed Ferdaus,N/A
Md. Haider Ali,N/A
Md. Haider Ali,N/A
Suraiya Pervin,N/A
Md Samiullah,N/A
Chowdhury Farhan Ahmed,N/A
Md. Rezaul Karm,N/A
Suraiya Pervin,N/A
Muhammad Asif Hossain Khan,N/A
Muhammad Asif Hossain Khan,N/A
Md. Mamun Or Rashid,N/A
Abu Ahmed Ferdaus,N/A
Muhammad Ibrahim,N/A
Shabbir Ahmed,N/A
Muhammad Ibrahim,N/A
Md. Haider Ali,N/A
Md. Haider Ali,N/A
Md. Haider Ali,N/A
Md. Haider Ali,N/A
Chowdhury Farhan Ahmed,N/A
Chowdhury Farhan Ahmed,N/A
Shabbir Ahmed,N/A
Md. Haider Ali,N/A
Suraiya Pervin,N/A
Chowdhury Farhan Ahmed,N/A
Chowdhury Farhan Ahmed,N/A
Md. Rezaul Karm,N/A
Shaily Kabir,N/A
Abu Ahmed Ferdaus,N/A
"Computer Engineering, Dhaka, Bangladesh Nazia Zaman, Kazi Chandrima Rahman, Syed Faisal Hasan",N/A
Md. Mustafizur RAHMAN,N/A
Md. Rezaul Karim,N/A
Md. Mustafizur Rahman,N/A
Mosarrat Jahan,N/A
Shaily Kabir,N/A
Shaily Kabir,N/A
Md. Haider Ali,N/A
Md. Haider Ali,N/A
