Authors,Title
"Md. Golam Moazzam and Md. Al-Amin Bhuiyan,",A Novel Approach for Human Face Detection Using Genetic Algorithm
"Md. Golam Moazzam, Ms. Rubayat Parveen, and Md. Al-Amin Bhuiyan,",Human Face Detection under Complex Lighting Conditions
"Amita Chakraborty, Md. Golam Moazzam, Shamima Nasrin, Mohammad Zahidur Rahman",A Novel Approach for Efficient and Convenient E-Auction
"Mahbuba Begum, Md. Golam Moazzam, Mohammad Shorif Uddin,",Quantitative Analysis on Robustness of FLD and PCA-Based Face Recognition Algorithms
"Israt Jahan, Md. Golam Moazzam, KM Akkas Ali, Mujiba Shaima and Abu Tayeb Muhammad Alimuzzaman,",Purity Analysis of Pulse Crops using Machine Vision System
"Md. Golam Moazzam, Tanzila Rahman and Mohammad Shorif Uddin,","Effective Techniques for Reduction of Impulse, Gaussian and Speckle Noises"
"Mahbuba Begum, Jannatul Ferdush and Md. Golam Moazzam,","A Hybrid Cryptosystem Using DNA, OTP and RSA"
"Md. Golam Moazzam, Mohammad Reduanul Haque and Mohammad Shorif Uddin,",Image-Based Vehicle Recognition using Neural Network
"Md. Golam Moazzam, Mohammad Reduanul Haque and Mohammad Shorif Uddin,",Image-Based Vehicle Speed Estimation
"Md. Saddam Hossain, Amina Khatun, SM Khiroul Bashar and Md. Golam Moazzam,",Automatic Image Stitching Using Feature Based Approach
"Mahbub Alam, Osman Goni, Abu Shameem, Shamimul Islam, Nayan Kumar Datta, Shakil Ahmed, and Golam Moazzam,",An Approach for the Normalization of Short Message Service to Detect Shorter Form of Words and Find out Actual Word
