Title,Authors
"Rumana Yasmin, Aparna Das, Liton Jude Rozario, Md. Ezharul Islam","Butterfly detection and classification techniques: A review,"
"Shahnaj Parvin, Md Ezharul Islam, and Liton Jude Rozario","Nighttime Vehicle Detection Methods Based on Headlight Feature: A Review,"
"Aditya Rajbongshi, Md Ezharul Islam, Md. Jueal Mia, Tahsin Islam Sakif, and Anup Majumder","A Comprehensive Investigation to Cauliflower Diseases Recognition: An Automated Machine Learning Approach,"
"Nasima Begum, Md A.H. Akash, Sayma Rahman, Jungpil Shin, Md Rashedul Islam, and Md Ezharul Islam","User Authentication Based on Handwriting Analysis of Pen- Tablet Sensor Data Using Optimal Feature Selection Model,"
"Naimur Rashid Methun, Rumana Yasmin, Nasima Begum, Aditya Rajbongshi and Md Ezharul Islam","Carrot Disease Recognition using Deep Learning Approach for Sustainable Agriculture,"
"Shahnaj Parvin, Liton Jude Rozario, and Md Ezharul Islam","Vision-based On-Road Nighttime Vehicle Detection and Tracking Using Taillight and Headlight Features,"
"Natasha Monalisa, Shinthi Himi, Nayeema Ferdous, Md. Ezharul Islam, and Anup Majumder",
"Shahnaj Parvin, Liton Jude Rozario, and Md Ezharul Islam","Vehicle Number Plate Detection and Recognition Techniques: A Review,"
"Shahnaj Parvin, Md Ezharul Islam, and Liton Jude Rozario","Nighttime Vehicle Detection Methods based on Brake Light/Taillight Features: A Review,"
"Aditya Rajbongshi, Md. Ibadul Islam, Al Amin Biswas, Md. Mahbubur Rahman, Anup Majumder and Md. Ezharul Islam","Bangla Optical Character Recognition and Textto- Speech Conversion using Raspberry Pi,"
"Tanzila Islam, Md Ezharul Islam, and Mohammad Raihan Ruhin","An Analysis of Foraging and Echolocation Behavior of Swarm Intelligence Algorithms in Optimization: ACO, BCO and BA,"
"Md Selim Al Mamun, Nobuo Funabiki, K. S. Lwin, Md Ezharul Islam, and W. C. Kao","A Channel Assignment Extension of Active Access-Point Configuration Algorithm for Elastic WLAN System and Its Implementation Using Raspberry Pi,"
"Md Mojammel Islam, Md Rubel Akanda, Md Ezharul Islam, and M. Arifuzzaman","Energy Efficient MAC Protocols for Wireless Sensor Networks: A Comprehensive Survey,"
"Md Selim Al Mamun, Md Ezharul Islam, Nobuo Funabiki, Minoru Kuribayashi, and IWei Lai","An Active Access-Point Configuration Algorithm for Elastic Wireless Local- Area Network System Using Heterogeneous Devices,"
