title,url,authors
Dietary Habit and Lifestyle Practice of Patient with Irritable Bowel Syndrome: A Case-Control Study on Bangladeshi Population,https://bup.edu.bd/research/270,Authors not found
Medicinal Plants and Formulations Used by Alternative Medicine Practitioner for Treatment of Type-2 Diabetes Mellitus in Bangladesh,https://bup.edu.bd/research/269,Authors not found
E-Accounting Practice and  Its Effects on Financial  Performance of Readymade Garments Industry of  Bangladesh,https://bup.edu.bd/research/268,Authors not found
"Ownership Structure,  Dividend Payout Policy and  Stock Price Volatility: A  Study on Listed Companies  of Dhaka Stock Exchange  Limited in Bangladesh",https://bup.edu.bd/research/267,Authors not found
Impact of Human Resource  Management Practices on  Employee Engagement with  Moderating Effect of  Supervisory Role in the  Readymade Garments  Industry of Bangladesh,https://bup.edu.bd/research/266,Authors not found
Treatment of Women in the Works of Thomas Hardy and Sarat Chandra Chattapadyay: A Comparative Study from the Social Perspective,https://bup.edu.bd/research/265,Authors not found
Reference Interval of Optimal Vitamin D Level for an Adult Population of Bangladesh,https://bup.edu.bd/research/264,Authors not found
Insider Trading and Earnings Management in Stock Market of Bangladesh: A Study of Legal Implications,https://bup.edu.bd/research/263,Authors not found
Personality Traits and Emotional Intelligence as Factors   in   Selecting   Armed Forces Officers,https://bup.edu.bd/research/262,Authors not found
“English Teaching and Learning Scenario at JSC Level in Rural Bangladesh: A socio- economic analysis”,https://bup.edu.bd/research/261,Authors not found
Effects of Remittances on Poverty among Rural Areas in Bangladesh: A Study on the Selected Villages in Gopalganj District,https://bup.edu.bd/research/260,Authors not found
"Immobility of Environmentally Stressed Farmers: A Case Study of Batiaghata Upazila, Khulna",https://bup.edu.bd/research/259,Authors not found
Teenagers Indulgement in Drug: A Study on Different Socio-economic Groups in Urban and Rural Bangladesh,https://bup.edu.bd/research/258,Authors not found
Audit Expectation Gap in Bangladesh,https://bup.edu.bd/research/257,Authors not found
An Evaluation of Working Environment of Female Ready Made Garment Workers in Bangladesh,https://bup.edu.bd/research/256,Authors not found
Productivity Growth of Bangladesh Economy: A Study with Reference to Extended Solow Residual,https://bup.edu.bd/research/255,Authors not found
Impact of Behavioral Finance on Individual Investment Decisions in the Stock Market of Bangladesh,https://bup.edu.bd/research/254,Authors not found
"Relationship Between Leadership Competencies, Work Attitude and Employee Performance: A Study on Bangladesh Rural Electrification Board",https://bup.edu.bd/research/253,Authors not found
Impact of Brand image on Consumer Purchase Behaviour: A Study on Mobile Phone in Dhaka City,https://bup.edu.bd/research/252,Authors not found
Language Shift and Identity: Exploring Migrant Garos in Dhaka,https://bup.edu.bd/research/251,Authors not found
Effectiveness of Customer Loyalty Programs in Emerging Super Market in Bangladesh,https://bup.edu.bd/research/250,Authors not found
“Examining the Relationship Between Customer-Based Brand Equity and Brand Competitiveness: An Empirical Study on Electronics products in Bangladesh”,https://bup.edu.bd/research/249,Authors not found
Reference Interval of Optimal Vitamin D Level for an Adult Population of Bangladesh,https://bup.edu.bd/research/248,Authors not found
The Social Construction of Lived Islam: A Case Study of Selected Shrines in Bangladesh,https://bup.edu.bd/research/247,Authors not found
“An Exploratory Study of Business Ethics in Islamic Perspective among the Electronics Industry in Bangladesh”,https://bup.edu.bd/research/246,Authors not found
"""Assessment of the Impact of Remittance on the Socioeconomic Condition of Bangladesh",https://bup.edu.bd/research/245,Authors not found
"""Potential Health Risk of Radioactive and Nonradioactive Nuclides: A Study on Selected Educational Institutions in Dhaka City""",https://bup.edu.bd/research/244,Authors not found
“The Constructs of ‘Islamicate’ in the Select Writings of V. S. Naipaul and Daniel Pipes: A Postcolonial Reading”,https://bup.edu.bd/research/243,Authors not found
"“Domestic Violence against Pregnant Women and their Maternal and Neonatal Outcome: A Community Based Study""",https://bup.edu.bd/research/242,Authors not found
"""Effectiveness of Training System in Public and Private Banks: Bangladesh Perspective""",https://bup.edu.bd/research/241,Authors not found
“Strained Marriage Relationship in Henrik Ibsen’s A Doll’s House and D. H. Lawrence’s Sons and Lovers: A Critical Analysis”,https://bup.edu.bd/research/240,Authors not found
"“English Language Teaching at Engineering Universities in Bangladesh""",https://bup.edu.bd/research/239,Authors not found
"“Leadership Styles and Talent Management Strategies of Pharmaceutical Industry in Bangladesh""",https://bup.edu.bd/research/238,Authors not found
"“Militancy and National Security of Bangladesh: Policy Options and Strategic Outlook""",https://bup.edu.bd/research/237,Authors not found
"""Impact of Inflation on Economic Growth in Bangladesh: Demand Side Analysis""",https://bup.edu.bd/research/236,Authors not found
"""Women Entrepreneurship and Sustainability: A Study on Small Enterprises in Dhaka”",https://bup.edu.bd/research/235,Authors not found
"""Theme of Conflict and Reconciliation in E. M. Forster’s A Passage to India and N. C. Chaudhuri’s A Passage to England: A Comparative Analysis”",https://bup.edu.bd/research/234,Authors not found
"""Application of Maritime Laws for Preventing Human Trafficking by Sea in Bangladesh”",https://bup.edu.bd/research/233,Authors not found
"""Road Traffic Delays and Musculoskeletal Health Complaints among the Bank Employees in Dhaka City”",https://bup.edu.bd/research/232,Authors not found
"“Coastal Oil Spill HazardAssessment on National State of Readiness""",https://bup.edu.bd/research/231,Authors not found
"“The State of Physical, Recreational and Health Status of Senior Citizens in Bangladesh: A Comparative Study among the Residents of Old Home and Community Residents of Dhaka City""",https://bup.edu.bd/research/230,Authors not found
"""Relationships between Green Marketing Drivers and Environmental Sustainability: A Study on the Hotel Industry in Bangladesh.”",https://bup.edu.bd/research/229,Authors not found
"""The Effects of Intangible Assets on Firm Performance: An Empirical Investigation on Manufacturing Industry in DSE""",https://bup.edu.bd/research/228,Authors not found
"""Use of Segmental and Suprasegmental Elements of English Pronunciation by Tertiary Students at Bangladeshi Universities.”",https://bup.edu.bd/research/227,Authors not found
"""Challenges for Bangladesh Air Force Contingents in United Nations Peace Keeping Opeations: Lessons from Democratic Republic of Congo (DRC), Haiti and Mali""",https://bup.edu.bd/research/226,Authors not found
“English Teaching and Learning Scenario at JSC Level in Rural Bangladesh: A socioeconomic analysis”,https://bup.edu.bd/research/225,Authors not found
“Application of Advanced Forecasting Methods for Demand Forecasting of Private Car in Dhaka City'',https://bup.edu.bd/research/224,Authors not found
"""Consumers’ Brand Choice Behavior in Bangladesh: an Empirical Study on Selected Electronic Goods''",https://bup.edu.bd/research/223,Authors not found
"""Integrating Secondary Education in Human Resource Development: Opportunities for Bangladesh”",https://bup.edu.bd/research/222,Authors not found
"""Impact of Climate Change on Agricultural Production in Bangladesh”",https://bup.edu.bd/research/221,Authors not found
"""Microfinance for Renewable Energy: Opportunities and Challenges of Solar Home System Usage in Rural Bangladesh”",https://bup.edu.bd/research/220,Authors not found
"""Assessing Adoption and Satisfaction of Open Source Integrated Library Systems in the University Libraries of Bangladesh”",https://bup.edu.bd/research/219,Authors not found
"""Impact of Human Capital on Organizational Perfomance: A Study on Ready Made Garments Industry of Bangladesh""",https://bup.edu.bd/research/218,Authors not found
"""A Study on the Role of Local Government in Management of Primary Schools of Bangladesh”",https://bup.edu.bd/research/217,Authors not found
EFL Learners Perception of Metacognitive Reading Strategy and Academic Performance: A Survey of Undergraduate Students in Bangladesh,https://bup.edu.bd/research/216,Authors not found
Integration of Information and Communication Technology in English Teaching at University Level in Bangladesh to Face the Challenges of Education 4.0,https://bup.edu.bd/research/215,Authors not found
"""Factors Affecting Sustainable Employee Retention in Service Organizations: A Study on Private Banks and Private Universities in Bangladesh """,https://bup.edu.bd/research/214,Authors not found
"""Nutritional Awareness among the Parents of Primary School Going Children''",https://bup.edu.bd/research/213,Authors not found
"""Ecosystem-based Adaptation for Valuing Forest Ecosystem Services: Community Acceptance in the Sundarbans""",https://bup.edu.bd/research/212,Authors not found
"""Impact of Green Banking on the Socioeconomic Development of Bangladesh: An Empirical Study""",https://bup.edu.bd/research/211,Authors not found
"""Evaluating the Efficiency of Supply Chain Management of Bangladesh Readymade Garments Industry: A Case Study""",https://bup.edu.bd/research/210,Authors not found
"""Developing a Vibrant Bond Market: A Study on the Performance of South Asian Countries Aiming at Lessons for Bangladesh""",https://bup.edu.bd/research/209,Authors not found
"""Socio-Cultural and Psychological Influence on Job Satisfaction of the Employees of Public Sector Banks in Bangladesh""",https://bup.edu.bd/research/208,Authors not found
"""Impact of Financial Reporting on the Price of Common Stocks in the Capital Market-A Study on the Selected Firms Listed with Dhaka Stock Exchange""",https://bup.edu.bd/research/207,Authors not found
"""Challenges of Post Disaster Management in Grass Root Level of Bangladesh Coastal Areas and Strategy to Reduce the Constraints""",https://bup.edu.bd/research/206,Authors not found
"""Psycho-Social Factors in Relation to the Academic Performance of Flight Cadets""",https://bup.edu.bd/research/205,Authors not found
Prospects and Challenges of Introducing Master of Philosophy and Doctor of Philosophy Programs in the Private Universities of Bangladesh: An Exploratory Research,https://bup.edu.bd/research/204,Authors not found
Existing Curriculum of Special School in Bangladesh: An Evaluation,https://bup.edu.bd/research/203,Authors not found
Service Quality and Its Impact on User Satisfaction in University Libraries of Bangladesh,https://bup.edu.bd/research/202,Authors not found
Reproductive Health Seeking Behavior of the Poor Women in Dhaka City and their Challenges to Access Healthcare Services,https://bup.edu.bd/research/201,Authors not found
Factors Affecting Users’ Adoption of Telemedicine: A Multi-analytical Approach,https://bup.edu.bd/research/200,Authors not found
The Maritime Dimension of Human Security in Bangladesh: A Governance Perspective,https://bup.edu.bd/research/199,Authors not found
Perceived Organizational Support and Work Outcomes of Employees in Shipbuilding Industry of Bangladesh,https://bup.edu.bd/research/198,Authors not found
Bangladesh-India Cross Border Trade and Its Impact on Land Border Management,https://bup.edu.bd/research/197,Authors not found
Collaborative Language Learning and Teaching at the Higher Secondary Level of Education in Bangladesh: Challenges and Prospects,https://bup.edu.bd/research/196,Authors not found
A Plan for the Development of Institutional Repositories in University Libraries of Bangladesh,https://bup.edu.bd/research/195,Authors not found
Health Hazards of Social Media Users among University Students in Dhaka City: A Comparison between Public and Private Universities,https://bup.edu.bd/research/194,Authors not found
Key Stakeholders' Role and Perceptions Towards Conservation and Management of Marine Protected Areas in Bangladesh: An Empirical Study,https://bup.edu.bd/research/193,Authors not found
Improving the Performance of OFDMA-Based WI-FI Network with Hybrid Medium Access Control Protocol Design,https://bup.edu.bd/research/192,Authors not found
Personnel Training and Development for United Nations Peace Operations: Bangladesh Perspective,https://bup.edu.bd/research/191,Authors not found
Searching for a Sustainable Poverty Alleviation Approach in Bangladesh: Examining the Palli Karma-Sahayak Foundation Programme,https://bup.edu.bd/research/190,Authors not found
China’s Strategic Interests in South Asia: Implications for Bangladesh,https://bup.edu.bd/research/189,Authors not found
The Evolving Nature of UN Peace Support Operations: Opportunities and Challenges for Bangladesh,https://bup.edu.bd/research/188,Authors not found
The End of Enclaves in Bangladesh: Transitional Challenges,https://bup.edu.bd/research/187,Authors not found
Operations of Inland Water Passengers’ Vessel in Bangladesh,https://bup.edu.bd/research/186,Authors not found
Personnel Training and Development for United Nations Peace Operations: Bangladesh Perspective,https://bup.edu.bd/research/185,Authors not found
Searching for a Sustainable Poverty Alleviation Approach in Bangladesh: Examining the Palli Karma-Sahayak Foundation Programme,https://bup.edu.bd/research/184,Authors not found
The End of Enclaves in Bangladesh: Transitional Challenges,https://bup.edu.bd/research/183,Authors not found
Impact of Pesticides on Value Chain of Vegetable in Bangladesh,https://bup.edu.bd/research/182,Authors not found
The Benefits of Intermodal Freight Transportation System: An Analytical Study for Bangladesh,https://bup.edu.bd/research/181,Authors not found
An Evaluation of the English Curriculum and Textbook at the HSC Level in Bangladesh,https://bup.edu.bd/research/180,Authors not found
China’s Strategic Interests in South Asia: Implications for Bangladesh,https://bup.edu.bd/research/179,Authors not found
Bangladesh-India Land Border Management: Challenges and Remedies,https://bup.edu.bd/research/178,Authors not found
Musculoskeletal Disorders and Its Associated Risk Factors among Dental Surgeons: Bangladesh Perspective,https://bup.edu.bd/research/177,Authors not found
Sino-Myanmar Connectivity: Regional Implications and Policy Strategy for Bangladesh,https://bup.edu.bd/research/176,Authors not found
Education and Productivity Nexus in Manufacturing: Evidence from Pharmaceutical Sector of Bangladesh,https://bup.edu.bd/research/175,Authors not found
Challenges of Border Guard Bangladesh: Issues in Transnational Threat,https://bup.edu.bd/research/174,Authors not found
Factors Affecting Users’ Adoption of Telemedicine: A Multi-analytical Approach,https://bup.edu.bd/research/173,Authors not found
Reproductive Health Seeking Behavior of the Poor Women in Dhaka City and their Challenges to Access Healthcare Services,https://bup.edu.bd/research/172,Authors not found
Service Quality and Its Impact on User Satisfaction in University Libraries of Bangladesh,https://bup.edu.bd/research/171,Authors not found
Prospects and Challenges of Introducing Master of Philosophy and Doctor of Philosophy Programs in the Private Universities of Bangladesh: An Exploratory Research,https://bup.edu.bd/research/170,Authors not found
Existing Curriculum of Special School in Bangladesh: An Evaluation,https://bup.edu.bd/research/169,Authors not found
Epistemological Shift and Social Mobility of Madrasah Students in Bangladesh,https://bup.edu.bd/research/168,Authors not found
A Framework for Copyright Protection and Data Hiding through Watermarking and Steganography,https://bup.edu.bd/research/167,Authors not found
Implementing Electrical Impedance Techniques for Probing Deep Regions of the Lungs,https://bup.edu.bd/research/166,Authors not found
Fire Risk in RMG Factories of Bangladesh: Assessment and Suggested Remedial Measures,https://bup.edu.bd/research/165,Authors not found
An Assessment on e-Procurement System in the Implementation of Development Projects: A Case Study on Roads and Highways Division of Bangladesh,https://bup.edu.bd/research/164,Authors not found
Use of ICT in Public Sector Reporting System: Its Impact on Accountability and Governance in Bangladesh,https://bup.edu.bd/research/163,Authors not found
Gender Differences in Motivation in Learning English Language: A Context of Madrasha Education in Bangladesh,https://bup.edu.bd/research/162,Authors not found
Evaluation of Aetiological Factors Responsible for Cholelithiasis among Children: A Study on Tertiary Level Hospitals in Bangladesh.,https://bup.edu.bd/research/161,Authors not found
Ensuring Maritime Security of Bangladesh: A Focus on the Roles of Bangladesh Coast Guard,https://bup.edu.bd/research/160,Authors not found
Challenges of Mobile Banking in Bangladesh: An Empirical Study,https://bup.edu.bd/research/159,Authors not found
Sino-Myanmar Connectivity: Regional Implications and Policy Strategy for Bangladesh,https://bup.edu.bd/research/158,Authors not found
"Sub-Regional Transit; Its Management, Impact on Development and Security: Assessment and Recommendations",https://bup.edu.bd/research/157,Authors not found
Impact of Supply Chain Management Practices on Operational Performance in Readymade Garments Industry of Bangladesh,https://bup.edu.bd/research/156,Authors not found
Relevance of Content and Language Integrated Learning to English Literature Classes in a Private University of Bangladesh,https://bup.edu.bd/research/155,Authors not found
Measuring the Effectiveness of Supply Chain Management of Super Shops of Bangladesh,https://bup.edu.bd/research/154,Authors not found
State of Drinking Water in Dhaka City: Challenges and Opportunities  Reg:100407130002 Session: 2012-2013,https://bup.edu.bd/research/153,Authors not found
Change Management and its Implementation in Organizations of Bangladesh,https://bup.edu.bd/research/152,Authors not found
Note on New China 1952 (Amar Dekha Nayachin),https://bup.edu.bd/research/151,Authors not found
Note on Prison Diaries ( Karagarer Rojnamcha),https://bup.edu.bd/research/150,Authors not found
Note on The Unfinished Memoirs (Ashampta Atmajibani),https://bup.edu.bd/research/149,Authors not found
Bangabandhu Sheikh Mujibur Rahman: An Assessment of Leadership,https://bup.edu.bd/research/148,Authors not found
Bangabandhu Sheikh Mujibur Rahman's World View and Peace Perception,https://bup.edu.bd/research/147,Authors not found
World Media on Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/146,Authors not found
World Leaders on Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/145,Authors not found
Bangabandhu Sheikh Mujibur Rahman the World Leader,https://bup.edu.bd/research/144,Authors not found
Bangabandhu Sheikh Mujibur Rahman's Ideas about Agriculture and Development,https://bup.edu.bd/research/143,Authors not found
Writer Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/142,Authors not found
Bangabandhu Sheikh Mujibur Rahman's Women Development Policies and Actions,https://bup.edu.bd/research/141,Authors not found
Legal Ideas of Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/140,Authors not found
Bangabandhu Sheikh Mujibur Rahman and Bangladesh Armed Forces,https://bup.edu.bd/research/139,Authors not found
Bangabandhu Sheikh Mujibur Rahman's Thoughts on Health System,https://bup.edu.bd/research/138,Authors not found
Bangabandhu Sheikh Mujibur Rahman's Religious Philosophy,https://bup.edu.bd/research/137,Authors not found
Bangabandhu Sheikh Mujibur Rahman's Ideas about Bangla Language and His Involvement in the Language Movement,https://bup.edu.bd/research/136,Authors not found
Educational Ideas of Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/135,Authors not found
Economic Philosophy of Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/134,Authors not found
Political Philosophy of Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/133,Authors not found
"Bangabandhu Sheikh Mujibur Rahman and The Formative Phase of Bangladesh Foreign Policy, 1972-1975",https://bup.edu.bd/research/132,Authors not found
Bangabandhu Sheikh Mujibur Rahman's Contribution in Restructuring Bangladesh (Internal),https://bup.edu.bd/research/131,Authors not found
Bangabandhu Sheikh Mujibur Rahman's Speeches for Building Bangladesh,https://bup.edu.bd/research/130,Authors not found
Speeches and Statements of Bangabandhu Sheikh Mujibur Rahman Foreshadowing Bangladesh,https://bup.edu.bd/research/129,Authors not found
A Biographical Sketch of Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/128,Authors not found
Leadership Theory and Bangabandhu Sheikh Mujibur Rahman,https://bup.edu.bd/research/127,Authors not found
"Analyzing the Effects of Covid-19 on Socio Economic Condition: An Emperical Study on Slum Dwellers of Bhashantake- Dhaka North City Corporation, Bangladesh",https://bup.edu.bd/research/126,Authors not found
"Water Quality Analysis of BUP Lake in BUP Campus, Mirpur Cantonment, Dhaka",https://bup.edu.bd/research/125,Authors not found
Integrated Reporting Practice and Capital Allocation Decisions: An Analysis from the Equity Investors’ Perspective,https://bup.edu.bd/research/124,Authors not found
Comparison of Traditional Forecasting Techniques with Artificial Neural Network (ANN) for Managing Inventory of a Fertilizer Company in Bangladesh,https://bup.edu.bd/research/123,Authors not found
Future of Local OTT Platforms in Bangladesh: Boon or Bane,https://bup.edu.bd/research/122,Authors not found
Exploring Awareness About Personal Hygiene and Preventive Practice: A Step Towards the Preparedness of Low-income Households for Covid-19 Pandemic,https://bup.edu.bd/research/121,Authors not found
"Digital Techniologies, Dynamic Capabilities and Sustainable Transformation of Social Enterprises: Mediating Role of Technology Innovation",https://bup.edu.bd/research/120,Authors not found
Factors Affecting the Acceptance of Fintech Services in Bangladesh: An Application of Unified Theory of Acceptance and Use of Technology (UTAUT) Model,https://bup.edu.bd/research/119,Authors not found
Role of Seed Financing for Youth Unemployment of Bangladesh,https://bup.edu.bd/research/118,Authors not found
Assessing the Economic Burden of Online Education: A Survey on Some Selected Universities in Bangladesh,https://bup.edu.bd/research/117,Authors not found
