Authors,Title
"Dipta Neogi, Mahirul Alam Chowdhury, Mst. Moriom Akter, Md. Ishan Arefin Hossain","Mobile detection of cataracts with an optimised lightweight deep Edge Intelligent technique,"
"Sadia Sultana, Israka Jahir, Mabeean Suukyi, Md. Mohibur Rahman Nabil, Afsara Waziha, Sifat Momen ","Advancing Recidivism Prediction for Male Juvenile Offenders: A Machine Learning Approach Applied to Prisoners in Hunan Province,"
"Md. Farabi Mahbub, Warsi Omrao Khan Shuvo, Sifat Momen ","Prediction of Glycemic Control in Diabetes Mellitus Patients Using Machine Learning,"
"Md. Tareq Mahmud, Shayam Imtiaz Shuvo, Nafis Iqbal, Sifat Momen ","Leveraging Deep Object Detection Models for Early Detection of Cancerous Lung Nodules in Chest X-Rays,"
"Mehedi Hasan Bijoy, Nirob Hasan, Mithun Biswas, Suvodeep Mazumdar, Andrea Jimenez, Faisal Ahmed, Mirza Rasheduzzaman, Sifat Momen","Towards Sustainable Agriculture: A Novel Approach for Rice Leaf Disease Detection using dCNN and Enhanced Dataset,"
"Shakirul Islam Leeon, Fahrin Hossain Sunaira, Shanila Nehlin, S.A.M. Zahin Abdal, Sifat Momen","A Machine Learning Approach for Early Detection of Learning Disorders in Pediatrics,"
"Alif Elham Khan, Mohammad Junayed Hasan, Humayra Anjum, Nabeel Mohammed, Sifat Momen","Predicting life satisfaction using machine learning and explainable AI,"
"Mritunjoy Chakraborty, Nishat Naowal, Sifat Momen, Nabeel Mohammed","ANALYZE-AD: A comparative analysis of novel AI approaches for early Alzheimer’s detection,"
"Sara Fariha Shanchary, Md Naved Meraz, Ayman Ibne Hakim, Chowdhury Nafis Faiyaz, Muhammad Shafayat Oshman","Investigating the Factors Affecting Risky Levels of Alcohol Consumption among Students Using Machine Learning Approach,"
"Muhammad Rafsan Kabir, Rafeed Mohammad Sultan, Ihsanul Haque Asif, Jawad Ibn Ahad, Fuad Rahman, Mohammad Ruhul Amin, Nabeel Mohammed, Shafin Rahman","Beyond Labels: Aligning Large Language Models with Human-like Reasoning,"
"Amrijit Biswas, Md. Ismail Hossain, M M Lutfe Elahi, Ali Cheraghian, Fuad Rahman, Nabeel Mohammed, Shafin Rahman","3D Point Cloud Network Pruning: When Some Weights Do not Matter,"
"Rashik Iram Chowdhury, Jareen Anjom, Md. Ishan Arefin Hossain","A novel edge intelligence-based solution for safer footpath navigation of visually impaired using computer vision,"
"Md Shawmoon Azad, Shakirul Islam Leeon, Riasat Khan, Nabeel Mohammed, Sifat Momen","SAD: Self-assessment of depression for Bangladeshi university students using machine learning and NLP,"
"Wahidul Hasan Abir, Faria Rahman Khanam, Kazi Nabiul Alam et al.,","Detecting Deepfake Images Using Deep Learning Techniques and Explainable AI Methods,"
"Md. Saiful Islam, Shuvo Jyoti Das, Md. Riajul Alam Khan, Sifat Momen, Nabeel Mohammed","Detection of COVID-19 and Pneumonia Using Deep Convolutional Neural Network,"
"Sadia Jahan Shanta, Anik Aich, Foyez Ullah Kabir, Sifat Momen","Predicting the Health Status of Cows Using Machine Learning,"
"S.M. Shahriar Ferdous Shovon, Md. Mahir Absar Bin Mohsin, Kanij Tamema Jahan Tama, Jannatul Ferdaous, Sifat Momen","CVR: An Automated CV Recommender System Using Machine Learning Techniques,"
"Raisa Nusrat Chowdhury, Mohammad Fahim Hassan, Md. Arshaduzzaman Fahim, Sifat Momen","Stress Mining from Sleep-Related Parameters,"
"M. M. Ratul, K. A. Rahman, J. Fazal, N. R. Abanto and R. Khan","Face Mask and Social Distance Monitoring via Computer Vision and Deployable System Architecture,"
"Rokeya Siddiqua, Nusrat Islam, Jarba Farnaz Bolaka, Riasat Khan, Sifat Momen","AIDA: Artificial intelligence based depression assessment applied to Bangladeshi students,"
"Kazi Rafat, Sadia Islam, Abdullah Al Mahfug, Md. Ismail Hossain, Fuad Rahman, Sifat Momen, Shafin Rahman, Nabeel Mohammed","Mitigating carbon footprint for knowledge distillation based deep learning model compression,"
"R. B. Islam, S. Akhter, F. Iqbal, M. S. U. Rahman and R. Khan","Deep Learning Based Object Detection and Surrounding Environment Description for Visually Impaired People,"
"S. Siddique, S. Islam, E. E. Neon, T. Sabbir, I. T. Naheen, and R. Khan","Deep Learning-based Bangla Sign Language Detection with an Edge Device,"
"S. Solayman, S. A. Aumi, C. S. Mery, M. Mubassir and R. Khan","Automatic COVID-19 Prediction Using Explainable Machine Learning Techniques,"
"Balwinder Raj, B Gupta, B Gupta Shalendra Singh and Mohammad Monirujjaman Khan","Distributed Intelligent Circuits and Systems,"
"Abu Tareq, Abdullah Al Mahfug, Mohammad Imtiaz Faisal, Tanvir Al Mahmud, Riasat Khan, Sifat Momen","Evaluation of Artificial Intelligence-Based Models for the Diagnosis of Chronic Diseases,"
"Fahad Bin Gias, Fahmida Alam, Sifat Momen","Anxiety Mining from Socioeconomic Data,"
"Md. Ishan Arefin Hossain, Anika Tabassum, Zia Ush Shamszaman","Deep edge intelligence-based solution for heart failure prediction in ambient assisted living,"
"Md. Ishan Arefin Hossain, Ahmed Kiser, Israt Jahan Mitu, Syeda Mahin Binta Haque","Intelligent IoT-based Combined Crop-type and Disease Prediction System with Different Machine Learning & Deep Learning Techniques,"
"Labiba Binte Ismail, Mahira Ibnath Joytu, Tasnim Islam Plabon, Muhammad Shafayat Oshman","Evaluation of Machine Learning Models to Forecast Inflation: Bangladesh as a Case Study,"
"Md. Shawmoon Azad, Shadman Sakib Khan, Rezwan Hossain, Raiyan Rahman, Sifat Momen","Predictive modeling of consumer purchase behavior on social media: Integrating theory of planned behavior and machine learning for actionable insights,"
"Sadia Afrin, Md. Shahad Mahmud Chowdhury, Md. Ekramul Islam, Faisal Ahamed Khan, Labib Imam Chowdhury, Md. Motahar Mahtab, Nazifa Nuha Chowdhury, Massud Forkan, Neelima Kundu, Hakim Arif, Mohammad Mamun Or Rashid, Mohammad Ruhul Amin, Nabeel Mohammed","BanLemma: A Word Formation Dependent Rule and Dictionary Based Bangla Lemmatizer,"
"Md Ekramul Islam, Labib Chowdhury, Faisal Ahamed Khan, Shazzad Hossain, Md Sourave Hossain, Mohammad Mamun Or Rashid, Nabeel Mohammed, Mohammad Ruhul Amin","SentiGOLD: A large bangla gold standard multi-domain sentiment analysis dataset and its evaluation,"
"Koushik Roy, Md Sazzad Hossain, Pritom Kumar Saha, Shadman Rohan, Imranul Ashrafi, Ifty Mohammad Rezwan, Fuad Rahman, BM Mainul Hossain, Ahmedul Kabir, Nabeel Mohammed","A multifaceted evaluation of representation of graphemes for practically effective Bangla OCR,"
"Md Sahadul Hasan Arian, Md Tahmid Ahmed Rakib, Samira Ali, Saif Ahmed, Taseef Hasan Farook, Nabeel Mohammed, James Dudley","Pseudo labelling workflow, margin losses, hard triplet mining, and PENViT backbone for explainable age and biological gender estimation using dental panoramic radiographs,"
Abhishek Das; Towhidul Alam; Md. Zihad Hossain; Habiba Rashid Lamiya; Mohammad Monirujjaman Khan,"A Comparative Study of Ovarian Cancer Prediction Using Machine Learning Method,"
Md. Taufiq Al Hasib Sadi; Zakirul Alam Bhuiyan; Sheng Yun; Md. Ekramul Haq; Md. Shiblee Rahman; Mohammad Monirujjaman Khan,"Deep Learning to Reliable Score Prediction in Hundred Ball Cricket Matches,"
"Mohammad Monirujjaman Khan et al., ","Skin Cancer Detection using Convolutional Neural Network,"
"Anjali Goswami,  Muddada Murali Krishna,  Jayavani Vankara,  Syam Machinathu Parambil Gangadharan,  Chandra Shekhar Yadav,  Manoj Kumar SA,  Mohammad Monirujjaman Khan","Sentiment Analysis of Statement on Social Media and Electronic Media using Machine and Deep Learning Classifiers,"
"A. N. M Fahim Faisal, Afikur Rahman, Mohammad Tanvir Mahmud Habib, Abdul Hasib Siddique, Mehedi Hasan and Mohammad Monirujjaman Khan ","Neural networks based multivariate time series forecasting of solar radiation using meteorological data of different cities of Bangladesh,"
"Şaban Karayağız,  Burcu Oralhan,  Zeki Oralhan,  Hamza Turabieh and Mohammad Monirujjaman Khan","Modeling of Compulsive Behavior Types of Obsessive-Compulsive Disorder Patients by Using the Data Mining Method,"
"Mohammad Monirujjaman Khan , Somayea Islam, Srobani Sarkar, Foyazel Iben Ayaz,Morsaleen Kabeer Ananda, Tahia Tazin et al.,","Machine Learning Based Comparative Analysis for Breast Cancer Prediction,"
"Takbir Alam, Ashibul Khan, Tahia Tazin,Mohammad Monirujjaman Khan et al.","Comparative Analysis of Different Efficient Machine Learning Methods for Fetal Health Classification,"
"Wahidul Hasan Abir,  Md. Fahim Uddin,  Faria Rahman Khanam ,  Tahia Tazin, Mohammad Monirujjaman Khan et. al.,","Explainable AI in Diagnosing and Anticipating Leukemia using Transfer Learning Method,"
"Mohammad Monirujjaman Khan, Sazzad Hossain, Puza Majumder, Shamima Akter and Ratil H. Ashique","A review on machine learning and deep learning for various antenna design applications,"
"Mohammad Nazmul Haque, Tahia Tazin ,Mohammad Monirujjaman Khan , Shahla Faisal et al.,","Predicting Characteristics Associated with Breast Cancer Survival Using Multiple Machine Learning Approaches,"
"Md Shakib Khan , Nafisa Tafshir, Kazi Nabiul Alam ,Abdur Rab Dhruba , Mohammad Monirujjaman Khan , et al.,","Deep Learning for Ocular Disease Recognition: An Inner-Class Balance,"
"Md. Abdul Aziz, Md Manjarul Islam, Md. Shah Paran Munshi, Samiha Samshi, Mohammad Monirujjam Khan","Sentimental Analysis on reviews of Protein Supplement using RNN-LSTM,"
