Authors,Title
"Kenneth NSAFOA-YEBOAH,  Eric Tchao,  Bright Yeboah-Akowuah,  Benjamin Kommey,  Andrew Selasi Agbemenu,  Mohammad Monirujjaman Khan,  Eliel Keelson","Software-Defined Networks for Optical Networks using Flexible Orchestration : Advances, Challenges and Opportunities,"
"A. Sultana, M. M. Khan","Design of UWB Band Notch Textile Antenna for Body-Centric Wireless Network with the Comparison of Five Different Textile Substrate,"
"Ahmed Rohani Islam, Kajol Bhowmick, Debalina Sikder, Hasan U. Zaman","A Multifarious Design of a Microcontroller Based Home Security and Automation System,"
Md. Redwanul Hamid and Hasan U. Zaman,"A Novel Method of Identifying Errors with the Analysis of Alarms in IGW Transmission,"
"M Maksud Alam, Zahidul Amin, and Md. Serajul Abrar","Performance Analysis Of Reed Muller Coded OFDM On Nakagami−m Fading Environment,"
"M Maksud Alam, Farabi Hasan Chadni and Saiful Ahmed Papon","Performance Analysis of MIMO-COFDM under Rayleigh Fading Channel,"
"Raisha Nazmul, Hasan U. Zaman","Radio Network Optimization,"
"F. A. Hossain, Arshad Chowdhury","User mobility prediction based handoff scheme for 60 GHz radio over fiber network,"
"Md Ibrahim Khalil, Arshad M. Chowdhury, and Gee-Kung Chang","Efficient FIR Filter Configuration to Joint IQ Imbalance and Carrier-Phase Recovery in 16-QAM Coherent Receivers,"
"Mohammad Monirujjaman Khan, A. K. M Monsurul Alam","Comparative Study of Rectangular and Circular Microstrip Fed Patch Antennas at 2.45 GHz,"
"Mohammad Monirujjaman Khan, A. K.M Monsurul Alam, Ratil Hasnat Ashique","Comparison of Rectangular and Circular Microstrip Fed Patch Antennas at 5.76 GHz,"
"Mohammad Monirujjaman Khan, Parvez, S.M, et al.","On and Off-Body Radio Channel Performance of a Dual Band Planar Inverted F Antenna,"
"M Maksud Alam, Nusrat J. Disha, Md. Ataur Rahman and Besma Smida","Maximum PEP and ICI Over Coset Representatives for 32 Subcarriers Reed- Muller Coded OFDM,"
"M.I. Khalil, AM Chowdhury, GK Chang","Efficient FIR Filter Configuration to Joint IQ Imbalance and Carrier-Phase Recovery in 16-QAM Coherent Receivers,"
"M.I. Khalil, M.M.H Adib, A.M Chowdhury, M.S. Faruk, Gee-Kung Chang","Least radial distance based carrier phase recovery for 16-QAM coherent optical systems,"
"M.M Hossain Adib, M.I. Khalil, A.M. Chowdhury, Gee-Kung Chang","Non-decision aided LMS algorithm for joint blind equalization and carrier phase estimation in optical coherent receiver,"
"D. Mithun, S. Saha, A.M. Chowdhury, Gee-Kung Chang","Frequency domain chromatic dispersion equalization by fast block normalized least mean square/or 64-QAM Optical Coherent Receiver,"
"M.Z Kamal, A.M. Chowdhury","A PAPR reduction approach in OFDM optical-wireless-access networks using Blind Symbol Power Estimation,"
"Mohammad Monirujjaman Khan, Md. Azizur Rahman, Akram Alomainy and Clive Parini","On-Body Radio Channel Performance of a Small Printed Quasi-Self-Complementary Ultra Wideband Antenna,"
M Maksud Alam and Besma Smida,"PAPR and ICI Reduction of OFDM Signals,"
M Maksud Alam,"A coding technique to reduce PAPR and interference of OFDM systems, M. S. Thesis,"
"M.I. Khalil, M.M.H. Adib, A.M. Chowdhury, M.S. Faruk, A.A. Amin, Gee-Kung Chang","Low complexity non decision directed blind carrier phase recovery algorithm for 16-QAM optical coherent receiver,"
"M.M.H. Adib, T.U. Mullick , A.M. Chowdhury, Gee-Kung Chang","Enhancing C-Si base PV-cell absorption efficiency using micro-hole architecture,"
"Mohammad Monirujjaman Khan, Qammer H. Abbasi, Akram Alomainy and Yang Hao","Radio Propagation Channel Characterisation Using Ultra Wideband Wireless Tags for Body-Centric Wireless Networks in Indoor Environment,"
"Mohammad Monirujjaman Khan, Qammer H. Abbasi, Akram Alomainy and Yang Hao","Ultra Wideband Wireless Tags for Off-Body Radio Channel Characterisation with Varying Subject Postures,"
"Mohammad Monirujjaman Khan, Qammer H. Abbasi, Akram Alomainy, and Yang Hao","Effect of Various Subject Postures on Ultra Wideband Body Sensor Network Performance,"
"Qammer H. Abbasi, Mohammad Monirujjaman Khan, Akram Alomainy and Yang Hao","Sectorial Radio Channel Characterisation for Ultra Wideband Body-Centric Wireless Communications,"
"Qammer H. Abbasi, Mohammad Monirujjaman Khan, Akram Alomainy and Yang Hao","Characterisation of Ultra Wideband Body-Centric Radio Channel Dependency on Angular and Spatial Variations,"
