Authors,Title
"Kazi Tamzid Akhter Md Hasib, Ixion Chowdhury, Saadman Sakib, Mohammad Monirujjaman Khan et al., ","Electronic Health Record Monitoring System and Data Security using Blockchain Technology,"
"Mohammad Monirujjaman Khan,  Nishat Tasnim Roza et al.,","Revolutionizing E-Commerce using Blockchain Technology and Implementing Smart Contract,"
"Farjana Khanam Nishi, Zebin Mahi, Mohammad Monirujjaman Khan et al.,","Electronic Healthcare Data Record Security Using Blockchain and Smart Contract,"
"AKM Bahalul Haque, Bharat Bhushan","Emergence of Blockchain Technology: A Reliable and Secure Solution for IoT Systems,"
"AKM Bahalul Haque, Bharat Bhushan","Security Attacks and Countermeasures in Wireless Sensor Network,"
"Tahmid Hasan Pranto​, Abdulla All Noman, Atik Mahmud, AKM Bahalul Haque​​","Blockchain and smart contract for IoT enabled smart agriculture,"
"Minhaj Uddin Chowdhury, Khairunnahar Suchana, Syed Md Eftekhar Alam, Mohammad Monirujjaman Khan","Blockchain Application in Banking System,"
"Manoshi Das Turjo, Mohammad Monirujjaman Khan et al., ","Smart Supply Chain Management Using Blockchain and Smart Contract,"
"Mohammad Nafis Ul Islam, Ahmed Fahmin, Md Shohrab Hossain, Mohammed Atiquzzaman","Denial-of-Service Attacks on Wireless Sensor Network and Defense Techniques,"
"Abid Hassan, MD. Iftekhar Ali, Rifat Ahammed and Mohammad Monirujjaman Khan ","Secured Insurance Framework Using Blockchain and Smart Contract,"
"Lianying Zhao, Muhammad Shafayat Oshman, Mengyuan Zhang, Fereydoun Farrahi Moghaddam, Shubham Chander, Makan Pourzandi","Towards 5G-ready Security Metrics,"
"AKM Bahalul Haque, Mahbubur Rahman","Blockchain Technology: Methodology, Application and Security Issues,"
"Koushik Roy , Nur Islam , Tarango Khan, Mohammad Monirujjaman Khan","A novel Approach to Data Storage Using Blockchain Technology,"
"Moniruz Zaman, Delwar Alam, Touhid Bhuiyan, Tanjila Farah ","A Study of the Effects of Heartbleed Vulnerability in Bangladesh,"
"T. Farah, D. Alam, M. Zaman, and T. Bhuiyan","A case study of Blockchain Technology,"
"10. M. S. Hossain, Sazzad Hosain, Tanjila Farah","A Study of Cyber security threats in core banking system of Bangladesh,"
"Rafiya Hossain, Moonmoon Ahmed, Md. Mozadded Alfasani and Hasan U. Zaman","An Advanced Security System Integrated With RFID Based Automated Toll Collection System,"
"Hasan. U. Zaman, Tarafder Elmi Tabassum, Tanha Islam, Nadia Mohammad","Low Cost Multi-level Home Security System For Developing Countries,"
"Hasan U. Zaman, Jannatul Siffat Hossain, Tasnim Tamanna Anika, Deboshree Choudhury","RFID Based Attendance System,"
"Rafiya Hossain, Moonmoon Ahmed, Hasan Uz Zaman","A Cost Effective Security Technology Integrated with RFID Based Automated Toll Collection System,"
"Iftekharul Mobin, Nabeel Mohammed, Sifat Momen","Optimal range estimation for energy efficient dynamic packet size,"
"Nova Ahmed, Minhaz Ahmed Syrus, Arshad Chowdhury","Simple Group Photo Sharing Using Facesense,"
"Tanjila Farah, Rashed Shelim, Moniruz Zaman, Delwar Alam","Study of Race Condition: A Privilege Escalation Vulnerability,"
