Authors,Title
"Md. Iqbal Aziz Khan, Md. Rokanujjaman",Part-based Similarity Assessment between the Left and Right Retina of an Individual with Legendre Moments
"Rokanujjaman, Iqbal Aziz Khan",Speed Invariant Gait Identification using Frequency Domain Feature
"Md Rokanujjaman, Md Altab Hossain, Md Rezaul Islam, AKM Akhtar Hossain",Part-Based Speed Invariant Human Gait Identification
"I Ahmed, M Rokanujjaman, AF Ahmad",Server Based Operating System (OS) Research Direction for Future Smart World Using Internet of Things
"AKMA Hossain, M Rokanujjaman, SKA Kamal","Person Identification Using Iris, Facial Image and Fingerprint with the Combined Algorithm of Principle Component Analysis and Singular Value Decomposition"
"M Rokanujjaman, MS Islam, MA Hossain, MR Islam, Y Makihara, Y Yagi",Effective part-based gait identification using frequency-domain gait entropy features
"I Ahmed, M Rokanujjaman, AF Ahmad",Gait recognition performance enhancement using dynamic selection
"M Rokanujjaman, MA Hossain, MR Islam, AKMA Hossain, A Ferworn",Part definition and selection for part-based speed invariant gait recognition
"I Ahmed, M Rokanujjaman",Gait-Based Person Identification Considering Clothing Variation
"M Rokanujjaman, MA Hossain, MA Hossin",Part-based gait identification using fusion technique
"MS Islam, A Matin, J Paul, M Rokanujjaman, MA Hossain",A new effective part selection approach for part-based gait recognition
"M Rokanujjaman, MA Hossain, MR Islam, MS Islam",Effective part definition for gait identification using gait entropy image
"M Rokanujjaman, MA Hossain, MR Islam",Effective part selection for part-based gait identification
"Md. Rokanujjaman, Md. Altab Hossain, Md. Rezaul Islam, A. K. M. Akhtar Hossain",Part-Based speed Invariant Human Gait Identification
A.K.M. Akhtar Hossain,Decision Fusion based Person Identification System using Fingerprints and Facial Image with Template Matching
"A.K.M. Akhtar Hossain, Md. Rokanujjaman, S.K. Ahmed Kamal",Facial Image and Fingerprint with the Combined Algorithm of Principle Component Analysis and Singular Value Decomposition
"Md. Geaur Rahman, A.R.S. Ahmed Siddique, Somlal Das, A.K.M. Akhtar Hossain",Developing an Agent-Mediated E-Commerce Environment for the Mobile Shopper
A.K.M. Akhtar Hossain,Person Identification System Using Iris Biometric Feature with Principle Component Analysis
"A.K.M. Akhtar Hossain, Adiba Mahjabin Nitu",Face Recognition System Using Principal Components Analysis and Artificial Neural Network
"Md. Nasim Akhtar, Ad. Mahabub Hossain, S.K. Ahmed Kamal, A. K. M. Akhtar Hossain, Md. Shihab Hossain",Formalization of the Knowledge Based for Situational Control of the Transport Dispatching Network Management
"Adiba Mahjabin Nitu , A. K. M. Akhtar Hossain & S.K. Ahmed Kamal",A Multimodal Biometric System Using Principal Component Analysis with Features Facial Image and Fingerprint for Person Identification
"M Geaur Rahman, A K M Akhtar Hossain, M Khademul Islam Molla,",Design and development of Bangla programming Environment with its Compiler
A. K. M. Akhtar Hossain & S.K. Ahmed Kamal,An Approach To Extract Fingerprint Feature Using Grid-Mapping Technique And To Match Through BackPropagation Neural Network
A. K. M. Akhtar Hossain and S.K. Ahmed Kamal,Fingerprint Verification System Using Minimum Distance Error Rate BackPropagation Algorithm
"A.K.M. Akhtar Hossain, Md. Nazmul, R C. Debnath",Adaptive Resonance Resonance-2 Network Based Fingerprint Verification System
R. C. Debnath and A.K.M. Akhtar Hossain,Pattern Classification by Neural Networks
"Md. Rokanujjaman, Md. Altab Hossain, Md. Rezaul Islam, AKM Akhtar Hossain, Alexander Ferworn",Part Definition and Selection for Part-Based Speed Invariant Gait Recognition
"Md. Zahangir alom, A.K.M. Akhtar Hossain",An Application of License Plate Recognition System in E-Government
"K.M. Ibrahim Khalilullah, Sujan Kumar Roy, A.K.M. Akhtar Hossain",Human Face Recognition System Using Principal Components Analysis and Artificial Neural Network with Variation of Facial Images
"Md. Zahangir alom, Adiba Mahjabin Nitu, A.K.M. Akhtar Hossain, S.K. Ahmed Kamal","Comparative Study on Person Identification using Biometric Features Iris, Facial Image and Fingerprints with Principle Component Analysis and Singular Value Decomposition"
"Md. Zahangir Alom, A.K.M. Akhtar Hossain",Real-Time Automobile License Plate Detection using Neural Networks
"Md. Omar Faruqe, Sangeeta Bisswas, Tarequl Islam, Shamim Ahmad, A.K.M.A. Hossain",Performance Evaluation of Different Image Compression Techniques for Different Digital Images
A. K. M. Akhtar Hossain and S. K. Ahmed Kamal,Grid Mapping Features based Fingerprint Verification System
"A.K.M. Akhtar Hossain, Md. Nazmul Huda, R. C. Debnath",Off-line Signature Verification System Using Adaptive Resonance Theory-1 (ART-1) Network
"A.K.M. Akhtar Hossain, Md. Nazmul Huda, Asif Zaman, R. C. Debnath",ART-2 Based Fingerprint Verification System
"Md. Geaur Rahman, A. K. M. Akhtar Hossain, Md. Abdul Alim, A. R. Shoyeb Ahmed Siddique and Khawja Jakaria Ahmad Chisty",Developing an Agent-Mediated E-Commerce Environment for the Mobile Shopper
"Md. Nobir Uddin, Md. Geaur Rahman, A. K. M. Akhtar Hossain, Subrata Pramanik and Ramesh Chandra Debnath",A New Approach of Developing a Hospital Management System using Natural Language Technology (English Query)
"Md. Geaur Rahman, Mst. Zannatul Ferdaus, A. K. M. Akhtar Hossain, Md. Khademul Islam Molla, Khawja Jakaria Ahmad Chisty",Developing a Mobility-Based Framework for Adaptive Clustering in Wireless Ad-Hoc Networks
"Md. Geaur Rahman, A. K. M. Akhtar Hossain, Md. Altab Hossain, Ramesh Chandra Debnath",A Web-based Signature Verification System using Mobile Agent Technology
"A.K.M. Akhtar Hossain, Md. Nazmul Huda, Md. Rokanujjaman, R. C. Debnath,",Off-line Fingerprint Verification Using Supervised Neural Network
"A.K.M. Akhtar Hossain, Md. Geaur Rahman, R. C. Debnath",Comparative Study of Signature Verification System Using Supervised (BPNN) and Unsupervised (HMM) Models
"Md. Iqbal Aziz Khan, A.K.M. Akhtar Hossain, R. C. Debnath",A Bangla Conversation Processor Using Natural Language Processing
"M. K. I. Molla, A. T. M. J. Alam, M. Akter, A. R. S. A. Siddique",Analysis of Inter-annual Climate Variability Using Discrete Wavelet Transform
"M. K. I. Molla, K Hirose and N Minematsu","Separation of Mixed Audio Signals by Source Localization and Binary Masking with Hilbert Spectrum”, Independent Component Analysis and Blind Source Separation"
"M. K. I. Molla, K H Talukder and M A Hossain",Line Chart Recognition and Data Extraction Technique
"A. A. Shiam, K. M. Hassan, M. R. Islam, A. M. M. Almassri, H. Wagatsuma and M. K I. Molla",Motor Imagery Classification Using Effective Channel Selection of Multichannel EEG
"S. Hossain, R. H. Rafi, F. A. Ripa, M. R. I. Khan, M. E. Hosen, M. K. I. Molla, M. O. Faruqe, M. A. A. Al-Bari and S. Das",Modulating the antibacterial effect of the existing antibiotics along with repurposing drug metformin
"M. K. I. Molla, S. Ahamed, A. M. M. Almassri and H. Wagatsuma",Classification of Motor Imagery Using Trial Extension in Spatial Domain with Rhythmic Components of EEG
"M. M. Alom, M. O. Faruqe, M. K. I. Molla and M. M. Rahman",Exploring Prognostic Biomarkers of Acute Myeloid Leukemia to Determine Its Most Effective Drugs from the FDA-Approved List through Molecular Docking and Dynamic Simulation
"M. H. Kabir, S. Mahmood, A. A. Shiam, A. S. M. Miah, J. Shin and M. K. I. Molla",Investigating Feature Selection Techniques to Enhance the Performance of EEG- Based Motor Imagery Tasks Classification
"I. Farhana, J. Shin, S. Mahmood, M. R. Islam and M. K. I. Molla",Emotion Recognition using Narrowband Spatial Features of Electroencephalography
"K. M. Hassan, M. R. Islam, T. T. Nguyen and M. K. I. Molla",Epileptic seizure detection in EEG using mutual information-based best individual feature selection
