Author ID,Paper ID,Title
buet_author_0,buet_paper_0, Generative Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR)
buet_author_1,buet_paper_0, Generative Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR)
buet_author_2,buet_paper_0, Generative Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR)
buet_author_3,buet_paper_1,Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model
buet_author_4,buet_paper_1,Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model
buet_author_2,buet_paper_1,Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model
buet_author_3,buet_paper_2,Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model
buet_author_5,buet_paper_2,Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model
buet_author_4,buet_paper_2,Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model
buet_author_2,buet_paper_2,Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model
buet_author_3,buet_paper_3,LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning
buet_author_4,buet_paper_3,LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning
buet_author_2,buet_paper_3,LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning
buet_author_6,buet_paper_4,Expert Systems with Applications
buet_author_7,buet_paper_4,Expert Systems with Applications
buet_author_8,buet_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information
buet_author_9,buet_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information
buet_author_10,buet_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information
buet_author_11,buet_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information
buet_author_12,buet_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information
buet_author_13,buet_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information
buet_author_14,buet_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information
buet_author_0,buet_paper_6,Gradient-guided discrete walk-jump sampling for biological sequence generation
buet_author_1,buet_paper_6,Gradient-guided discrete walk-jump sampling for biological sequence generation
buet_author_2,buet_paper_6,Gradient-guided discrete walk-jump sampling for biological sequence generation
buet_author_15,buet_paper_7,wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs
buet_author_16,buet_paper_7,wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs
buet_author_17,buet_paper_7,wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs
buet_author_18,buet_paper_8,Terraces in species tree inference from gene trees
buet_author_19,buet_paper_8,Terraces in species tree inference from gene trees
buet_author_20,buet_paper_8,Terraces in species tree inference from gene trees
buet_author_21,buet_paper_8,Terraces in species tree inference from gene trees
buet_author_17,buet_paper_8,Terraces in species tree inference from gene trees
buet_author_22,buet_paper_9,Bioinformatics
buet_author_23,buet_paper_9,Bioinformatics
buet_author_24,buet_paper_10,14
buet_author_25,buet_paper_10,14
buet_author_26,buet_paper_11,Prioritization and offloading in P4 switch integrated with NFV
buet_author_27,buet_paper_11,Prioritization and offloading in P4 switch integrated with NFV
buet_author_28,buet_paper_12,A Relaxed and Faster Switch Migration Framework to Balance the Load of Distributed Control Plane in Software Defined Networks
buet_author_29,buet_paper_12,A Relaxed and Faster Switch Migration Framework to Balance the Load of Distributed Control Plane in Software Defined Networks
buet_author_26,buet_paper_13,3GPP Edge-Fog Federation: Transparent 3rd-Party Authentication and Application Mobility
buet_author_27,buet_paper_13,3GPP Edge-Fog Federation: Transparent 3rd-Party Authentication and Application Mobility
buet_author_30,buet_paper_14,1--12
buet_author_31,buet_paper_14,1--12
buet_author_32,buet_paper_15,Service Oriented Computing and Applications
buet_author_33,buet_paper_15,Service Oriented Computing and Applications
buet_author_34,buet_paper_16,An Alignment-Free Method for Detection of Missing Regions for Phylogenetic Analysis
buet_author_35,buet_paper_16,An Alignment-Free Method for Detection of Missing Regions for Phylogenetic Analysis
buet_author_36,buet_paper_17,Mouna Shahba Tasmiya
buet_author_37,buet_paper_17,Mouna Shahba Tasmiya
buet_author_38,buet_paper_17,Mouna Shahba Tasmiya
buet_author_39,buet_paper_18,MAlign: Explainable static raw-byte based malware family classification using sequence alignment
buet_author_40,buet_paper_18,MAlign: Explainable static raw-byte based malware family classification using sequence alignment
buet_author_41,buet_paper_18,MAlign: Explainable static raw-byte based malware family classification using sequence alignment
buet_author_42,buet_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets
buet_author_43,buet_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets
buet_author_44,buet_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets
buet_author_45,buet_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets
buet_author_35,buet_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets
buet_author_46,buet_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets
buet_author_47,buet_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal)
buet_author_48,buet_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal)
buet_author_49,buet_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal)
buet_author_50,buet_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal)
buet_author_51,buet_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal)
buet_author_52,buet_paper_21,The Computer Journal
buet_author_53,buet_paper_21,The Computer Journal
buet_author_54,buet_paper_22,IEEE Transactions on Intelligent Transportation Systems
buet_author_55,buet_paper_22,IEEE Transactions on Intelligent Transportation Systems
buet_author_56,buet_paper_23,CRISPR-DIPOFF: an interpretable deep learning approach for CRISPR Cas-9 off-target prediction
buet_author_57,buet_paper_23,CRISPR-DIPOFF: an interpretable deep learning approach for CRISPR Cas-9 off-target prediction
buet_author_58,buet_paper_23,CRISPR-DIPOFF: an interpretable deep learning approach for CRISPR Cas-9 off-target prediction
buet_author_59,buet_paper_24,Mohammed Raihan Azad
buet_author_60,buet_paper_24,Mohammed Raihan Azad
buet_author_61,buet_paper_24,Mohammed Raihan Azad
buet_author_62,buet_paper_25,7(4)
buet_author_63,buet_paper_25,7(4)
buet_author_64,buet_paper_26,StackDPP: a stacking ensemble based DNA-binding protein prediction model
buet_author_65,buet_paper_26,StackDPP: a stacking ensemble based DNA-binding protein prediction model
buet_author_66,buet_paper_26,StackDPP: a stacking ensemble based DNA-binding protein prediction model
buet_author_2,buet_paper_26,StackDPP: a stacking ensemble based DNA-binding protein prediction model
buet_author_67,buet_paper_27,Springer Nature Computer Science
buet_author_68,buet_paper_27,Springer Nature Computer Science
buet_author_69,buet_paper_28,Smart Health
buet_author_70,buet_paper_28,Smart Health
buet_author_71,buet_paper_29,SSDL–An efficient automated semi-supervised deep learning approach for patient-specific 3D reconstruction of proximal femur from QCT images
buet_author_72,buet_paper_29,SSDL–An efficient automated semi-supervised deep learning approach for patient-specific 3D reconstruction of proximal femur from QCT images
buet_author_73,buet_paper_29,SSDL–An efficient automated semi-supervised deep learning approach for patient-specific 3D reconstruction of proximal femur from QCT images
buet_author_74,buet_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations
buet_author_75,buet_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations
buet_author_76,buet_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations
buet_author_77,buet_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations
buet_author_78,buet_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations
buet_author_79,buet_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations
buet_author_80,buet_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations
buet_author_26,buet_paper_31,Offloading in P4 switch Integrated with multiple Virtual Network Function Servers
buet_author_27,buet_paper_31,Offloading in P4 switch Integrated with multiple Virtual Network Function Servers
buet_author_81,buet_paper_32,Mohammed Atiquzzaman
buet_author_26,buet_paper_32,Mohammed Atiquzzaman
buet_author_82,buet_paper_33,Sangwu Lee
buet_author_83,buet_paper_33,Sangwu Lee
buet_author_84,buet_paper_33,Sangwu Lee
buet_author_62,buet_paper_34,7(1)
buet_author_63,buet_paper_34,7(1)
buet_author_82,buet_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating
buet_author_85,buet_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating
buet_author_86,buet_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating
buet_author_87,buet_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating
buet_author_88,buet_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating
buet_author_89,buet_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating
buet_author_90,buet_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating
buet_author_91,buet_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating
buet_author_92,buet_paper_36,Heliyon
buet_author_93,buet_paper_36,Heliyon
buet_author_94,buet_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data
buet_author_95,buet_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data
buet_author_96,buet_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data
buet_author_97,buet_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data
buet_author_46,buet_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data
buet_author_98,buet_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data
buet_author_99,buet_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media
buet_author_51,buet_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media
buet_author_100,buet_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media
buet_author_101,buet_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media
buet_author_102,buet_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media
buet_author_103,buet_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media
buet_author_104,buet_paper_39,Rifat Shahriyar
buet_author_105,buet_paper_39,Rifat Shahriyar
buet_author_106,buet_paper_39,Rifat Shahriyar
buet_author_107,buet_paper_40,Efficient algorithms for community aware ridesharing
buet_author_108,buet_paper_40,Efficient algorithms for community aware ridesharing
buet_author_109,buet_paper_41,BEENE: deep learning-based nonlinear embedding improves batch effect estimation
buet_author_110,buet_paper_41,BEENE: deep learning-based nonlinear embedding improves batch effect estimation
buet_author_111,buet_paper_41,BEENE: deep learning-based nonlinear embedding improves batch effect estimation
buet_author_17,buet_paper_41,BEENE: deep learning-based nonlinear embedding improves batch effect estimation
buet_author_112,buet_paper_42,Masfiqur Rahaman
buet_author_113,buet_paper_42,Masfiqur Rahaman
buet_author_114,buet_paper_42,Masfiqur Rahaman
buet_author_115,buet_paper_43,ACM Journal on Computing and Sustainable Societies
buet_author_116,buet_paper_43,ACM Journal on Computing and Sustainable Societies
buet_author_117,buet_paper_44,RemOrphan: Object Storage Sustainability through Removing Offline-Processed Orphan Garbage Data
buet_author_118,buet_paper_44,RemOrphan: Object Storage Sustainability through Removing Offline-Processed Orphan Garbage Data
buet_author_119,buet_paper_45,A ubiquitous method for predicting underground petroleum deposits based on satellite data
buet_author_4,buet_paper_45,A ubiquitous method for predicting underground petroleum deposits based on satellite data
buet_author_120,buet_paper_45,A ubiquitous method for predicting underground petroleum deposits based on satellite data
buet_author_121,buet_paper_46,Journal of Computational Biology
buet_author_122,buet_paper_46,Journal of Computational Biology
buet_author_123,buet_paper_47,Safest Nearby Neighbor Queries in Road Networks
buet_author_124,buet_paper_47,Safest Nearby Neighbor Queries in Road Networks
buet_author_125,buet_paper_47,Safest Nearby Neighbor Queries in Road Networks
buet_author_124,buet_paper_48,Representative dissimilar path queries: accommodating human movement dynamics in road networks
buet_author_126,buet_paper_48,Representative dissimilar path queries: accommodating human movement dynamics in road networks
buet_author_127,buet_paper_48,Representative dissimilar path queries: accommodating human movement dynamics in road networks
buet_author_128,buet_paper_48,Representative dissimilar path queries: accommodating human movement dynamics in road networks
buet_author_129,buet_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data
buet_author_126,buet_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data
buet_author_130,buet_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data
buet_author_131,buet_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data
buet_author_132,buet_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data
buet_author_124,buet_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data
buet_author_133,buet_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data
buet_author_134,buet_paper_50,IEEE Transactions on Knowledge and Data Engineering
buet_author_135,buet_paper_50,IEEE Transactions on Knowledge and Data Engineering
buet_author_136,buet_paper_51,Empirical software engineering
buet_author_137,buet_paper_51,Empirical software engineering
buet_author_138,buet_paper_52,Actual rating calculation of the zoom cloud meetings app using user reviews on google play store with sentiment annotation of BERT and hybridization of RNN and LSTM
