Author ID,Paper ID,Title
cuet_author_0,cuet_paper_0,ADBNet: An Attention-Guided Deep Broad Convolutional Neural Network for the Classification of Breast Cancer Histopathology Images
cuet_author_1,cuet_paper_0,ADBNet: An Attention-Guided Deep Broad Convolutional Neural Network for the Classification of Breast Cancer Histopathology Images
cuet_author_2,cuet_paper_0,ADBNet: An Attention-Guided Deep Broad Convolutional Neural Network for the Classification of Breast Cancer Histopathology Images
cuet_author_3,cuet_paper_0,ADBNet: An Attention-Guided Deep Broad Convolutional Neural Network for the Classification of Breast Cancer Histopathology Images
cuet_author_4,cuet_paper_1,XAI-Driven Lightweight Multiscale ConvLSTM Architecture for Video Violence Detection
cuet_author_1,cuet_paper_1,XAI-Driven Lightweight Multiscale ConvLSTM Architecture for Video Violence Detection
cuet_author_5,cuet_paper_1,XAI-Driven Lightweight Multiscale ConvLSTM Architecture for Video Violence Detection
cuet_author_6,cuet_paper_2,An Enhanced Feature-Based Hybrid Approach for Adversarial PDF Malware Detection
cuet_author_1,cuet_paper_2,An Enhanced Feature-Based Hybrid Approach for Adversarial PDF Malware Detection
cuet_author_7,cuet_paper_2,An Enhanced Feature-Based Hybrid Approach for Adversarial PDF Malware Detection
cuet_author_8,cuet_paper_3,Removing Rain from Single Image Using Atrous U-Net and GAN
cuet_author_9,cuet_paper_3,Removing Rain from Single Image Using Atrous U-Net and GAN
cuet_author_1,cuet_paper_3,Removing Rain from Single Image Using Atrous U-Net and GAN
cuet_author_10,cuet_paper_4,A hybrid deep learning framework for daily living human activity recognition with cluster-based video summarization
cuet_author_11,cuet_paper_4,A hybrid deep learning framework for daily living human activity recognition with cluster-based video summarization
cuet_author_12,cuet_paper_4,A hybrid deep learning framework for daily living human activity recognition with cluster-based video summarization
cuet_author_13,cuet_paper_4,A hybrid deep learning framework for daily living human activity recognition with cluster-based video summarization
cuet_author_6,cuet_paper_5,PDF Malware Detection: Towards Machine Learning Modeling with Explainability Analysis
cuet_author_1,cuet_paper_5,PDF Malware Detection: Towards Machine Learning Modeling with Explainability Analysis
cuet_author_14,cuet_paper_5,PDF Malware Detection: Towards Machine Learning Modeling with Explainability Analysis
cuet_author_7,cuet_paper_5,PDF Malware Detection: Towards Machine Learning Modeling with Explainability Analysis
cuet_author_15,cuet_paper_6,Estimation from Human Facial Expression Using Deep Neural Network
cuet_author_16,cuet_paper_6,Estimation from Human Facial Expression Using Deep Neural Network
cuet_author_1,cuet_paper_6,Estimation from Human Facial Expression Using Deep Neural Network
cuet_author_4,cuet_paper_7,Classification of Lung and Colon Cancer Histopathological Images Using Global Context Attention Based Convolutional Neural Network
cuet_author_1,cuet_paper_7,Classification of Lung and Colon Cancer Histopathological Images Using Global Context Attention Based Convolutional Neural Network
cuet_author_2,cuet_paper_7,Classification of Lung and Colon Cancer Histopathological Images Using Global Context Attention Based Convolutional Neural Network
cuet_author_3,cuet_paper_7,Classification of Lung and Colon Cancer Histopathological Images Using Global Context Attention Based Convolutional Neural Network
cuet_author_17,cuet_paper_8,Improved YOLOv5-Based Real-Time Road Pavement Damage Detection in Road Infrastructure Management
cuet_author_18,cuet_paper_8,Improved YOLOv5-Based Real-Time Road Pavement Damage Detection in Road Infrastructure Management
cuet_author_1,cuet_paper_8,Improved YOLOv5-Based Real-Time Road Pavement Damage Detection in Road Infrastructure Management
cuet_author_7,cuet_paper_8,Improved YOLOv5-Based Real-Time Road Pavement Damage Detection in Road Infrastructure Management
cuet_author_15,cuet_paper_9,Attention-Based Human Age Estimation from Face Images to Enhance Public Security
cuet_author_16,cuet_paper_9,Attention-Based Human Age Estimation from Face Images to Enhance Public Security
cuet_author_1,cuet_paper_9,Attention-Based Human Age Estimation from Face Images to Enhance Public Security
cuet_author_7,cuet_paper_9,Attention-Based Human Age Estimation from Face Images to Enhance Public Security
cuet_author_19,cuet_paper_10,Outdoor Trash Detection in Natural Environment Using a Deep Learning Model
cuet_author_1,cuet_paper_10,Outdoor Trash Detection in Natural Environment Using a Deep Learning Model
cuet_author_20,cuet_paper_10,Outdoor Trash Detection in Natural Environment Using a Deep Learning Model
cuet_author_2,cuet_paper_10,Outdoor Trash Detection in Natural Environment Using a Deep Learning Model
cuet_author_3,cuet_paper_10,Outdoor Trash Detection in Natural Environment Using a Deep Learning Model
cuet_author_21,cuet_paper_11,Human Pose Estimation Using Parallel Architecture
cuet_author_1,cuet_paper_11,Human Pose Estimation Using Parallel Architecture
cuet_author_19,cuet_paper_11,Human Pose Estimation Using Parallel Architecture
cuet_author_22,cuet_paper_11,Human Pose Estimation Using Parallel Architecture
cuet_author_23,cuet_paper_12,Daily Living Human Activity Recognition Using Deep Neural Networks
cuet_author_1,cuet_paper_12,Daily Living Human Activity Recognition Using Deep Neural Networks
cuet_author_24,cuet_paper_12,Daily Living Human Activity Recognition Using Deep Neural Networks
cuet_author_22,cuet_paper_12,Daily Living Human Activity Recognition Using Deep Neural Networks
cuet_author_4,cuet_paper_13,Classification of Lung and Colon Cancer Using Deep Learning Method
cuet_author_1,cuet_paper_13,Classification of Lung and Colon Cancer Using Deep Learning Method
cuet_author_22,cuet_paper_13,Classification of Lung and Colon Cancer Using Deep Learning Method
cuet_author_0,cuet_paper_14,Classifying Breast Cancer Using Deep Convolutional Neural Network Method
cuet_author_1,cuet_paper_14,Classifying Breast Cancer Using Deep Convolutional Neural Network Method
cuet_author_22,cuet_paper_14,Classifying Breast Cancer Using Deep Convolutional Neural Network Method
cuet_author_25,cuet_paper_15,A comprehensive study on atlas-based classification of autism spectrum disorder using functional connectivity features from resting-state functional magnetic resonance imaging
cuet_author_1,cuet_paper_15,A comprehensive study on atlas-based classification of autism spectrum disorder using functional connectivity features from resting-state functional magnetic resonance imaging
cuet_author_26,cuet_paper_16,Person Recognition Based on Deep Gait: A Survey
cuet_author_27,cuet_paper_16,Person Recognition Based on Deep Gait: A Survey
cuet_author_1,cuet_paper_16,Person Recognition Based on Deep Gait: A Survey
cuet_author_28,cuet_paper_16,Person Recognition Based on Deep Gait: A Survey
cuet_author_18,cuet_paper_17,A Transfer Learning Approach to Recognize Pedestrian Attributes
cuet_author_29,cuet_paper_17,A Transfer Learning Approach to Recognize Pedestrian Attributes
cuet_author_1,cuet_paper_17,A Transfer Learning Approach to Recognize Pedestrian Attributes
cuet_author_30,cuet_paper_18,Flood Region Detection Based on K-Means Algorithm and Color Probability
cuet_author_9,cuet_paper_18,Flood Region Detection Based on K-Means Algorithm and Color Probability
cuet_author_1,cuet_paper_18,Flood Region Detection Based on K-Means Algorithm and Color Probability
cuet_author_16,cuet_paper_19,Multi-Person Pose Estimation using Group-Based Convolutional Neural Network Model
cuet_author_1,cuet_paper_19,Multi-Person Pose Estimation using Group-Based Convolutional Neural Network Model
cuet_author_31,cuet_paper_19,Multi-Person Pose Estimation using Group-Based Convolutional Neural Network Model
cuet_author_2,cuet_paper_19,Multi-Person Pose Estimation using Group-Based Convolutional Neural Network Model
cuet_author_3,cuet_paper_19,Multi-Person Pose Estimation using Group-Based Convolutional Neural Network Model
cuet_author_32,cuet_paper_20,Shadow processing with color model adjustment and texture analysis
cuet_author_33,cuet_paper_20,Shadow processing with color model adjustment and texture analysis
cuet_author_34,cuet_paper_20,Shadow processing with color model adjustment and texture analysis
cuet_author_35,cuet_paper_20,Shadow processing with color model adjustment and texture analysis
cuet_author_36,cuet_paper_21,Road Damage Detection and Classification using Deep Neural Network
cuet_author_18,cuet_paper_21,Road Damage Detection and Classification using Deep Neural Network
cuet_author_1,cuet_paper_21,Road Damage Detection and Classification using Deep Neural Network
cuet_author_16,cuet_paper_22,Jointly Learning Structure for Human Pose Estimation using Convolutional Neural Networks
cuet_author_31,cuet_paper_22,Jointly Learning Structure for Human Pose Estimation using Convolutional Neural Networks
cuet_author_1,cuet_paper_22,Jointly Learning Structure for Human Pose Estimation using Convolutional Neural Networks
cuet_author_37,cuet_paper_23,Masked Face Inpainting Using Generative Adversarial Network Based Architecture
cuet_author_24,cuet_paper_23,Masked Face Inpainting Using Generative Adversarial Network Based Architecture
cuet_author_1,cuet_paper_23,Masked Face Inpainting Using Generative Adversarial Network Based Architecture
cuet_author_19,cuet_paper_24,Trash Image Classification Using Transfer Learning Based Deep Neural Network
cuet_author_29,cuet_paper_24,Trash Image Classification Using Transfer Learning Based Deep Neural Network
cuet_author_24,cuet_paper_24,Trash Image Classification Using Transfer Learning Based Deep Neural Network
cuet_author_1,cuet_paper_24,Trash Image Classification Using Transfer Learning Based Deep Neural Network
cuet_author_24,cuet_paper_25,Detecting Spam SMS Using Self Attention Mechanism
cuet_author_29,cuet_paper_25,Detecting Spam SMS Using Self Attention Mechanism
cuet_author_1,cuet_paper_25,Detecting Spam SMS Using Self Attention Mechanism
cuet_author_29,cuet_paper_26,Fine-Grained Soccer Actions Classification Using Deep Neural Network
cuet_author_24,cuet_paper_26,Fine-Grained Soccer Actions Classification Using Deep Neural Network
cuet_author_38,cuet_paper_26,Fine-Grained Soccer Actions Classification Using Deep Neural Network
cuet_author_1,cuet_paper_26,Fine-Grained Soccer Actions Classification Using Deep Neural Network
cuet_author_22,cuet_paper_26,Fine-Grained Soccer Actions Classification Using Deep Neural Network
cuet_author_39,cuet_paper_27,Emotion Recognition from Speech Using Deep Learning
cuet_author_1,cuet_paper_27,Emotion Recognition from Speech Using Deep Learning
cuet_author_40,cuet_paper_28,Emergency Vehicle Detection Using Deep Convolutional Neural Network
cuet_author_41,cuet_paper_28,Emergency Vehicle Detection Using Deep Convolutional Neural Network
cuet_author_1,cuet_paper_28,Emergency Vehicle Detection Using Deep Convolutional Neural Network
cuet_author_29,cuet_paper_29,Categorization of actions in soccer videos using a combination of transfer learning and Gated Recurrent Unit
cuet_author_1,cuet_paper_29,Categorization of actions in soccer videos using a combination of transfer learning and Gated Recurrent Unit
cuet_author_24,cuet_paper_30,Tomato leaf disease recognition using depthwise separable convolution
cuet_author_42,cuet_paper_30,Tomato leaf disease recognition using depthwise separable convolution
cuet_author_29,cuet_paper_30,Tomato leaf disease recognition using depthwise separable convolution
cuet_author_1,cuet_paper_30,Tomato leaf disease recognition using depthwise separable convolution
cuet_author_43,cuet_paper_31,Human Fall Classification from Indoor Videos Using Modified Transfer Learning Model
cuet_author_1,cuet_paper_31,Human Fall Classification from Indoor Videos Using Modified Transfer Learning Model
cuet_author_18,cuet_paper_32,A Framework for Pedestrian Attribute Recognition Using Deep Learning
cuet_author_1,cuet_paper_32,A Framework for Pedestrian Attribute Recognition Using Deep Learning
cuet_author_2,cuet_paper_32,A Framework for Pedestrian Attribute Recognition Using Deep Learning
cuet_author_44,cuet_paper_32,A Framework for Pedestrian Attribute Recognition Using Deep Learning
cuet_author_45,cuet_paper_33,Plant Leaf Disease Recognition Using Histogram Based Gradient Boosting Classifier
cuet_author_1,cuet_paper_33,Plant Leaf Disease Recognition Using Histogram Based Gradient Boosting Classifier
cuet_author_46,cuet_paper_34,A Framework for Traffic Sign Detection Based on Fuzzy Image Processing and Hu Features
cuet_author_1,cuet_paper_34,A Framework for Traffic Sign Detection Based on Fuzzy Image Processing and Hu Features
cuet_author_29,cuet_paper_35,Categorization of actions in soccer videos using a combination of transfer learning and Gated Recurrent Unit
cuet_author_1,cuet_paper_35,Categorization of actions in soccer videos using a combination of transfer learning and Gated Recurrent Unit
cuet_author_2,cuet_paper_35,Categorization of actions in soccer videos using a combination of transfer learning and Gated Recurrent Unit
cuet_author_47,cuet_paper_35,Categorization of actions in soccer videos using a combination of transfer learning and Gated Recurrent Unit
cuet_author_48,cuet_paper_36,Door Detection Based on Geometrical Features and Harris Corner
cuet_author_9,cuet_paper_36,Door Detection Based on Geometrical Features and Harris Corner
cuet_author_49,cuet_paper_36,Door Detection Based on Geometrical Features and Harris Corner
cuet_author_29,cuet_paper_37,CricShotClassify: An Approach to Classifying Batting Shots from Cricket Videos Using a Convolutional Neural Network and Gated Recurrent Unit
cuet_author_1,cuet_paper_37,CricShotClassify: An Approach to Classifying Batting Shots from Cricket Videos Using a Convolutional Neural Network and Gated Recurrent Unit
cuet_author_2,cuet_paper_37,CricShotClassify: An Approach to Classifying Batting Shots from Cricket Videos Using a Convolutional Neural Network and Gated Recurrent Unit
cuet_author_47,cuet_paper_37,CricShotClassify: An Approach to Classifying Batting Shots from Cricket Videos Using a Convolutional Neural Network and Gated Recurrent Unit
cuet_author_45,cuet_paper_38,Plant Leaf Disease Recognition Using Depth-Wise Separable Convolution-Based Models
cuet_author_1,cuet_paper_38,Plant Leaf Disease Recognition Using Depth-Wise Separable Convolution-Based Models
cuet_author_2,cuet_paper_38,Plant Leaf Disease Recognition Using Depth-Wise Separable Convolution-Based Models
cuet_author_47,cuet_paper_38,Plant Leaf Disease Recognition Using Depth-Wise Separable Convolution-Based Models
cuet_author_43,cuet_paper_39,Classification of Indoor Human Fall Events Using Deep Learning
cuet_author_1,cuet_paper_39,Classification of Indoor Human Fall Events Using Deep Learning
cuet_author_2,cuet_paper_39,Classification of Indoor Human Fall Events Using Deep Learning
cuet_author_47,cuet_paper_39,Classification of Indoor Human Fall Events Using Deep Learning
cuet_author_9,cuet_paper_40,Image Defogging Framework Using Segmentation and the Dark Channel Prior
cuet_author_50,cuet_paper_40,Image Defogging Framework Using Segmentation and the Dark Channel Prior
cuet_author_51,cuet_paper_40,Image Defogging Framework Using Segmentation and the Dark Channel Prior
cuet_author_1,cuet_paper_40,Image Defogging Framework Using Segmentation and the Dark Channel Prior
cuet_author_2,cuet_paper_40,Image Defogging Framework Using Segmentation and the Dark Channel Prior
cuet_author_47,cuet_paper_40,Image Defogging Framework Using Segmentation and the Dark Channel Prior
cuet_author_25,cuet_paper_41,A Deep Learning Approach to Predict Autism Spectrum Disorder Using Multisite Resting-State fMRI
cuet_author_49,cuet_paper_41,A Deep Learning Approach to Predict Autism Spectrum Disorder Using Multisite Resting-State fMRI
cuet_author_2,cuet_paper_41,A Deep Learning Approach to Predict Autism Spectrum Disorder Using Multisite Resting-State fMRI
cuet_author_47,cuet_paper_41,A Deep Learning Approach to Predict Autism Spectrum Disorder Using Multisite Resting-State fMRI
cuet_author_31,cuet_paper_42,Traditional Bangladeshi Sports Video Classification Using Deep Learning Method
cuet_author_49,cuet_paper_42,Traditional Bangladeshi Sports Video Classification Using Deep Learning Method
cuet_author_2,cuet_paper_42,Traditional Bangladeshi Sports Video Classification Using Deep Learning Method
cuet_author_47,cuet_paper_42,Traditional Bangladeshi Sports Video Classification Using Deep Learning Method
cuet_author_31,cuet_paper_43,Traditional Bangladeshi Sports Video Classification using Transfer Learning Approach and Long Short Term Memory
cuet_author_49,cuet_paper_43,Traditional Bangladeshi Sports Video Classification using Transfer Learning Approach and Long Short Term Memory
cuet_author_52,cuet_paper_44,Blind Image Watermarking in Canonical and Cepstrum Domains Based on 4-Connected t-o’clock Scrambling
cuet_author_2,cuet_paper_44,Blind Image Watermarking in Canonical and Cepstrum Domains Based on 4-Connected t-o’clock Scrambling
cuet_author_1,cuet_paper_44,Blind Image Watermarking in Canonical and Cepstrum Domains Based on 4-Connected t-o’clock Scrambling
cuet_author_47,cuet_paper_44,Blind Image Watermarking in Canonical and Cepstrum Domains Based on 4-Connected t-o’clock Scrambling
cuet_author_53,cuet_paper_45,Door Detection Based on Haar Cascade Classifier and Visual Features Extraction
cuet_author_54,cuet_paper_45,Door Detection Based on Haar Cascade Classifier and Visual Features Extraction
cuet_author_55,cuet_paper_46,Human Detection Based on HOG-LBP for Monitoring Sterile Zone
cuet_author_56,cuet_paper_46,Human Detection Based on HOG-LBP for Monitoring Sterile Zone
cuet_author_33,cuet_paper_46,Human Detection Based on HOG-LBP for Monitoring Sterile Zone
cuet_author_57,cuet_paper_46,Human Detection Based on HOG-LBP for Monitoring Sterile Zone
cuet_author_58,cuet_paper_46,Human Detection Based on HOG-LBP for Monitoring Sterile Zone
cuet_author_1,cuet_paper_46,Human Detection Based on HOG-LBP for Monitoring Sterile Zone
cuet_author_59,cuet_paper_47,Illegally Parked Vehicle Detection Based on Haar-Cascade Classifier
cuet_author_1,cuet_paper_47,Illegally Parked Vehicle Detection Based on Haar-Cascade Classifier
cuet_author_33,cuet_paper_47,Illegally Parked Vehicle Detection Based on Haar-Cascade Classifier
cuet_author_60,cuet_paper_47,Illegally Parked Vehicle Detection Based on Haar-Cascade Classifier
cuet_author_61,cuet_paper_48,A comparative study on handwritten Bangla character recognition
cuet_author_1,cuet_paper_48,A comparative study on handwritten Bangla character recognition
cuet_author_62,cuet_paper_48,A comparative study on handwritten Bangla character recognition
