Author ID,Paper ID,Title
du_author_0,du_paper_0,iOOBN: An Object-Oriented Bayesian Network Modelling Framework with Inheritance
du_author_1,du_paper_0,iOOBN: An Object-Oriented Bayesian Network Modelling Framework with Inheritance
du_author_2,du_paper_0,iOOBN: An Object-Oriented Bayesian Network Modelling Framework with Inheritance
du_author_0,du_paper_1,An efficient approach to mine correlated graphs
du_author_3,du_paper_1,An efficient approach to mine correlated graphs
du_author_4,du_paper_2,Fundamentals of Computer and Information Technology
du_author_5,du_paper_2,Fundamentals of Computer and Information Technology
du_author_6,du_paper_3,Straight-Line Grid Drawings of Planar Graphs with Sub-Quadratic Area
du_author_7,du_paper_4,VLSI Circuits and Embedded Systems
du_author_7,du_paper_5,Quantum Computing: A Pathway to Quantum Logic Design
du_author_7,du_paper_6,Reversible and DNA Computing
du_author_7,du_paper_7,VLSI Circuits and Embedded Systems
du_author_7,du_paper_8,One Dream One Country: Digital Bangladesh
du_author_8,du_paper_9,Mining Sequential Patterns in Uncertain Databases Using Hierarchical Index Structure
du_author_9,du_paper_9,Mining Sequential Patterns in Uncertain Databases Using Hierarchical Index Structure
du_author_10,du_paper_9,Mining Sequential Patterns in Uncertain Databases Using Hierarchical Index Structure
du_author_11,du_paper_9,Mining Sequential Patterns in Uncertain Databases Using Hierarchical Index Structure
du_author_12,du_paper_9,Mining Sequential Patterns in Uncertain Databases Using Hierarchical Index Structure
du_author_13,du_paper_10,A Bidirectional Subsethood Based Fuzzy Measure for Aggregation of Interval-Valued Data
du_author_14,du_paper_10,A Bidirectional Subsethood Based Fuzzy Measure for Aggregation of Interval-Valued Data
du_author_15,du_paper_11,RAiTA: Recommending Accepted Answer Using Textual Metadata
du_author_16,du_paper_11,RAiTA: Recommending Accepted Answer Using Textual Metadata
du_author_17,du_paper_11,RAiTA: Recommending Accepted Answer Using Textual Metadata
du_author_10,du_paper_11,RAiTA: Recommending Accepted Answer Using Textual Metadata
du_author_18,du_paper_11,RAiTA: Recommending Accepted Answer Using Textual Metadata
du_author_19,du_paper_11,RAiTA: Recommending Accepted Answer Using Textual Metadata
du_author_20,du_paper_11,RAiTA: Recommending Accepted Answer Using Textual Metadata
du_author_21,du_paper_11,RAiTA: Recommending Accepted Answer Using Textual Metadata
du_author_22,du_paper_12,Haar Cascade Classifier and Lucas–Kanade Optical Flow Based Realtime Object Tracker with Custom Masking Technique
du_author_23,du_paper_12,Haar Cascade Classifier and Lucas–Kanade Optical Flow Based Realtime Object Tracker with Custom Masking Technique
du_author_24,du_paper_12,Haar Cascade Classifier and Lucas–Kanade Optical Flow Based Realtime Object Tracker with Custom Masking Technique
du_author_25,du_paper_12,Haar Cascade Classifier and Lucas–Kanade Optical Flow Based Realtime Object Tracker with Custom Masking Technique
du_author_26,du_paper_12,Haar Cascade Classifier and Lucas–Kanade Optical Flow Based Realtime Object Tracker with Custom Masking Technique
du_author_27,du_paper_12,Haar Cascade Classifier and Lucas–Kanade Optical Flow Based Realtime Object Tracker with Custom Masking Technique
du_author_28,du_paper_13,From Tf-Idf to Learning-to-Rank: An Overview
du_author_29,du_paper_13,From Tf-Idf to Learning-to-Rank: An Overview
du_author_30,du_paper_14,Message Dissemination in Vehicular Networks
du_author_31,du_paper_14,Message Dissemination in Vehicular Networks
du_author_30,du_paper_15,A Tutorial on Random Number Generators in Discrete Event Simulators
