Author ID,Paper ID,Title
ju_author_0,ju_paper_0,Specific  Features of a Converter of Web Documents from Bengali to Universal Networking   Language
ju_author_1,ju_paper_0,Specific  Features of a Converter of Web Documents from Bengali to Universal Networking   Language
ju_author_2,ju_paper_0,Specific  Features of a Converter of Web Documents from Bengali to Universal Networking   Language
ju_author_3,ju_paper_0,Specific  Features of a Converter of Web Documents from Bengali to Universal Networking   Language
ju_author_0,ju_paper_1,"Algorithm for Conversion of Bangla Sentence to Universal Networking Language,"
ju_author_4,ju_paper_1,"Algorithm for Conversion of Bangla Sentence to Universal Networking Language,"
ju_author_5,ju_paper_1,"Algorithm for Conversion of Bangla Sentence to Universal Networking Language,"
ju_author_1,ju_paper_1,"Algorithm for Conversion of Bangla Sentence to Universal Networking Language,"
ju_author_0,ju_paper_2,"Rules for Morphological Analysis of Bangla Verbs for Universal Networking Language,"
ju_author_6,ju_paper_2,"Rules for Morphological Analysis of Bangla Verbs for Universal Networking Language,"
ju_author_7,ju_paper_2,"Rules for Morphological Analysis of Bangla Verbs for Universal Networking Language,"
ju_author_1,ju_paper_2,"Rules for Morphological Analysis of Bangla Verbs for Universal Networking Language,"
ju_author_0,ju_paper_3,"Development of Analysis Rules for Bangla Root and Primary Suffix for Universal Networking Language,"
ju_author_8,ju_paper_3,"Development of Analysis Rules for Bangla Root and Primary Suffix for Universal Networking Language,"
ju_author_9,ju_paper_3,"Development of Analysis Rules for Bangla Root and Primary Suffix for Universal Networking Language,"
ju_author_1,ju_paper_3,"Development of Analysis Rules for Bangla Root and Primary Suffix for Universal Networking Language,"
ju_author_9,ju_paper_4,"Development of Templates for Dictionary Entries of Bangla Roots and Primary Suffixes for Universal Networking Language,"
ju_author_0,ju_paper_4,"Development of Templates for Dictionary Entries of Bangla Roots and Primary Suffixes for Universal Networking Language,"
ju_author_10,ju_paper_4,"Development of Templates for Dictionary Entries of Bangla Roots and Primary Suffixes for Universal Networking Language,"
ju_author_1,ju_paper_4,"Development of Templates for Dictionary Entries of Bangla Roots and Primary Suffixes for Universal Networking Language,"
ju_author_0,ju_paper_5,"Conversion of Bangal Sentence for Universal Networking Language,"
ju_author_5,ju_paper_5,"Conversion of Bangal Sentence for Universal Networking Language,"
ju_author_4,ju_paper_5,"Conversion of Bangal Sentence for Universal Networking Language,"
ju_author_1,ju_paper_5,"Conversion of Bangal Sentence for Universal Networking Language,"
ju_author_11,ju_paper_6,Identification of Extreme Guilt and Grave Fault in Bengali Language using Machine Learning
ju_author_12,ju_paper_6,Identification of Extreme Guilt and Grave Fault in Bengali Language using Machine Learning
ju_author_11,ju_paper_7,Information Extraction from Natural Language Using Universal Networking Language
ju_author_13,ju_paper_7,Information Extraction from Natural Language Using Universal Networking Language
ju_author_14,ju_paper_7,Information Extraction from Natural Language Using Universal Networking Language
ju_author_15,ju_paper_7,Information Extraction from Natural Language Using Universal Networking Language
ju_author_11,ju_paper_8,Data Extraction from Natural Language Using Universal Networking Language
ju_author_16,ju_paper_8,Data Extraction from Natural Language Using Universal Networking Language
ju_author_17,ju_paper_8,Data Extraction from Natural Language Using Universal Networking Language
ju_author_11,ju_paper_9,Creating a  Bangla Enconversion  Module for Generating UNL Expression from Bangla  Bagdhara (Phrase and Idoms)
ju_author_16,ju_paper_9,Creating a  Bangla Enconversion  Module for Generating UNL Expression from Bangla  Bagdhara (Phrase and Idoms)
ju_author_12,ju_paper_9,Creating a  Bangla Enconversion  Module for Generating UNL Expression from Bangla  Bagdhara (Phrase and Idoms)
ju_author_11,ju_paper_10,Design and Implementation of an efficient DeConverter for generating Bangla sentences from UNL Expression
ju_author_18,ju_paper_10,Design and Implementation of an efficient DeConverter for generating Bangla sentences from UNL Expression
ju_author_19,ju_paper_10,Design and Implementation of an efficient DeConverter for generating Bangla sentences from UNL Expression
ju_author_20,ju_paper_11,New Approach of Solving Semantic Ambiguity Problem of Bangla Root Words Using Universal Networking Language (UNL)
ju_author_21,ju_paper_11,New Approach of Solving Semantic Ambiguity Problem of Bangla Root Words Using Universal Networking Language (UNL)
ju_author_11,ju_paper_12,Analysis of Bangla Root words for Universal Networking Language (UNL)
ju_author_22,ju_paper_12,Analysis of Bangla Root words for Universal Networking Language (UNL)
ju_author_20,ju_paper_13,Solving Semantic Problem of Phrases in NLP Using Universal Networking Language (UNL)
ju_author_21,ju_paper_13,Solving Semantic Problem of Phrases in NLP Using Universal Networking Language (UNL)
ju_author_11,ju_paper_14,Attribute Analysis for Bangla Words for Universal Networking Language (UNL)
ju_author_20,ju_paper_14,Attribute Analysis for Bangla Words for Universal Networking Language (UNL)
ju_author_23,ju_paper_14,Attribute Analysis for Bangla Words for Universal Networking Language (UNL)
ju_author_11,ju_paper_15,Semantic Analysis of Bangla Language for Developing A UNL Deconverter
ju_author_22,ju_paper_15,Semantic Analysis of Bangla Language for Developing A UNL Deconverter
ju_author_11,ju_paper_16,A New Approach of Developing a Deconverting rules for Bangla Language
ju_author_20,ju_paper_16,A New Approach of Developing a Deconverting rules for Bangla Language
ju_author_24,ju_paper_16,A New Approach of Developing a Deconverting rules for Bangla Language
ju_author_25,ju_paper_16,A New Approach of Developing a Deconverting rules for Bangla Language
ju_author_11,ju_paper_17,Specification of UNL Deconverter for Bangla Language
ju_author_20,ju_paper_17,Specification of UNL Deconverter for Bangla Language
ju_author_26,ju_paper_17,Specification of UNL Deconverter for Bangla Language
ju_author_25,ju_paper_17,Specification of UNL Deconverter for Bangla Language
ju_author_27,ju_paper_18,"Formation of Bangla Word Dictionary Compatible with UNL Structure,"
ju_author_26,ju_paper_18,"Formation of Bangla Word Dictionary Compatible with UNL Structure,"
ju_author_28,ju_paper_18,"Formation of Bangla Word Dictionary Compatible with UNL Structure,"
ju_author_29,ju_paper_18,"Formation of Bangla Word Dictionary Compatible with UNL Structure,"
ju_author_30,ju_paper_18,"Formation of Bangla Word Dictionary Compatible with UNL Structure,"
ju_author_12,ju_paper_18,"Formation of Bangla Word Dictionary Compatible with UNL Structure,"
ju_author_27,ju_paper_19,"Development of Grammatical Attributes for Bangla Root and Primary Suffix for Universal Networking Language,"
