Author ID,Paper ID,Title
kuet_author_0,kuet_paper_0,  Physarum-Inspired Bicycle Lane Network Design in a Congested Megacity
kuet_author_1,kuet_paper_0,  Physarum-Inspired Bicycle Lane Network Design in a Congested Megacity
kuet_author_2,kuet_paper_0,  Physarum-Inspired Bicycle Lane Network Design in a Congested Megacity
kuet_author_3,kuet_paper_0,  Physarum-Inspired Bicycle Lane Network Design in a Congested Megacity
kuet_author_4,kuet_paper_0,  Physarum-Inspired Bicycle Lane Network Design in a Congested Megacity
kuet_author_5,kuet_paper_1, Bangla Text Extraction from Natural Scene Images for Mobile Applications
kuet_author_6,kuet_paper_1, Bangla Text Extraction from Natural Scene Images for Mobile Applications
kuet_author_7,kuet_paper_1, Bangla Text Extraction from Natural Scene Images for Mobile Applications
kuet_author_8,kuet_paper_1, Bangla Text Extraction from Natural Scene Images for Mobile Applications
kuet_author_9,kuet_paper_1, Bangla Text Extraction from Natural Scene Images for Mobile Applications
kuet_author_10,kuet_paper_2, Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic
kuet_author_11,kuet_paper_2, Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic
kuet_author_12,kuet_paper_2, Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic
kuet_author_13,kuet_paper_2, Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic
kuet_author_14,kuet_paper_2, Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic
kuet_author_15,kuet_paper_2, Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic
kuet_author_16,kuet_paper_2, Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic
kuet_author_17,kuet_paper_3, A Blockchain Based Scalable Framework for Academic Document Verification
kuet_author_18,kuet_paper_3, A Blockchain Based Scalable Framework for Academic Document Verification
kuet_author_19,kuet_paper_3, A Blockchain Based Scalable Framework for Academic Document Verification
kuet_author_20,kuet_paper_3, A Blockchain Based Scalable Framework for Academic Document Verification
kuet_author_14,kuet_paper_3, A Blockchain Based Scalable Framework for Academic Document Verification
kuet_author_21,kuet_paper_3, A Blockchain Based Scalable Framework for Academic Document Verification
kuet_author_22,kuet_paper_3, A Blockchain Based Scalable Framework for Academic Document Verification
kuet_author_14,kuet_paper_4," ""Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology"
kuet_author_23,kuet_paper_4," ""Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology"
kuet_author_24,kuet_paper_4," ""Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology"
kuet_author_25,kuet_paper_4," ""Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology"
kuet_author_2,kuet_paper_4," ""Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology"
kuet_author_6,kuet_paper_4," ""Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology"
kuet_author_26,kuet_paper_4," ""Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology"
