Author ID,Paper ID,Title
nsu_author_0,nsu_paper_0,"Electronic Health Record Monitoring System and Data Security using Blockchain Technology,"
nsu_author_1,nsu_paper_0,"Electronic Health Record Monitoring System and Data Security using Blockchain Technology,"
nsu_author_2,nsu_paper_0,"Electronic Health Record Monitoring System and Data Security using Blockchain Technology,"
nsu_author_3,nsu_paper_0,"Electronic Health Record Monitoring System and Data Security using Blockchain Technology,"
nsu_author_4,nsu_paper_0,"Electronic Health Record Monitoring System and Data Security using Blockchain Technology,"
nsu_author_5,nsu_paper_1,"Revolutionizing E-Commerce using Blockchain Technology and Implementing Smart Contract,"
nsu_author_6,nsu_paper_1,"Revolutionizing E-Commerce using Blockchain Technology and Implementing Smart Contract,"
nsu_author_4,nsu_paper_1,"Revolutionizing E-Commerce using Blockchain Technology and Implementing Smart Contract,"
nsu_author_7,nsu_paper_2,"Electronic Healthcare Data Record Security Using Blockchain and Smart Contract,"
nsu_author_8,nsu_paper_2,"Electronic Healthcare Data Record Security Using Blockchain and Smart Contract,"
nsu_author_3,nsu_paper_2,"Electronic Healthcare Data Record Security Using Blockchain and Smart Contract,"
nsu_author_4,nsu_paper_2,"Electronic Healthcare Data Record Security Using Blockchain and Smart Contract,"
nsu_author_9,nsu_paper_3,"Emergence of Blockchain Technology: A Reliable and Secure Solution for IoT Systems,"
nsu_author_10,nsu_paper_3,"Emergence of Blockchain Technology: A Reliable and Secure Solution for IoT Systems,"
nsu_author_9,nsu_paper_4,"Security Attacks and Countermeasures in Wireless Sensor Network,"
nsu_author_10,nsu_paper_4,"Security Attacks and Countermeasures in Wireless Sensor Network,"
nsu_author_11,nsu_paper_5,"Blockchain and smart contract for IoT enabled smart agriculture,"
nsu_author_12,nsu_paper_5,"Blockchain and smart contract for IoT enabled smart agriculture,"
nsu_author_13,nsu_paper_5,"Blockchain and smart contract for IoT enabled smart agriculture,"
nsu_author_14,nsu_paper_5,"Blockchain and smart contract for IoT enabled smart agriculture,"
nsu_author_15,nsu_paper_6,"Blockchain Application in Banking System,"
nsu_author_16,nsu_paper_6,"Blockchain Application in Banking System,"
nsu_author_17,nsu_paper_6,"Blockchain Application in Banking System,"
nsu_author_5,nsu_paper_6,"Blockchain Application in Banking System,"
nsu_author_18,nsu_paper_7,"Smart Supply Chain Management Using Blockchain and Smart Contract,"
nsu_author_3,nsu_paper_7,"Smart Supply Chain Management Using Blockchain and Smart Contract,"
nsu_author_4,nsu_paper_7,"Smart Supply Chain Management Using Blockchain and Smart Contract,"
nsu_author_19,nsu_paper_8,"Denial-of-Service Attacks on Wireless Sensor Network and Defense Techniques,"
nsu_author_20,nsu_paper_8,"Denial-of-Service Attacks on Wireless Sensor Network and Defense Techniques,"
nsu_author_21,nsu_paper_8,"Denial-of-Service Attacks on Wireless Sensor Network and Defense Techniques,"
nsu_author_22,nsu_paper_8,"Denial-of-Service Attacks on Wireless Sensor Network and Defense Techniques,"
nsu_author_23,nsu_paper_9,"Secured Insurance Framework Using Blockchain and Smart Contract,"
nsu_author_24,nsu_paper_9,"Secured Insurance Framework Using Blockchain and Smart Contract,"
nsu_author_25,nsu_paper_9,"Secured Insurance Framework Using Blockchain and Smart Contract,"
nsu_author_26,nsu_paper_10,"Towards 5G-ready Security Metrics,"
nsu_author_27,nsu_paper_10,"Towards 5G-ready Security Metrics,"
nsu_author_28,nsu_paper_10,"Towards 5G-ready Security Metrics,"
nsu_author_29,nsu_paper_10,"Towards 5G-ready Security Metrics,"
nsu_author_30,nsu_paper_10,"Towards 5G-ready Security Metrics,"
nsu_author_31,nsu_paper_10,"Towards 5G-ready Security Metrics,"
nsu_author_9,nsu_paper_11,"Blockchain Technology: Methodology, Application and Security Issues,"
nsu_author_32,nsu_paper_11,"Blockchain Technology: Methodology, Application and Security Issues,"
nsu_author_33,nsu_paper_12,"A novel Approach to Data Storage Using Blockchain Technology,"
nsu_author_34,nsu_paper_12,"A novel Approach to Data Storage Using Blockchain Technology,"
nsu_author_35,nsu_paper_12,"A novel Approach to Data Storage Using Blockchain Technology,"
nsu_author_5,nsu_paper_12,"A novel Approach to Data Storage Using Blockchain Technology,"
nsu_author_36,nsu_paper_13,"A Study of the Effects of Heartbleed Vulnerability in Bangladesh,"
nsu_author_37,nsu_paper_13,"A Study of the Effects of Heartbleed Vulnerability in Bangladesh,"
nsu_author_38,nsu_paper_13,"A Study of the Effects of Heartbleed Vulnerability in Bangladesh,"
nsu_author_39,nsu_paper_13,"A Study of the Effects of Heartbleed Vulnerability in Bangladesh,"
nsu_author_40,nsu_paper_14,"A case study of Blockchain Technology,"
nsu_author_41,nsu_paper_14,"A case study of Blockchain Technology,"
nsu_author_42,nsu_paper_14,"A case study of Blockchain Technology,"
nsu_author_43,nsu_paper_14,"A case study of Blockchain Technology,"
nsu_author_44,nsu_paper_15,"A Study of Cyber security threats in core banking system of Bangladesh,"
nsu_author_45,nsu_paper_15,"A Study of Cyber security threats in core banking system of Bangladesh,"
nsu_author_39,nsu_paper_15,"A Study of Cyber security threats in core banking system of Bangladesh,"
nsu_author_46,nsu_paper_16,"An Advanced Security System Integrated With RFID Based Automated Toll Collection System,"
nsu_author_47,nsu_paper_16,"An Advanced Security System Integrated With RFID Based Automated Toll Collection System,"
nsu_author_48,nsu_paper_16,"An Advanced Security System Integrated With RFID Based Automated Toll Collection System,"
nsu_author_49,nsu_paper_17,"Low Cost Multi-level Home Security System For Developing Countries,"
nsu_author_50,nsu_paper_17,"Low Cost Multi-level Home Security System For Developing Countries,"
nsu_author_51,nsu_paper_17,"Low Cost Multi-level Home Security System For Developing Countries,"
nsu_author_52,nsu_paper_17,"Low Cost Multi-level Home Security System For Developing Countries,"
nsu_author_53,nsu_paper_18,"RFID Based Attendance System,"
nsu_author_54,nsu_paper_18,"RFID Based Attendance System,"
nsu_author_55,nsu_paper_18,"RFID Based Attendance System,"
nsu_author_56,nsu_paper_18,"RFID Based Attendance System,"
nsu_author_46,nsu_paper_19,"A Cost Effective Security Technology Integrated with RFID Based Automated Toll Collection System,"
nsu_author_47,nsu_paper_19,"A Cost Effective Security Technology Integrated with RFID Based Automated Toll Collection System,"
nsu_author_57,nsu_paper_19,"A Cost Effective Security Technology Integrated with RFID Based Automated Toll Collection System,"
nsu_author_58,nsu_paper_20,"Optimal range estimation for energy efficient dynamic packet size,"
nsu_author_59,nsu_paper_20,"Optimal range estimation for energy efficient dynamic packet size,"
nsu_author_60,nsu_paper_20,"Optimal range estimation for energy efficient dynamic packet size,"
nsu_author_61,nsu_paper_21,"Simple Group Photo Sharing Using Facesense,"
nsu_author_62,nsu_paper_21,"Simple Group Photo Sharing Using Facesense,"
nsu_author_63,nsu_paper_21,"Simple Group Photo Sharing Using Facesense,"
nsu_author_39,nsu_paper_22,"Study of Race Condition: A Privilege Escalation Vulnerability,"
nsu_author_64,nsu_paper_22,"Study of Race Condition: A Privilege Escalation Vulnerability,"
nsu_author_36,nsu_paper_22,"Study of Race Condition: A Privilege Escalation Vulnerability,"
