Author ID,Paper ID,Title
sust_author_0,sust_paper_0, SUMono: A Representative Modern Bengali Corpus
sust_author_1,sust_paper_0, SUMono: A Representative Modern Bengali Corpus
sust_author_2,sust_paper_0, SUMono: A Representative Modern Bengali Corpus
sust_author_0,sust_paper_1, SUPara: A Balanced English-Bengali Parallel Corpus
sust_author_1,sust_paper_1, SUPara: A Balanced English-Bengali Parallel Corpus
sust_author_3,sust_paper_1, SUPara: A Balanced English-Bengali Parallel Corpus
sust_author_0,sust_paper_2, An Implementation of Machine Translation between Bangla and English
sust_author_4,sust_paper_2, An Implementation of Machine Translation between Bangla and English
sust_author_5,sust_paper_2, An Implementation of Machine Translation between Bangla and English
sust_author_6,sust_paper_2, An Implementation of Machine Translation between Bangla and English
sust_author_0,sust_paper_3, An Implementation of Machine Translation between Bangla and English
sust_author_4,sust_paper_3, An Implementation of Machine Translation between Bangla and English
sust_author_5,sust_paper_3, An Implementation of Machine Translation between Bangla and English
sust_author_6,sust_paper_3, An Implementation of Machine Translation between Bangla and English
sust_author_7,sust_paper_4, A Fine-Grained Tagset for Bengali Language
sust_author_7,sust_paper_5, Proposed Tagging Techniques for Bengali
sust_author_8,sust_paper_6, Developing an Automated Bangla Parts of Speech Tagged Dictionary
sust_author_9,sust_paper_6, Developing an Automated Bangla Parts of Speech Tagged Dictionary
sust_author_10,sust_paper_7,A Context Free Spell Correction Method using Supervised Machine Learning Algorithms
sust_author_11,sust_paper_7,A Context Free Spell Correction Method using Supervised Machine Learning Algorithms
sust_author_12,sust_paper_8,A Multi Layer Perceptron Along with Memory Efficient Feature Extraction Approach for Bengali Document Categorization
sust_author_13,sust_paper_8,A Multi Layer Perceptron Along with Memory Efficient Feature Extraction Approach for Bengali Document Categorization
sust_author_11,sust_paper_8,A Multi Layer Perceptron Along with Memory Efficient Feature Extraction Approach for Bengali Document Categorization
sust_author_10,sust_paper_9,Design and Development of an E-Commerce System in a Rapid Organized Way
sust_author_11,sust_paper_9,Design and Development of an E-Commerce System in a Rapid Organized Way
sust_author_14,sust_paper_10,Optimal Bangla Keypad Layout for Mobile Phone based on Ergonomics
sust_author_15,sust_paper_10,Optimal Bangla Keypad Layout for Mobile Phone based on Ergonomics
sust_author_14,sust_paper_11,Sensor-Based Automated River Monitoring System – Perspective to Bangladesh
sust_author_16,sust_paper_11,Sensor-Based Automated River Monitoring System – Perspective to Bangladesh
sust_author_17,sust_paper_11,Sensor-Based Automated River Monitoring System – Perspective to Bangladesh
sust_author_14,sust_paper_12,Secured-DSR : Modification of Conventional DSR Protocol for Hierarchical Multitier Ad Hoc Town
sust_author_18,sust_paper_12,Secured-DSR : Modification of Conventional DSR Protocol for Hierarchical Multitier Ad Hoc Town
sust_author_19,sust_paper_13,Design and Implementation of Microprocessor Based Electronic Voting System
sust_author_14,sust_paper_13,Design and Implementation of Microprocessor Based Electronic Voting System
sust_author_20,sust_paper_13,Design and Implementation of Microprocessor Based Electronic Voting System
sust_author_11,sust_paper_14,Mobile Location Service (MLS): An enormous market opportunity for mobile operators in Bangladesh
sust_author_21,sust_paper_14,Mobile Location Service (MLS): An enormous market opportunity for mobile operators in Bangladesh
sust_author_22,sust_paper_14,Mobile Location Service (MLS): An enormous market opportunity for mobile operators in Bangladesh
sust_author_23,sust_paper_14,Mobile Location Service (MLS): An enormous market opportunity for mobile operators in Bangladesh
sust_author_24,sust_paper_15,Comparative Study on Cluster on Programming Tools
sust_author_25,sust_paper_15,Comparative Study on Cluster on Programming Tools
sust_author_26,sust_paper_15,Comparative Study on Cluster on Programming Tools
sust_author_14,sust_paper_16,A Dynamic Wavelength Assignment algorithm for the changing internodal traffic in all-optical ring network
sust_author_27,sust_paper_16,A Dynamic Wavelength Assignment algorithm for the changing internodal traffic in all-optical ring network
sust_author_28,sust_paper_17,BanSpeech: A Multi-domain Bangla Speech Recognition Benchmark Towards Robust Performance in Challenging Conditions
sust_author_29,sust_paper_17,BanSpeech: A Multi-domain Bangla Speech Recognition Benchmark Towards Robust Performance in Challenging Conditions
sust_author_30,sust_paper_17,BanSpeech: A Multi-domain Bangla Speech Recognition Benchmark Towards Robust Performance in Challenging Conditions
