UID1,UID2
8552,8769
7251,8623
3246,6284
3835,724
3398,3430
343,828
2544,4951
4013,4492
7895,8189
3273,3401
1865,948
4206,5682
7406,7633
5529,734
6776,7851
3340,4508
5461,5706
7378,8002
2435,3558
8410,8784
6269,6612
3825,5986
3311,6326
2850,3903
1897,5888
4659,989
527,6889
8406,8827
7595,7982
6733,8317
6591,822
3250,6646
5211,5638
3345,3396
2703,5242
4976,5506
8185,8275
7029,8815
7293,7754
5407,5675
7754,8169
5867,650
4207,558
1167,2719
6697,6707
2580,4333
3486,6013
2584,6413
2682,6897
2539,761
530,5845
7774,8690
7193,7894
1818,2443
2967,8287
3161,4334
5513,912
5038,5996
7005,7318
7466,7554
2351,2816
7709,8317
8462,8661
2177,5385
4968,6448
7311,8144
7421,8147
186,2779
5115,6851
3365,541
5982,6127
370,976
1163,4855
4826,989
2424,3806
458,5509
6490,750
2580,4004
7165,8648
6616,6624
1188,4642
2668,3077
3072,3459
3550,547
6830,7657
5118,5586
2384,4223
7605,7830
7132,7903
3649,481
119,2886
8073,8098
1402,2488
7020,7947
7088,7480
4011,5141
3350,5430
1907,6119
2998,4306
1481,4827
7427,8052
6051,617
326,4517
1625,512
2559,6278
3560,5803
3846,6505
1406,2889
3886,5150
3129,5867
1642,2676
8395,8398
2969,2991
1793,2580
1837,6389
2134,3416
1494,5689
315,758
3695,4076
8083,8627
1188,1841
2277,2634
1570,6225
2606,4922
1736,6601
7482,7500
3002,4900
4497,4968
7550,8611
7617,7982
7358,8621
7588,8398
7019,8336
2652,5179
4497,4955
7735,8692
5688,6539
6999,7624
3626,4161
2876,948
7722,8852
613,647
2927,5277
1731,6854
1188,2802
1903,2720
2141,4955
4445,5653
8261,8838
1171,2774
4155,452
1896,5211
7355,8239
5463,6291
6829,6977
3125,762
2322,3101
7413,8157
2551,2889
1023,1769
2180,5211
7567,8456
7628,8619
1945,252
5507,5571
7039,7201
7144,7506
5504,629
2952,3202
4044,4135
7791,8587
3010,6124
6787,7378
7017,8677
8134,8305
8246,8462
2719,6903
8268,8325
3213,3766
4088,6867
3732,626
457,4689
6491,8826
238,6186
7103,7297
3234,4688
2323,7178
3807,650
7087,7283
6795,7826
3415,5893
1,8289
280,3992
7289,7533
8195,8556
7280,8025
8116,8298
8142,8847
7569,7677
6748,7713
326,4013
8133,8473
4013,6278
4480,5867
3226,3236
2640,2673
7510,7683
6539,6681
1897,314
1713,1833
1820,2209
4064,4948
3553,6314
2493,3678
6828,8361
7997,8689
3618,4024
3865,5650
1182,5178
3633,3731
3244,6626
3371,5651
4363,5878
1961,4535
3876,5029
4174,4653
1785,6053
4694,5867
2580,4441
294,989
4844,5208
3621,5123
2276,6292
3830,4796
2861,5221
6466,6491
7308,8343
7892,7992
1796,5867
2186,4467
1983,5867
3464,3741
3243,6625
7857,7863
6826,7775
3156,485
1371,2668
6052,767
1360,2638
4200,5021
3869,4480
4868,6902
1531,5047
8267,8808
1852,5038
7811,7839
1776,2143
2682,4627
6975,7443
1896,2788
3316,4212
4041,6617
4008,6545
7088,7599
2668,604
7903,8694
5769,8260
5038,5638
1163,2775
4956,5539
544,637
2235,728
1662,989
611,6887
6706,7558
3331,4106
1514,2993
1517,2219
2448,3662
7488,7850
1763,5565
1270,2565
6767,6771
1526,5516
7463,8472
7610,7858
3040,3088
3162,6272
432,5124
3900,6296
4013,5442
1675,213
2540,2947
7895,8841
1729,3632
2477,5123
4917,6269
6987,8855
1535,2448
2361,4552
2744,4893
2759,3692
3168,4044
8583,8584
4206,6181
3487,420
7473,7758
7852,7885
2246,3622
255,6489
1564,4161
1890,3038
1504,5790
2476,6552
4953,6277
4070,4535
6185,637
7083,8180
1215,1785
1028,3213
2537,520
4360,5749
7913,8021
2435,553
2732,2883
3163,5213
5478,6847
7862,8353
1331,4894
5650,948
7616,8684
2426,3420
3481,6240
2853,4003
1868,521
5788,6670
1900,2786
2939,8250
6207,6505
1373,6275
1330,1820
2606,4726
7319,7986
5445,6490
7404,8116
7716,8456
7764,7840
7080,7748
6780,7914
8097,8766
1846,3284
1531,1802
8066,8472
5114,769
1846,5898
8116,8141
8335,8497
4720,705
7553,8386
5593,5647
1021,1763
3365,5070
1473,207
4261,6318
1820,2606
2199,6654
2335,5425
7782,8578
7540,8454
5421,5866
2233,750
3671,4145
6795,8268
5805,6451
7556,8591
1707,5519
1743,4427
2315,5347
4013,878
17,3020
16,3017
558,604
3342,4478
2885,4147
2825,2883
2135,2687
2323,3205
7520,8452
1785,3862
7290,7878
1687,4642
5537,5724
7464,7733
315,321
2778,5489
7751,8845
5486,6240
7687,8657
