Authors,Title
Tanjim Taharat AURPA; Samiha Maisha Jeba; Md Shoaib Ahmed; Mohammad Aman Ullah; Maria Mehzabin; Md Musfique Anwar,Bangla_MER: A Unique Dataset for Bangla Mathematical Entity Recognition
"Tabia Tanzin Prama, Md","Saiful Islam, Md Musfique Anwar, Ifrat Jahan"
"Sarmistha Sarna Gomasta, Aditi Dhali, Tahlil Tahlil, Md Musfique Anwar, ABM Shawkat Ali",PharmaChain: Blockchain-based Drug Supply Chain Provenance Verification System
"Tanjim Taharat Aurpa, Md Shoaib Ahmed, Richita Khandakar Rifat, Md Musfique Anwar, ABM Shawkat Ali",UDDIPOK: A reading comprehension based question answering dataset in Bangla language
"Mahmuda Ferdous, Md Musfique Anwar",Identification of Influential Users in Online Social Network: A brief overview
"Tanjim Taharat Aurpa, Richita Khandakar Rifat, Md Shoaib Ahmed, Md Musfique Anwar, ABM Shawkat Ali",Reading comprehension based question answering system in Bangla language with transformer-based learning
"Sarmistha Sarna Gomasta, Aditi Dhali, Md Musfique Anwar, Iqbal H Sarker",Query-oriented topical influential users detection for top-k trending topics in twitter
"Khandaker Tayef Shahriar, Muhammad Nazrul Islam, Md","Musfique Anwar, Iqbal H"
"Debjany Chakraborty, Md",Musfique Anwar
"Badhan  Chandra  Das, Md","Musfique Anwar, Md"
"Md Shoaib Ahmed, Tanjim Taharat Aurpa, and Md",Musfique Anwar
"Iqbal Sarker, Rony Ripan, Minhaz Hossain, Md Musfique Anwar",An Optimal K-Means Clustering based Anomaly Detection Model for Effectively Predicting Heart Disease
Md,"Habibur Rahman, Tabia Tanzin Prama and Md Musfique Anwar"
"Tasnim Siraj, Md",Musfique Anwar and Md
Md,"Masum Bhuiyan, Kamrul Hasan, Ahmed Ashfaq Hamid Fardin and Md"
"Badhan Chandra Das, Md Musfique Anwar, and Iqbal Sarker",Location-based Temporal Sentiment Analysis to Predict Election Outcome
"Shifat Jahan Setu, Tahmina Islam, Md","Musfique Anwar, Md"
"Arnab Shanta Anu, Md Shovon, Md",Musfique Anwar
"Badhan Chandra Das, and Md",Musfique Anwar
"Swarna Das, and Md",Musfique Anwar
Md,"Musfique Anwar, Chengfei Liu, and Jianxin Li"
Md,Musfique Anwar
Md,Musfique Anwar
"Shibli Syeed Ashrafi, Md","Humayun Kabir, Md"
Md,"Musfique Anwar, Nasrin Sultana Shume, and Md"
"Tahmina Khatoon, Md","Musfique Anwar, Nasrin Sultana Shume, Md"
Md,"Musfique Anwar, Nasrin Sultana Shume, PKM Moniruzzaman and Md"
Md,"Musfique Anwar, Mohammad Zabed Anwar, and Md"
Md,Musfique Anwar and Md
"Serajum Monira, Nurun Nahar Fiha, Md Musfique Anwar",Deep Learning Based Bangladeshi Currency Coin Recognition
"Tabia Tanzin Prama, Md Musfique Anwar",Sylheti to Standard Bangla Neural Machine Translation: A Deep Learning-Based Dialect Conversion Approach
"Tabia Tanzin Prama, Al Amin Biswas, Md Musfique Anwar",Deep Learning-Based Classification of Conference Paper Reviews: Accept or Reject?
"Sajjad Hossain, Md Mahfuzur Rahman and Md Musfique Anwar",Interference-aware VM Placement in Cloud (Poster Paper)
"Md Mahbubur Rahman, Badhan Chandra Das, Al Amin Biswas, Md Musfique Anwar",Predicting Participants' Performance in Programming Contests using Deep Learning Techniques
"Nowshin Tasnim, Md Musfique Anwar, Iqbal H Sarker",A Stacked Ensemble Spyware Detection Model Using Hyper-Parameter Tuned Tree Based Classifiers
"Khandaker Tayef Shahriar, Md Musfique Anwar, Iqbal H Sarker",Aspect Based Sentiment Analysis of COVID-19 Tweets Using Blending Ensemble of Deep Learning Models
"Tanjim Taharat Aurpa, Md Shoaib Ahmed, Rifat Sadik, Sabbir Anwar, Md Abdul Mazid Adnan and Md Musfique Anwar",Progressive Guidance Categorization Using Transformer-Based Deep Neural Network Architecture
"Raihan Jamil, Mohammad Abdullah Al Nayeem Khan and Md Musfique Anwar",Topic Oriented Hate Speech Detection
"Nusrat Jahan Euna, Syed Md Minhaz Hossain, Md","Musfique Anwar, Iqbal H Sarker"
"Nazifa Mosharrat, Iqbal H","Sarker, Md Musfique Anwar, Muhammad Nazrul Islam, Paul Watters, and Mohammad Hammoudeh"
"Sourav Adhikary, Md Musfique Anwar, Mohammad Jabed Morshed Chowdhury and Iqbal H",Sarker
Md,"Habibur Rahman, Tabia Tanzin Prama and Md Musfique Anwar"
Tabia Tanzin Prama and Md Musfique Anwar,Modeling Topic Specific Credibility in Twitter based on Structural and Attribute Properties (Poster paper)
Md,"Habibur Rahman, Tabia Tanzin Prama and Md Musfique Anwar"
"Rony Chowdhury Ripan, Iqbal H","Sarker, Md"
"Rony Chowdhury Ripan, Iqbal H","Sarker, Md Musfique Anwar, Fazle Rahat, Moshiul Hoque and Muhammad Sarfraz"
"Badhan Chandra Das , Md Musfique Anwar and Iqbal H",Sarker
"Tanzim Mahfuz, Tasneem Farhana Suha and Md Musfique Anwar",Reducing Wrong Labels using Conflict Score in Distant Supervision for Relation Extraction in Bangla Language
"Aditi Dhali, Sarmistha Sarna Gomasta, Md Musfique Anwar and Iqbal H",Sarker
"Murad Hossen, Tamanna Afrose Tamanna, Atashi Ghosh and Md Musfique Anwar",Classification of Social Media Users Based on Temporal Behaviors and Interests
"Tanjim Taharat Aurpa, Md",Shoaib Ahmed and Md
"Badhan Chandra Das, Md Musfique Anwar and Md",Al-Amin Bhuiyan
Md,"Akib Zabed Khan, Saif Mahmud Parvez, Md"
"Tanjim Taharat Aurpa, Md",Shoaib Ahmed and Md
"Badhan Chandra Das, Md Musfique Anwar and Md",Al-Amin Bhuiyan
"Humayra Ferdous, Tasnim Siraj, Shifat Jahan Setu, Md Musfique Anwar and Muhammad Arifur Rahman",Machine Learning Approach Towards Satellite Image Classification
Md,"Shoaib Ahmed, Tanjim Taharat Aurpa, and Md"
"Tanjim Taharat Aurpa, Fatema Khan and Md",Musfique Anwar
"Sudeepto Mohanta, Sarmistha Sarna, Aditi Dhali and Md Musfique Anwar",Identification of Query-Oriented Influential Users in Online Social Platform
Md Musfique Anwar,Query-oriented Temporal Active Intimate Community Search
"Tanjim Taharat Aurpa, Fatema Khan and Md",Musfique Anwar
"Tasnim Siraj, Md",Enamul Haque and Md Musfique Anwar
"Shifat Jahan Shetu, Tahmina Islam and Md Musfique Anwar",TTRank: A Temporal Twitter Ranking of Influential Twitter Users (short paper)
"Tanjim Taharat Aurpa, Fatema Khan and Md",Musfique Anwar
"Shifat Jahan Shetu, Tahmina Islam and Md Musfique Anwar",TTRank: A Temporal Toipcal Model to Rank Twitter Users (Poster paper)
"Aditi Dhali, Sarmistha Sarna, Sudeepto Mohanta and Md Musfique Anwar",Finding Query-oriented Influential Social Users
"Tasnim Siraj, Md",Enamul Haque and Md Musfique Anwar
Swarna Das and Md Musfique Anwar,Finding Topic-Aware Intimate Online Social Groups
Md,"Shoaib Ahmed, Badhan Chandra Das and Md Musfique Anwar"
"Badhan Chandra Das, Md",Shoaib Ahmed and Md Musfique Anwar
"Badhan Chandra Das, Md",Shoaib Ahmed and Md Musfique Anwar
"Md Musfique Anwar, Chengfei Liu and Jianxin Li",Uncovering Attribute-Driven Active Intimate Community
"Md Musfique Anwar, Chengfei Liu, Jianxin Li and Tarique Anwar",Discovering and Tracking Active Online Social Groups
"Md Musfique Anwar, Jianxin Li and Chengfei Liu",Predicting the Spread of a New Tweet in Twitter
"Md Musfique Anwar, Jianxin Li and Chengfei Liu",Predicting the Spread of a New Tweet in Twitter
Md,"Musfique Anwar, Nasrin Sultana and Md"
Md,"Musfique Anwar, Mohammad Zabed Anwar and Md"
Tahmina Khatoon and Md,Musfique Anwar
