Title,Authors
"Morium Akter, Mohammad Abu Baker and Mohammad Shorif Uddin",Smart Home Security System
"Md. Tarek Habib, Anup Majumder, A.Z.M. Jakaria, Morium Akter, Mohammad Shorif Uddin, Farruk Ahmed","Machine vision-based papaya disease recognition,"
"Umme Sara, Morium Akter, Mohammad Shorif Uddin","Image quality assessment through FSIM, SSIM, MSE and PSNR- A comparative study,"
"Aditi Sarker, Morium Akter and Mohammad Shorif Uddin","Simulation of Hazy Image and Validation of Haze Removal Technique,"
"Morium Akter, Liton Jude Rozario, Mohammad Shorif Uddin","Gait Recognition for Security and Surveillance System- A Review,"
"Md. Tarek Habib, Anup Majumder, A.Z.M. Jakaria, Morium Akter, Mohammad Shorif Uddin, Farruk Ahmed","Machine Vision Based Papaya Disease Recognition,"
Morium Akter,"Detection of Microaneurysm in Diabetic Retinopathy,"
Morium Akter and Mohammad Shorif Uddin,Android-Based Diabetes Management System
"Morium Akter, Mohammad Shorif  Uddin and Md. Atiqul Islam",A Mobile-Based System for Management of Hypertension with Diabetes
Morium  Akter and Mohammad Shorif Uddin,Morphology-Based Exudates Detection in Diabetic Retinopathy
Morium Akter and Mohammad Shorif Uddin,A Review on Automated diagnosis of Diabetic Retinopathy
Mohammad Shorif Uddin and Morium Akter,Development of a knowledge-based diagnosis and management system for diabetes mellitus through web-based technique
"Md. Sabab Zulfiker, Nasrin Kabir, Hafsa Moontari Ali,  M. Reduanul Haque, Morium Akter and M. Shorif Uddin","Sentiment Analysis Based on Users' Emotional Reactions about Ride-sharing Services on Facebook and Twitter,"
"Mohammad Shorif Uddin, Bishal Gautam, Aditi Sarker, Morium Akter and Mohammad Reduanul Haque",Image-Based Automated Haze Removal Using Dark Channel Prior
"Morium Akter, Mohammad Shorif Uddin and Mahmudul Hasan Khan",Morphology-based exudates detection from color fundus images in diabetic retinopathy
"Morium Akter, Mohammad Shorif Uddin and Aminul Haque",A Knowledge-Based System for Diagnosis and Management of Diabetes Mellitus
"Sanjit Kumar Saha, Ingo Schmitt",A Relevance Feedback-Based Approach for Non-TI Clustering
"Sheikh Shah Mohammad Motiur Rahman, Sanjit Kumar Saha", StackDroid: Evaluation of A Multi-Level Approach for Detecting the Malware on Android using Stacked Generalization
"Sanjit Kumar Saha, Md. Shamsuzzaman, Md. Al-Amin Bhuiyan",On Bangla Character Recognition 
"Sanjit Kumar Saha, Tapashi Gosswami",A Study of Triangle Inequality Violations in Social Network Clustering
"Sanjit Kumar Saha",Performance Evaluation of Neural Networks in Road Sign Recognition
"Md Abul Kalam Azad, Sanjit Kumar Saha, Md. Imdadul Islam, Jugal Krishna Das",Detection of Primary User at Fusion Center of a CRN Using Fuzzy-Logic Rules
"Tapashi Gosswami, Sanjit Kumar Saha, Mahmudul Hasan",Stock Market Data Analysis and Future Stock Prediction using Neural Network
"Tapashi Gosswami, Sanjit Kumar Saha",Handwritten Bangla Numeral Recognition Exerting Neural Network Approach
"Sanjit Kumar Saha, Md. Shamsuzzaman, Dulal Chakraborty, Md. Mahfuzur Rahman, Md. Al-Amin",Performance Evaluation of Neural Networks in Bangla OCR
"Md. Mahfuzur Rahman, Sanjit Kumar Saha, Md. Zakir Hossain, Md. Babul Islam",Performance Evaluation of CMN for Mel-LPC based Speech Recognition in Different Noisy Environments
"Dulal Chakraborty, Sanjit Kumar Saha, Md. Al-Amin Bhuiyan",Face Recognition using Eigenvector and Principal Component Analysis
"Sanjit Kumar Saha, Dulal Chakraborty, Md. Al-Amin Bhuiyan",Neural Network based Road Sign Recognition 
