Authors,Title
"Akhand,M. A. H. ,Habib,M. A. and Siddique,M. A. S. K. a. N.",  Physarum-Inspired Bicycle Lane Network Design in a Congested Megacity
"Moyeen,M. A. ,Alam,K. M. R. and Awal,a. M. A.", Bangla Text Extraction from Natural Scene Images for Mobile Applications,
"Rahman,M. M. , Islam,M. , Manik,M. M. H. and Al-Rakhami,M. S. A.", Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic
"Majumder,S. , Zaha,R. , Manik,M. M. H. and Alam,K. M. R.", A Blockchain Based Scalable Framework for Academic Document Verification
"Manik,M. M. H. , Sagor,A. H. , Habib,M. A. , Touhid,M. M. , Ahmed,T. , Islam,M. Z. and Haque", "Redefining Crime Record Storage: An Advanced Architecture Harnessing the Power of Blockchain Technology,"
"Manik,M. M. H. , Mahadi,J. , Touhid,M. M. and Alam,K. M. R.", Enhancing Robustness of Machine Learning Algorithms for Bangla Text Classification: A Defensive Approach against Adversarial Attacks," 
"Habib,M. A. and Manik,M. M. H.",A technique to avoid Blockchain Denial of Service (BDoS) and Selfish Mining Attack,
"Habib,M. A. ,Manik,M. M. H. and Zaman,S.", A Blockchain-based Technique to Prevent Grade Tampering: A University Perspective
"Manik,M. M. H. , Haque,F. , Hashem,M. , Habib,M. A. , Islam,M. Z. and Ahmed,T.", "A Hybrid Framework for Sentiment Analysis from Bangla Texts
"Manik,M. M. H. ,Alam,K. M. R. and Morimoto,Y.", "A Blockchain Based Secure Framework for User-centric Multi-party Skyline Queries
"Manik,M. M. H. ,Habib,M. A. and Ahmed,T.",Machine Learning Algorithms on COVID-19 Prediction Using CpG Island and AT-CG Feature on Human Genomic Data
"Rahman,M. M. , Manik,M. M. H. , Islam,M. M. , Mahmud,S. and Kim","An automated system to limit COVID-19 using facial mask detection in smart city network
"Haque,F. and Hashem,M. M. H. M. a. M.",Opinion mining from bangla and phonetic bangla reviews using vectorization methods
"Omar,M. T. and Hasan,K. M. A.", A Scalable Storage System for Structured Data Based on Higher Order Index Array
"Omar,M. T. and Hasan,K. M. A.", Towards An Efficient Maintenance of Address Space Overflow for Array Based Storage System
