Source,Target,Type,Id,Label,Weight
UID1,UID2,Undirected,17142,,1
8552,8769,Undirected,17143,,1
7251,8623,Undirected,17144,,1
3246,6284,Undirected,17145,,1
3835,724,Undirected,17146,,1
3398,3430,Undirected,17147,,1
343,828,Undirected,17148,,1
2544,4951,Undirected,17149,,1
4013,4492,Undirected,17150,,1
7895,8189,Undirected,17151,,1
3273,3401,Undirected,17152,,1
1865,948,Undirected,17153,,1
4206,5682,Undirected,17154,,1
7406,7633,Undirected,17155,,1
5529,734,Undirected,17156,,1
6776,7851,Undirected,17157,,1
3340,4508,Undirected,17158,,1
5461,5706,Undirected,17159,,1
7378,8002,Undirected,17160,,1
2435,3558,Undirected,17161,,1
8410,8784,Undirected,17162,,1
6269,6612,Undirected,17163,,1
3825,5986,Undirected,17164,,1
3311,6326,Undirected,17165,,1
2850,3903,Undirected,17166,,1
1897,5888,Undirected,17167,,1
4659,989,Undirected,17168,,1
527,6889,Undirected,17169,,1
8406,8827,Undirected,17170,,1
7595,7982,Undirected,17171,,1
6733,8317,Undirected,17172,,1
6591,822,Undirected,17173,,1
3250,6646,Undirected,17174,,1
5211,5638,Undirected,17175,,1
3345,3396,Undirected,17176,,1
2703,5242,Undirected,17177,,1
4976,5506,Undirected,17178,,1
8185,8275,Undirected,17179,,1
7029,8815,Undirected,17180,,1
7293,7754,Undirected,17181,,1
5407,5675,Undirected,17182,,1
7754,8169,Undirected,17183,,1
5867,650,Undirected,17184,,1
4207,558,Undirected,17185,,1
1167,2719,Undirected,17186,,1
6697,6707,Undirected,17187,,1
2580,4333,Undirected,17188,,1
3486,6013,Undirected,17189,,1
2584,6413,Undirected,17190,,1
2682,6897,Undirected,17191,,1
2539,761,Undirected,17192,,1
530,5845,Undirected,17193,,1
7774,8690,Undirected,17194,,1
7193,7894,Undirected,17195,,1
1818,2443,Undirected,17196,,1
2967,8287,Undirected,17197,,1
3161,4334,Undirected,17198,,1
5513,912,Undirected,17199,,1
5038,5996,Undirected,17200,,1
7005,7318,Undirected,17201,,1
7466,7554,Undirected,17202,,1
2351,2816,Undirected,17203,,1
7709,8317,Undirected,17204,,1
8462,8661,Undirected,17205,,1
2177,5385,Undirected,17206,,1
4968,6448,Undirected,17207,,1
7311,8144,Undirected,17208,,1
7421,8147,Undirected,17209,,1
186,2779,Undirected,17210,,1
5115,6851,Undirected,17211,,1
3365,541,Undirected,17212,,1
5982,6127,Undirected,17213,,1
370,976,Undirected,17214,,1
1163,4855,Undirected,17215,,1
4826,989,Undirected,17216,,1
2424,3806,Undirected,17217,,1
458,5509,Undirected,17218,,1
6490,750,Undirected,17219,,1
2580,4004,Undirected,17220,,1
7165,8648,Undirected,17221,,1
6616,6624,Undirected,17222,,1
1188,4642,Undirected,17223,,1
2668,3077,Undirected,17224,,1
3072,3459,Undirected,17225,,1
3550,547,Undirected,17226,,1
6830,7657,Undirected,17227,,1
5118,5586,Undirected,17228,,1
2384,4223,Undirected,17229,,1
7605,7830,Undirected,17230,,1
7132,7903,Undirected,17231,,1
3649,481,Undirected,17232,,1
119,2886,Undirected,17233,,1
8073,8098,Undirected,17234,,1
1402,2488,Undirected,17235,,1
7020,7947,Undirected,17236,,1
7088,7480,Undirected,17237,,1
4011,5141,Undirected,17238,,1
3350,5430,Undirected,17239,,1
1907,6119,Undirected,17240,,1
2998,4306,Undirected,17241,,1
1481,4827,Undirected,17242,,1
7427,8052,Undirected,17243,,1
6051,617,Undirected,17244,,1
326,4517,Undirected,17245,,1
1625,512,Undirected,17246,,1
2559,6278,Undirected,17247,,1
3560,5803,Undirected,17248,,1
3846,6505,Undirected,17249,,1
1406,2889,Undirected,17250,,1
3886,5150,Undirected,17251,,1
3129,5867,Undirected,17252,,1
1642,2676,Undirected,17253,,1
8395,8398,Undirected,17254,,1
2969,2991,Undirected,17255,,1
1793,2580,Undirected,17256,,1
1837,6389,Undirected,17257,,1
2134,3416,Undirected,17258,,1
1494,5689,Undirected,17259,,1
315,758,Undirected,17260,,1
3695,4076,Undirected,17261,,1
8083,8627,Undirected,17262,,1
1188,1841,Undirected,17263,,1
2277,2634,Undirected,17264,,1
1570,6225,Undirected,17265,,1
2606,4922,Undirected,17266,,1
1736,6601,Undirected,17267,,1
7482,7500,Undirected,17268,,1
3002,4900,Undirected,17269,,1
4497,4968,Undirected,17270,,1
7550,8611,Undirected,17271,,1
7617,7982,Undirected,17272,,1
7358,8621,Undirected,17273,,1
7588,8398,Undirected,17274,,1
7019,8336,Undirected,17275,,1
2652,5179,Undirected,17276,,1
4497,4955,Undirected,17277,,1
7735,8692,Undirected,17278,,1
5688,6539,Undirected,17279,,1
6999,7624,Undirected,17280,,1
3626,4161,Undirected,17281,,1
2876,948,Undirected,17282,,1
7722,8852,Undirected,17283,,1
613,647,Undirected,17284,,1
2927,5277,Undirected,17285,,1
1731,6854,Undirected,17286,,1
1188,2802,Undirected,17287,,1
1903,2720,Undirected,17288,,1
2141,4955,Undirected,17289,,1
4445,5653,Undirected,17290,,1
8261,8838,Undirected,17291,,1
1171,2774,Undirected,17292,,1
4155,452,Undirected,17293,,1
1896,5211,Undirected,17294,,1
7355,8239,Undirected,17295,,1
5463,6291,Undirected,17296,,1
6829,6977,Undirected,17297,,1
3125,762,Undirected,17298,,1
2322,3101,Undirected,17299,,1
7413,8157,Undirected,17300,,1
2551,2889,Undirected,17301,,1
1023,1769,Undirected,17302,,1
2180,5211,Undirected,17303,,1
7567,8456,Undirected,17304,,1
7628,8619,Undirected,17305,,1
1945,252,Undirected,17306,,1
5507,5571,Undirected,17307,,1
7039,7201,Undirected,17308,,1
7144,7506,Undirected,17309,,1
5504,629,Undirected,17310,,1
2952,3202,Undirected,17311,,1
4044,4135,Undirected,17312,,1
7791,8587,Undirected,17313,,1
3010,6124,Undirected,17314,,1
6787,7378,Undirected,17315,,1
7017,8677,Undirected,17316,,1
8134,8305,Undirected,17317,,1
8246,8462,Undirected,17318,,1
2719,6903,Undirected,17319,,1
8268,8325,Undirected,17320,,1
3213,3766,Undirected,17321,,1
4088,6867,Undirected,17322,,1
3732,626,Undirected,17323,,1
457,4689,Undirected,17324,,1
6491,8826,Undirected,17325,,1
238,6186,Undirected,17326,,1
7103,7297,Undirected,17327,,1
3234,4688,Undirected,17328,,1
2323,7178,Undirected,17329,,1
3807,650,Undirected,17330,,1
7087,7283,Undirected,17331,,1
6795,7826,Undirected,17332,,1
3415,5893,Undirected,17333,,1
1,8289,Undirected,17334,,1
280,3992,Undirected,17335,,1
7289,7533,Undirected,17336,,1
8195,8556,Undirected,17337,,1
7280,8025,Undirected,17338,,1
8116,8298,Undirected,17339,,1
8142,8847,Undirected,17340,,1
7569,7677,Undirected,17341,,1
6748,7713,Undirected,17342,,1
326,4013,Undirected,17343,,1
8133,8473,Undirected,17344,,1
4013,6278,Undirected,17345,,1
4480,5867,Undirected,17346,,1
3226,3236,Undirected,17347,,1
2640,2673,Undirected,17348,,1
7510,7683,Undirected,17349,,1
6539,6681,Undirected,17350,,1
1897,314,Undirected,17351,,1
1713,1833,Undirected,17352,,1
1820,2209,Undirected,17353,,1
4064,4948,Undirected,17354,,1
3553,6314,Undirected,17355,,1
2493,3678,Undirected,17356,,1
6828,8361,Undirected,17357,,1
7997,8689,Undirected,17358,,1
3618,4024,Undirected,17359,,1
3865,5650,Undirected,17360,,1
1182,5178,Undirected,17361,,1
3633,3731,Undirected,17362,,1
3244,6626,Undirected,17363,,1
3371,5651,Undirected,17364,,1
4363,5878,Undirected,17365,,1
1961,4535,Undirected,17366,,1
3876,5029,Undirected,17367,,1
4174,4653,Undirected,17368,,1
1785,6053,Undirected,17369,,1
4694,5867,Undirected,17370,,1
2580,4441,Undirected,17371,,1
294,989,Undirected,17372,,1
4844,5208,Undirected,17373,,1
3621,5123,Undirected,17374,,1
2276,6292,Undirected,17375,,1
3830,4796,Undirected,17376,,1
2861,5221,Undirected,17377,,1
6466,6491,Undirected,17378,,1
7308,8343,Undirected,17379,,1
7892,7992,Undirected,17380,,1
1796,5867,Undirected,17381,,1
2186,4467,Undirected,17382,,1
1983,5867,Undirected,17383,,1
3464,3741,Undirected,17384,,1
3243,6625,Undirected,17385,,1
7857,7863,Undirected,17386,,1
6826,7775,Undirected,17387,,1
3156,485,Undirected,17388,,1
1371,2668,Undirected,17389,,1
6052,767,Undirected,17390,,1
1360,2638,Undirected,17391,,1
4200,5021,Undirected,17392,,1
3869,4480,Undirected,17393,,1
4868,6902,Undirected,17394,,1
1531,5047,Undirected,17395,,1
8267,8808,Undirected,17396,,1
1852,5038,Undirected,17397,,1
7811,7839,Undirected,17398,,1
1776,2143,Undirected,17399,,1
2682,4627,Undirected,17400,,1
6975,7443,Undirected,17401,,1
1896,2788,Undirected,17402,,1
3316,4212,Undirected,17403,,1
4041,6617,Undirected,17404,,1
4008,6545,Undirected,17405,,1
7088,7599,Undirected,17406,,1
2668,604,Undirected,17407,,1
7903,8694,Undirected,17408,,1
5769,8260,Undirected,17409,,1
5038,5638,Undirected,17410,,1
1163,2775,Undirected,17411,,1
4956,5539,Undirected,17412,,1
544,637,Undirected,17413,,1
2235,728,Undirected,17414,,1
1662,989,Undirected,17415,,1
611,6887,Undirected,17416,,1
6706,7558,Undirected,17417,,1
3331,4106,Undirected,17418,,1
1514,2993,Undirected,17419,,1
1517,2219,Undirected,17420,,1
2448,3662,Undirected,17421,,1
7488,7850,Undirected,17422,,1
1763,5565,Undirected,17423,,1
1270,2565,Undirected,17424,,1
6767,6771,Undirected,17425,,1
1526,5516,Undirected,17426,,1
7463,8472,Undirected,17427,,1
7610,7858,Undirected,17428,,1
3040,3088,Undirected,17429,,1
3162,6272,Undirected,17430,,1
432,5124,Undirected,17431,,1
3900,6296,Undirected,17432,,1
4013,5442,Undirected,17433,,1
1675,213,Undirected,17434,,1
2540,2947,Undirected,17435,,1
7895,8841,Undirected,17436,,1
1729,3632,Undirected,17437,,1
2477,5123,Undirected,17438,,1
4917,6269,Undirected,17439,,1
6987,8855,Undirected,17440,,1
1535,2448,Undirected,17441,,1
2361,4552,Undirected,17442,,1
2744,4893,Undirected,17443,,1
2759,3692,Undirected,17444,,1
3168,4044,Undirected,17445,,1
8583,8584,Undirected,17446,,1
4206,6181,Undirected,17447,,1
3487,420,Undirected,17448,,1
