Authors,Title
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,",SUMono: A Representative Modern Bengali Corpus
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .(pdf)Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal,",SUPara: A Balanced English-Bengali Parallel Corpus
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .(pdf)Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal,SUPara: A Balanced English-Bengali Parallel Corpus, SUST Journal of Science and Technology, Vol. 16, No. 2, 2012, pp 46-51.(pdf)",Neural Machine Translation
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .(pdf)Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal,SUPara: A Balanced English-Bengali Parallel Corpus, SUST Journal of Science and Technology, Vol. 16, No. 2, 2012, pp 46-51.(pdf)Neural Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,",An Implementation of Machine Translation between Bangla and English
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .(pdf)Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal,SUPara: A Balanced English-Bengali Parallel Corpus, SUST Journal of Science and Technology, Vol. 16, No. 2, 2012, pp 46-51.(pdf)Neural Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,An Implementation of Machine Translation between Bangla and English, Proceedings of the International Conference on Computer and Information Technology (ICCIT), NSU, Dhaka, pp. 290-293, January, 2001",Statistical Machine Translation
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .(pdf)Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal,SUPara: A Balanced English-Bengali Parallel Corpus, SUST Journal of Science and Technology, Vol. 16, No. 2, 2012, pp 46-51.(pdf)Neural Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,",An Implementation of Machine Translation between Bangla and English
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .(pdf)Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal,SUPara: A Balanced English-Bengali Parallel Corpus, SUST Journal of Science and Technology, Vol. 16, No. 2, 2012, pp 46-51.(pdf)Neural Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,An Implementation of Machine Translation between Bangla and English, Proceedings of the International Conference on Computer and Information Technology (ICCIT), NSU, Dhaka, pp. 290-293, January, 2001Statistical Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,An Implementation of Machine Translation between Bangla and English, Proceedings of the International Conference on Computer and Information Technology (ICCIT), NSU, Dhaka, pp. 290-293, January, 2001",Parts-of-speech Tagging
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .(pdf)Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal,SUPara: A Balanced English-Bengali Parallel Corpus, SUST Journal of Science and Technology, Vol. 16, No. 2, 2012, pp 46-51.(pdf)Neural Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,An Implementation of Machine Translation between Bangla and English, Proceedings of the International Conference on Computer and Information Technology (ICCIT), NSU, Dhaka, pp. 290-293, January, 2001Statistical Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,An Implementation of Machine Translation between Bangla and English, Proceedings of the International Conference on Computer and Information Technology (ICCIT), NSU, Dhaka, pp. 290-293, January, 2001Parts-of-speech TaggingArun Krishna Paul and Md. Abdullah Al Mumin,",A Fine-Grained Tagset for Bengali Language
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .",(pdf)
"Corpus Linguistics​Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal,SUMono: A Representative Modern Bengali Corpus, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 78-86 .(pdf)Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal,SUPara: A Balanced English-Bengali Parallel Corpus, SUST Journal of Science and Technology, Vol. 16, No. 2, 2012, pp 46-51.(pdf)Neural Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,An Implementation of Machine Translation between Bangla and English, Proceedings of the International Conference on Computer and Information Technology (ICCIT), NSU, Dhaka, pp. 290-293, January, 2001Statistical Machine TranslationMd. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal,An Implementation of Machine Translation between Bangla and English, Proceedings of the International Conference on Computer and Information Technology (ICCIT), NSU, Dhaka, pp. 290-293, January, 2001Parts-of-speech TaggingArun Krishna Paul and Md. Abdullah Al Mumin,A Fine-Grained Tagset for Bengali Language, SUST Journal of Science and Technology, Vol. 21, No. 1, 2014, pp 1-8.(pdf)Arun Krishna Paul and Md. Abdullah Al Mumin,",Proposed Tagging Techniques for Bengali
