Author Name,Author ID
MS Rahman,brac_author_0
S Shatabda,brac_author_1
S Saha,brac_author_2
M Kaykobad,brac_author_3
MK Rahman,brac_author_4
MM Akbar,brac_author_5
S Iqbal,brac_author_6
MK Hasan,brac_author_7
YK Lee,brac_author_8
JM Moosa,brac_author_9
R Shakur,brac_author_10
L Mehedy,brac_author_11
N Arifin,brac_author_12
MA Abrar,brac_author_13
MAH Samee,brac_author_14
RA Chowdhury,brac_author_15
I King,brac_author_16
M Islam,brac_author_17
N Nurain,brac_author_18
S Chellappan,brac_author_19
ST Rahman,brac_author_20
RA Bakhtiar,brac_author_21
PP Mitra,brac_author_22
R Hasan,brac_author_23
T Hasan,brac_author_24
MMA Aziz,brac_author_25
MT Hoque,brac_author_26
QNU Ahmed,brac_author_27
ATMS Khalid,brac_author_28
MM Islam,brac_author_29
ME Amyeen,brac_author_30
N Ibtehaz,brac_author_31
NMMK Chowdhury,brac_author_32
MF Hossain,brac_author_33
T Faequa,brac_author_34
MT Kaykobad,brac_author_35
SK Nath,brac_author_36
A Datta,brac_author_37
M Hossain,brac_author_38
NZ Nahim,brac_author_39
T Anwar,brac_author_40
YW Lee,brac_author_41
S Lee,brac_author_42
JS Firoz,brac_author_43
MMMBM Sarwar,brac_author_44
MA Sattar,brac_author_45
AM Raihan,brac_author_46
IA Prome,brac_author_47
T Kaykobad,brac_author_48
Sarwar,brac_author_49
H.,brac_author_50
Hossain,brac_author_51
S.,brac_author_52
Rahman,brac_author_53
M.,brac_author_54
Ahmed,brac_author_55
Akter,brac_author_56
N.,brac_author_57
& Rahman,brac_author_58
C. M.,brac_author_59
& Numao,brac_author_60
Nasreen,brac_author_61
C. M,brac_author_62
Farid,brac_author_63
D. M.,brac_author_64
M. Z.,brac_author_65
Hassan,brac_author_66
M. A.,brac_author_67
Khan,brac_author_68
R. R.,brac_author_69
Kabir,brac_author_70
M. F.,brac_author_71
Huda,brac_author_72
M. N.,brac_author_73
Hasan,brac_author_74
M. M.,brac_author_75
F.,brac_author_76
Kotwal,brac_author_77
M. R. A.,brac_author_78
Muhammad,brac_author_79
G.,brac_author_80
Siddiqi,brac_author_81
F. A.,brac_author_82
Maruf,brac_author_83
G. M.,brac_author_84
Mridha,brac_author_85
Banik,brac_author_86
& Das,brac_author_87
J. K.,brac_author_88
Nawab Yousuf Ali,brac_author_89
M. S.,brac_author_90
Faisal Kabir,brac_author_91
Chowdury,brac_author_92
H. A. M.,brac_author_93
Dahal,brac_author_94
K.,brac_author_95
A.,brac_author_96
Md. Farid,brac_author_97
D.,brac_author_98
Darmont,brac_author_99
J.,brac_author_100
Harbi,brac_author_101
Saha,brac_author_102
A. K.,brac_author_103
Shahadat Hossain,brac_author_104
Faqruddin Ali Azam,brac_author_105
S. M.,brac_author_106
Zia,brac_author_107
M. Z. K.,brac_author_108
D. M. F.,brac_author_109
Gani,brac_author_110
M. O.,brac_author_111
Mehedi,brac_author_112
I. J.,brac_author_113
Seraj,brac_author_114
Mahmud,brac_author_115
a K. M. A.,brac_author_116
Khan S. H.,brac_author_117
Roy A.,brac_author_118
Chakrabarty A.,brac_author_119
Tasfe M.,brac_author_120
Tasnia A.,brac_author_121
Sayed A. E.,brac_author_122
Das K. D. J,brac_author_123
Hossain A.,brac_author_124
Collier M.,brac_author_125
Mukhopadhyay S.,brac_author_126
Zannah R.,brac_author_127
Bashar M.,brac_author_128
Mushfiq R. B.,brac_author_129
Hossain S.,brac_author_130
Jung Y. J.,brac_author_131
Reza Md T.,brac_author_132
Gadekallu T. R.,brac_author_133
Alazab M.,brac_author_134
Piran J,brac_author_135
Hossain Md. S. A.,brac_author_136
Rahman Md. A.,brac_author_137
Rashid M.,brac_author_138
Kuwana A.,brac_author_139
Kobayashi H.,brac_author_140
Ghosh D. K.,brac_author_141
Moon H.,brac_author_142
Hossain P. S.,brac_author_143
Kim Kyuheon,brac_author_144
Akash N. S.,brac_author_145
Rouf S.,brac_author_146
Jahan S.,brac_author_147
Chowdhury A.,brac_author_148
Uddin J.,brac_author_149
Das J. K.,brac_author_150
Mansoor N.,brac_author_151
Uddin M. I.,brac_author_152
Al-adaileh M. H.,brac_author_153
Alsharif N.,brac_author_154
Alsaade F. W.,brac_author_155
Ferdoush Z.,brac_author_156
Mahmud B. N.,brac_author_157
Taki S.U.,brac_author_158
Pham Q.,brac_author_159
Suh D. Y.,brac_author_160
Mostafi S.,brac_author_161
Khan F.,brac_author_162
Piran J.,brac_author_163
Ananto R. A.,brac_author_164
Shahab A.,brac_author_165
Shohan J. A.,brac_author_166
Akther N.,brac_author_167
Sarkar R.R.,brac_author_168
Rasul K.,brac_author_169
Hasan M.,brac_author_170
Md. Rahman T.,brac_author_171
Zillanee A. H.,brac_author_172
Alam Md. G. R.,brac_author_173
Islam Md.F.,brac_author_174
Ahmed S. T.,brac_author_175
Barua S.,brac_author_176
Md. Islam F. Ul,brac_author_177
Islam Md. F,brac_author_178
Rahman Md. T.,brac_author_179
Islam Md. F.,brac_author_180
Rahman R.,brac_author_181
Aziz A.,brac_author_182
Youkee N. K.,brac_author_183
Ahmed F. S.,brac_author_184
