Author Name,Author ID
Zarif Ikram,buet_author_0
Dianbo Liu,buet_author_1
M Saifur Rahman,buet_author_2
Abrar Rahman Abir,buet_author_3
Md Toki Tahmid,buet_author_4
Rafiqul Islam Rayan,buet_author_5
Machine Learning Based Finite Element Analysis (FEA) Surrogate for Hip Fracture Risk Assessment,buet_author_6
Visualization,buet_author_7
Saha Gourab,buet_author_8
Sawmya Shashata,buet_author_9
Saha Arpita,buet_author_10
Akil Md Ajwad,buet_author_11
Tasnim Sadia,buet_author_12
Rahman Md Saifur,buet_author_13
Rahman M Sohel,buet_author_14
Sheikh Azizul Hakim,buet_author_15
Md Rownok Zahan Ratul,buet_author_16
Md Shamsuzzoha Bayzid,buet_author_17
Mursalin Habib*,buet_author_18
Kowshic Roy*,buet_author_19
Saem Hasan*,buet_author_20
Atif Hasan Rahman,buet_author_21
Pair-EGRET: enhancing the prediction of protein–protein interaction sites through graph attention networks,buet_author_22
protein language models,buet_author_23
Social Network Analysis,buet_author_24
Mining,buet_author_25
Md. Shohrab Hossain,buet_author_26
Ying-Dar Lin,buet_author_27
Mohammed J.F. Alenazi,buet_author_28
Mohammed Atiquzzaman,buet_author_29
IEEE Transactions on Dependable,buet_author_30
Secure Computing,buet_author_31
A Framework for Checking,buet_author_32
Mitigating the Security Vulnerabilities of Cloud Service RESTful API,buet_author_33
Islam Rubyeat,buet_author_34
Rahman Atif,buet_author_35
Roy Nilanjan,buet_author_36
Kabir Acramul Haque,buet_author_37
Zahan Nourin,buet_author_38
Saha Shoumik,buet_author_39
Afroz Sadia,buet_author_40
Rahman Atif Hasan,buet_author_41
Yafi Mashrur Ahmed,buet_author_42
Hisham Md Hasibul Husain,buet_author_43
Grisanti Francisco,buet_author_44
Martin James F,buet_author_45
Samee Md Abul Hassan,buet_author_46
Meher Afroz,buet_author_47
Muntaka Ibnath,buet_author_48
Ashikur Rahman,buet_author_49
Jakia Sultana,buet_author_50
Raqeebir Rab,buet_author_51
Approximation algorithms for maximum weighted internal spanning trees in regular graphs,buet_author_52
subdivisions of graphs,buet_author_53
“To Lane or Not to Lane?”—Comparing On-Road Experiences in Developing,buet_author_54
Developed Countries Using a New Simulator RoadBird,buet_author_55
Toufikuzzaman Md,buet_author_56
Hassan Samee Md Abul,buet_author_57
Sohel Rahman M,buet_author_58
Benzir Md Ahmed,buet_author_59
Mohammed Eunus Ali,buet_author_60
Mohammad Mehedy Masud,buet_author_61
Wearable,buet_author_62
Ubiquitous Technologies,buet_author_63
Sheikh Hasib Ahmed,buet_author_64
Dibyendu Brinto Bose,buet_author_65
Rafi Khandoker,buet_author_66
Data Poisoning Attacks,buet_author_67
Mitigation Strategies on Federated Support Vector Machines,buet_author_68
Recent Trends,buet_author_69
Techniques of Blood Glucose Level Prediction for Diabetes Control,buet_author_70
Jamalia Sultana,buet_author_71
Mahmuda Naznin,buet_author_72
Tanvir Md. Faisal,buet_author_73
Md Ehtesham-Ul-Haque,buet_author_74
Jacob D’Rozario,buet_author_75
Rudaiba Adnin,buet_author_76
Farhan Tanvir Utshaw,buet_author_77
Fabiha Tasneem,buet_author_78
Israt Jahan Shefa,buet_author_79
A.B.M. Alim Al Islam,buet_author_80
Md. Ruhul Amin,buet_author_81
Md Saiful Islam,buet_author_82
Wasifur Rahman,buet_author_83
Abdelrahman Abdelkader,buet_author_84
Adiba Mahbub Proma,buet_author_85
Caleb Wohn,buet_author_86
Karen Berger,buet_author_87
Serena Uong,buet_author_88
Varun Kumar,buet_author_89
Katrina Smith Korfmacher,buet_author_90
Ehsan Hoque,buet_author_91
A novel approach for standardizing clinical laboratory categorical test results using machine learning,buet_author_92
string distance similarity,buet_author_93
Rahman Mohammad Nuwaisir,buet_author_94
Noman Abdullah Al,buet_author_95
Turza Abir Mohammad,buet_author_96
Abrar Mohammed Abid,buet_author_97
Rahman M Saifur,buet_author_98
Sarif Sultan Saruar Jahan,buet_author_99
Peom Dutta,buet_author_100
Hossain Muhammad Mahdi Hassan Khan,buet_author_101
Muhammad Shahariar Karim Badhon,buet_author_102
Sumaiya Binte Hassan and,buet_author_103
Sanzana Karim Lora,buet_author_104
Ishrat Jahana,buet_author_105
Rahad Hussain,buet_author_106
Samiul Anwar,buet_author_107
A. B. M. Alim Al Islam,buet_author_108
Md Ashiqur Rahman,buet_author_109
Abdullah Aman Tutul,buet_author_110
Mahfuza Sharmin,buet_author_111
Ishrat Jahan,buet_author_112
Najla Abdulrahman Al-Nabhan,buet_author_113
Jannatun Noor,buet_author_114
Focusing on the Unfocused: Corresponding Perspectives on Connectivity among Small-Scale Non-Profit Organizations Working for Street Children in Bangladesh,buet_author_115
Their Donors,buet_author_116
N. A. Al-Nabhan,buet_author_117
A. B. M. A. A. Islam,buet_author_118
Sarfaraz Newaz,buet_author_119
Nadia Al-Aboody & A. B. M. Alim Al Islam,buet_author_120
Inferring Optimal Species Trees in the Presence of Gene Duplication,buet_author_121
Loss: Beyond Rooted Gene Trees,buet_author_122
Punam Biswas,buet_author_123
Tanzima Hashem,buet_author_124
Muhammad Aamir Cheema,buet_author_125
Matt Duckham,buet_author_126
Mahathir Monjur,buet_author_127
Fariha Tabassum Islam,buet_author_128
Nenad Radosevic,buet_author_129
Mohammad Saiedur Rahaman,buet_author_130
Serene Ho,buet_author_131
Katherine Williams,buet_author_132
Yaguang Tao,buet_author_133
A Crowd-Enabled Approach for Privacy-Enhanced,buet_author_134
Personalized Safe Route Planning for Fixed or Flexible Destinations,buet_author_135
Developer discussion topics on the adoption,buet_author_136
barriers of low code software development platforms,buet_author_137
Actual rating calculation of the zoom cloud meetings app using user reviews on google play store with sentiment annotation of BERT,buet_author_138
hybridization of RNN,buet_author_139
LSTM,buet_author_140
Information,buet_author_141
Software Technology,buet_author_142
Ammar Sohail,buet_author_143
Adel N Toosi,buet_author_144
Hesham A Rakha,buet_author_145
IEEE Transactions on Knowledge,buet_author_146
Data Engineering,buet_author_147
Nabil Ibtehaz,buet_author_148
SM Shakhawat Hossain Sourav,buet_author_149
M Sohel Rahman,buet_author_150
Multi-objective optimization,buet_author_151
heuristic based solutions for evacuation modeling,buet_author_152
Muhammad EH Chowdhury,buet_author_153
Amith Kh,buet_author_154
akar,buet_author_155
Serkan Kiranyaz,buet_author_156
Susu M Zughaier,buet_author_157
Ahmed Shehab Sarar,buet_author_158
Rifat Zaara Tasnim,buet_author_159
Nayeem Muhammad Ali,buet_author_160
Samudro Naser Anjum,buet_author_161
