Author Name,Author ID
Musfequa Rahman,cuet_author_0
Kaushik Deb,cuet_author_1
Pranab Kumar Dhar,cuet_author_2
Tetsuya Shimamura,cuet_author_3
Md Al-Mamun Provath,cuet_author_4
Kang Hyun Jo,cuet_author_5
GM Sakhawat Hossain,cuet_author_6
Iqbal H Sarker,cuet_author_7
Ayesha Banu,cuet_author_8
Sabiha Anan,cuet_author_9
S Hossain,cuet_author_10
K Deb,cuet_author_11
S Sakib,cuet_author_12
IH Sarker,cuet_author_13
Helge Janicke,cuet_author_14
Md Ashiqur Rahman,cuet_author_15
Shuhena Salam Aonty,cuet_author_16
Abdullah As Sami,cuet_author_17
Saadman Sakib,cuet_author_18
Dhrubajyoti Das,cuet_author_19
Taufique Sayeed,cuet_author_20
huhena Salam Aonty,cuet_author_21
Kang-Hyun Jo,cuet_author_22
Md Shihab Hossain,cuet_author_23
Syed Md Minhaz Hossain,cuet_author_24
Faria Zarin Subah,cuet_author_25
Md Khaliluzzaman,cuet_author_26
Ashraf Uddin,cuet_author_27
Md Junayed Hasan,cuet_author_28
Anik Sen,cuet_author_29
Promiti Chakraborty,cuet_author_30
Moumita Sen Sarma,cuet_author_31
Md. Azhar Uddin,cuet_author_32
Tahmina Khanam,cuet_author_33
Muhammad Ibrahim Khan,cuet_author_34
Kaushik Deb and Kang-Hyun Jo,cuet_author_35
Md Mahadi Hasan,cuet_author_36
Maisha Maimuna,cuet_author_37
Mohammad Ashraf Russo,cuet_author_38
MD Muhyminul Haque,cuet_author_39
Samiul Haque,cuet_author_40
Shayla Sharmin,cuet_author_41
Khaleque Md Aashiq Kamal,cuet_author_42
Arifa Sultana,cuet_author_43
Oh-Jin Kwon,cuet_author_44
Syed Mohammad Minhaz Hosain,cuet_author_45
Zainul Abedin,cuet_author_46
and Takeshi Koshiba,cuet_author_47
Md. Akber Hossain,cuet_author_48
and Kaushik Deb,cuet_author_49
Mohammad Ibrahim Khan,cuet_author_50
Mir Md. Saki Kowsar,cuet_author_51
Farhana Shirin Chowdhury,cuet_author_52
Ahsan Sadee Tanim,cuet_author_53
Sharmistha Chanda Tista and Kaushik Deb,cuet_author_54
Farjana Bintay Kamal,cuet_author_55
Sangita Mitra,cuet_author_56
Uzzal K. Acharjee,cuet_author_57
Dipankar Das,cuet_author_58
Aapan Mutsuddy,cuet_author_59
and Kang-Hyun Jo,cuet_author_60
Md. Atiqul islam rizvi,cuet_author_61
Md. Ibrahim Khan,cuet_author_62
S. A. Chowdhury,cuet_author_63
M. M. S. Kowsar,cuet_author_64
and K. Deb,cuet_author_65
Md. Khaliluzzaman and Kaushik Deb,cuet_author_66
Tahmina Khanam and Kaushik Deb,cuet_author_67
K. Deb,cuet_author_68
P. K. Dhar and M. A. F. M. R. Hasan,cuet_author_69
Linkon Chowdhury,cuet_author_70
and Sarwar Kamal,cuet_author_71
Md. Moshiul Hoque,cuet_author_72
Quazi Delwar Hossian,cuet_author_73
Y. Kobayashi,cuet_author_74
and Y. Kuno,cuet_author_75
Animash Kar and Ashraful Huq Suny,cuet_author_76
Kazi Zakia Sultana and Tahmina Khanam,cuet_author_77
Kaushik Deb and Ashraful Huq Suny,cuet_author_78
Sayem Mohammad Imtiaz,cuet_author_79
and Priyam Biswas,cuet_author_80
Md. Ashikur Rahaman,cuet_author_81
Kazi Zakia Sultana,cuet_author_82
Md. Iqbal Hasan Sarker,cuet_author_83
and Ui-Pil Chong,cuet_author_84
Muhammad Kamal Hossen and Kaushik Deb,cuet_author_85
Y. Kuno,cuet_author_86
A Low Frequency Band Watermarking with Weighted Correction in the Combined Cosine and Wavelet Transform Domain,cuet_author_87
Md. Fazlul Kader and Kaushik Deb,cuet_author_88
and Md. Hasan Farhad,cuet_author_89
Anik Saha,cuet_author_90
Dipanjan Das Roy,cuet_author_91
Tauhidul Alam and Kaushik Deb,cuet_author_92
Helena Parvin Mony and Sujan Chowdhury,cuet_author_93
Tauhidul Alam,cuet_author_94
Md. Mahammud Ali and Kang-Hyun Jo,cuet_author_95
FFT based Audio Watermarking Method with a Gray Image for Copyright Protection,cuet_author_96
My Ha Le,cuet_author_97
Byung-Seok Woo and Kang-Hyun Jo,cuet_author_98
Andrey Vavilin,cuet_author_99
Jung-Won Kim,cuet_author_100
Mohammed Ibrahim Khan,cuet_author_101
and Jong-Myon Kim,cuet_author_102
Hyun-Uk Chae,cuet_author_103
Hee-Chul Lim,cuet_author_104
Suk-Ju Kang,cuet_author_105
Kaushik Deb and Thomas Chowdhury,cuet_author_106
M. S. Arefin,cuet_author_107
M. M. Hoque,cuet_author_108
M.T. Islam,cuet_author_109
Dipankar Das and Kaushik Deb,cuet_author_110
Md. Khaliluzzaman Kaushik Deb,cuet_author_111
Soumen Chakraborty,cuet_author_112
Mohammed Nasir Uddin and Kaushik Deb,cuet_author_113
M. N. Uddin,cuet_author_114
M. M. S. Kowsar and K. Deb,cuet_author_115
Shaiyan Ameen Chowdhury,cuet_author_116
M.S. Kowsar and Kaushik Deb,cuet_author_117
d. Khaliluzzaman,cuet_author_118
Deepak Kumar Chy.,cuet_author_119
Md. Khaliluzzaman,cuet_author_120
Animash Kar and Kaushik Deb,cuet_author_121
Soumen Chakraborty and Kaushik Deb,cuet_author_122
Kazi Anika Hossain Naima,cuet_author_123
Tahmina Khhanm and Kaushik Deb,cuet_author_124
Arpita Chowdhury,cuet_author_125
Md. Rahat Mahmud,cuet_author_126
Prianka Banik and Kaushik Deb,cuet_author_127
Swati Nigam,cuet_author_128
and Ashish Khare,cuet_author_129
Sujan Chowdhury,cuet_author_130
Kayasar Md. Mahedi,cuet_author_131
Sajib Al-Seraj,cuet_author_132
Md. Saki Kowser,cuet_author_133
Iqbal Hasan Sarker,cuet_author_134
Muhammad Kamal Hossen,cuet_author_135
and Md. Rafiqul Alam,cuet_author_136
Md. Moshiul Hoque and Kaushik Deb,cuet_author_137
Md. Sajib Al-Seraj,cuet_author_138
Md. Moshiul Hoque and Md. Iqbal Hasan Sarker,cuet_author_139
Md. Rafiqul Alam,cuet_author_140
Anik Saha and Kaushik Deb,cuet_author_141
Sujan Chowdhury and Kaushik Deb,cuet_author_142
Tae-Ho Kim,cuet_author_143
My-Ha Le,cuet_author_144
Kaushik-Deb,cuet_author_145
and P. M. Mahamudul Hassan,cuet_author_146
Sujon Chowdhury,cuet_author_147
Alok Kumar Chowdhury,cuet_author_148
and Kaushik-Deb,cuet_author_149
Andy Vavilin,cuet_author_150
Hee-Chul Lim and Kang-Hyun Jo,cuet_author_151
Kang,cuet_author_152
Suk-Ju,cuet_author_153
Heechul Lim,cuet_author_154
M.A.H. Bhuiyan and Kaushik Deb,cuet_author_155
Kaushik Deb and V. L. Tokarev,cuet_author_156
Ahatesham Bhuiyana,cuet_author_157
Eftekhar Hossain,cuet_author_158
Mohammed Moshiul Hoque,cuet_author_159
and M. Ali Akber Dewan,cuet_author_160
M. R. Hossain,cuet_author_161
N. Siddique,cuet_author_162
M. A. A. Dewan,cuet_author_163
[3] S. Afroze,cuet_author_164
R. Hossain,cuet_author_165
and A. A. Dewan,cuet_author_166
A. Das,cuet_author_167
O. Sharif,cuet_author_168
M. A. A. Dewan and N. Siddique,cuet_author_169
N. N. Siddique and I. H. Sarker,cuet_author_170
G. J Ferdous,cuet_author_171
K. A Sathi,cuet_author_172
M. A Hossain,cuet_author_173
S. Afroze,cuet_author_174
and M. M. Hoque,cuet_author_175
E. Hossain,cuet_author_176
M. A. Hossain,cuet_author_177
E. Hoque and M. S. Islam,cuet_author_178
S. M. A. Iqbal,cuet_author_179
Asaduzzaman,cuet_author_180
Iqbal,cuet_author_181
S.M.A.,cuet_author_182
Asaduzzaman & Hoque,cuet_author_183
M.M.,cuet_author_184
M.A.,cuet_author_185
Das,cuet_author_186
A.,cuet_author_187
Sharif,cuet_author_188
O. M. M. Hoque and Iqbal. H. Sarker,cuet_author_189
Mamun,cuet_author_190
M.M.R.,cuet_author_191
O. & Hoque,cuet_author_192
Parvin,cuet_author_193
T.,cuet_author_194
O. Sharif and M. M. Hoque,cuet_author_195
M. R Hossain,cuet_author_196
M. M Hoque,cuet_author_197
M,cuet_author_198
N. Islam and I. H. Sarker,cuet_author_199
A. Iqbal,cuet_author_200
MM Hoque,cuet_author_201
and I H Sarker,cuet_author_202
M. M. Rahaman,cuet_author_203
M. Moshiul Hoque,cuet_author_204
T. Parvin,cuet_author_205
S. M. Iqbal,cuet_author_206
S. Sharmin,cuet_author_207
S. M. R. Islam,cuet_author_208
M F. Kader and I H. Sarker,cuet_author_209
,cuet_author_210
L. Alam,cuet_author_211
M M Hoque,cuet_author_212
N Siddique,cuet_author_213
R. C. Ripan,cuet_author_214
I. H. Sarker,cuet_author_215
S. M. M. Hossain,cuet_author_216
M. M. Anwar,cuet_author_217
R,cuet_author_218
Nowrozy,cuet_author_219
M. M. Hoque & M. H. Furhad,cuet_author_220
I. H Sarker and MM Hoque,cuet_author_221
O Sharif,cuet_author_222
ASM Kayes,cuet_author_223
R Nowrozy,cuet_author_224
and M M Hoque,cuet_author_225
M. A.F.M. R. Hasan,cuet_author_226
R. Yasmin,cuet_author_227
D. Das,cuet_author_228
M. I. Pramanik,cuet_author_229
and M. S. Rahman,cuet_author_230
Q. D. Hossian,cuet_author_231
M. F. Kader,cuet_author_232
Assaduzzaman,cuet_author_233
T. Onuki,cuet_author_234
A. M. Mahbub,cuet_author_235
M. M. Hoque and M. K. Hassan,cuet_author_236
M. M. Ahammed and M. M. U. Hasan,cuet_author_237
M. S. Arefin and M. S. Kowser,cuet_author_238
M. T. Islam and K. Dev,cuet_author_239
M. S. Arefin and M. O. Rahman,cuet_author_240
A. N. M. R. Karim,cuet_author_241
M. G. R. Alam and M. M. Hoque,cuet_author_242
M. O. Faruk,cuet_author_243
M. M. U. Hasan,cuet_author_244
M. K. Hassan and M. M. U. Karim,cuet_author_245
R. Paul,cuet_author_246
M. M. Hoque and M. A. Sarif,cuet_author_247
Md. Sarwar Kamal and Mohammad Shamsul Arefin,cuet_author_248
Md. Osman Goni,cuet_author_249
Mohammad Shamsul Arefin,cuet_author_250
and Mohammad Monirul Islam,cuet_author_251
Khondoker Nazibul Hossain,cuet_author_252
and Yasuhiko Morimoto,cuet_author_253
