Author Name,Author ID
Md. Rafiqul Islam and M A Mottalib,ku_author_0
,ku_author_1
Md. Rafiqul Islam,ku_author_2
Mohd. Noor Md. Sap and Harihodin Selamat,ku_author_3
Md. Sharifur Rahman and Md. Rafiqul Islam.,ku_author_4
R. M. M. Rahman,ku_author_5
M. A. Rahman,ku_author_6
and K. H. Talukder.,ku_author_7
S.A. Hossain,ku_author_8
M.A. Rahman,ku_author_9
and M.A. Hossain,ku_author_10
SA. Hossain,ku_author_11
MA. Rahman,ku_author_12
and MA. Hossain,ku_author_13
S. A. Ahnaf,ku_author_14
M.. S. Islam,ku_author_15
M. A.nisur Rahman,ku_author_16
M. Rahman,ku_author_17
R. Farjana,ku_author_18
J. A. Faisal,ku_author_19
and M. A. Rahman,ku_author_20
M. Prince,ku_author_21
and K. H. Talukder,ku_author_22
S. Farhan,ku_author_23
M. A. Rahman and S. M. R. Haque,ku_author_24
T. Tabassum; S.A. Hossain,ku_author_25
M.F. Alhamid,ku_author_26
R. Afrin,ku_author_27
and A. Haque,ku_author_28
R. Mohalder,ku_author_29
M. A. Rahman and A. Saha,ku_author_30
M. A. Hossain,ku_author_31
T. Tabassum,ku_author_32
M. Masud,ku_author_33
A. Rahman and M. Masud,ku_author_34
Rahman A.,ku_author_35
Masud M.,ku_author_36
Kiringa I. and El-Saddik A.,ku_author_37
Kiringa I.,ku_author_38
and El Saddik A.,ku_author_39
A. Hossain,ku_author_40
I. Kiringa,ku_author_41
A. E. Saddik,ku_author_42
and A. E. Saddik,ku_author_43
M. A.Rahman.,ku_author_44
A. S. M. Rahman,ku_author_45
S. M. R. Haque,ku_author_46
M. I. A. Khan,ku_author_47
M. A. K. Azad,ku_author_48
B. K. Nandi,ku_author_49
Laboni Paul and Kamrul Hasan Talukder,ku_author_50
2.	Rahul Mohalder,ku_author_51
Ferdous Bin Ali,ku_author_52
Laboni Paul and Kamrul Hasan Talukder (2022),ku_author_53
S. M. Mohidul Islam and Kamrul Hasan Talukder,ku_author_54
S. A. Ahsan Rajon,ku_author_55
Mahmudul Hasan Abid,ku_author_56
Niloy Sikder,ku_author_57
Kamrul Hasan Talukder,ku_author_58
Md. Mizanur Rahman,ku_author_59
Md. Shamim Ahsan,ku_author_60
Abu Shamim Mohammad Arif and Abdullah-Al Nahid,ku_author_61
Rahul Deb Mohalder,ku_author_62
Khandkar Asif Hossain,ku_author_63
