Author Name,Author ID
Kazi Tamzid Akhter Md Hasib,nsu_author_0
Ixion Chowdhury,nsu_author_1
Saadman Sakib,nsu_author_2
Mohammad Monirujjaman Khan et al.,nsu_author_3
,nsu_author_4
Mohammad Monirujjaman Khan,nsu_author_5
Nishat Tasnim Roza et al.,nsu_author_6
Farjana Khanam Nishi,nsu_author_7
Zebin Mahi,nsu_author_8
AKM Bahalul Haque,nsu_author_9
Bharat Bhushan,nsu_author_10
Tahmid Hasan Pranto​,nsu_author_11
Abdulla All Noman,nsu_author_12
Atik Mahmud,nsu_author_13
AKM Bahalul Haque​​,nsu_author_14
Minhaj Uddin Chowdhury,nsu_author_15
Khairunnahar Suchana,nsu_author_16
Syed Md Eftekhar Alam,nsu_author_17
Manoshi Das Turjo,nsu_author_18
Mohammad Nafis Ul Islam,nsu_author_19
Ahmed Fahmin,nsu_author_20
Md Shohrab Hossain,nsu_author_21
Mohammed Atiquzzaman,nsu_author_22
Abid Hassan,nsu_author_23
MD. Iftekhar Ali,nsu_author_24
Rifat Ahammed and Mohammad Monirujjaman Khan,nsu_author_25
Lianying Zhao,nsu_author_26
Muhammad Shafayat Oshman,nsu_author_27
Mengyuan Zhang,nsu_author_28
Fereydoun Farrahi Moghaddam,nsu_author_29
Shubham Chander,nsu_author_30
Makan Pourzandi,nsu_author_31
Mahbubur Rahman,nsu_author_32
Koushik Roy,nsu_author_33
Nur Islam,nsu_author_34
Tarango Khan,nsu_author_35
Moniruz Zaman,nsu_author_36
Delwar Alam,nsu_author_37
Touhid Bhuiyan,nsu_author_38
Tanjila Farah,nsu_author_39
T. Farah,nsu_author_40
D. Alam,nsu_author_41
M. Zaman,nsu_author_42
and T. Bhuiyan,nsu_author_43
10. M. S. Hossain,nsu_author_44
Sazzad Hosain,nsu_author_45
Rafiya Hossain,nsu_author_46
Moonmoon Ahmed,nsu_author_47
Md. Mozadded Alfasani and Hasan U. Zaman,nsu_author_48
Hasan. U. Zaman,nsu_author_49
Tarafder Elmi Tabassum,nsu_author_50
Tanha Islam,nsu_author_51
Nadia Mohammad,nsu_author_52
Hasan U. Zaman,nsu_author_53
Jannatul Siffat Hossain,nsu_author_54
Tasnim Tamanna Anika,nsu_author_55
Deboshree Choudhury,nsu_author_56
Hasan Uz Zaman,nsu_author_57
Iftekharul Mobin,nsu_author_58
Nabeel Mohammed,nsu_author_59
Sifat Momen,nsu_author_60
Nova Ahmed,nsu_author_61
Minhaz Ahmed Syrus,nsu_author_62
Arshad Chowdhury,nsu_author_63
Rashed Shelim,nsu_author_64
11. D. Alam,nsu_author_65
R. Rahman and M. S. Hosain,nsu_author_66
Yuan-Cheng Lai,nsu_author_67
Ying-Dar Lin,nsu_author_68
Dipon Saha,nsu_author_69
Md. Redwanul Hamid and Hasan U. Zaman,nsu_author_70
Farhana Atuyar Saleh,nsu_author_71
Sadia Afrin Shopno,nsu_author_72
Moniruzzaman Shojol,nsu_author_73
Md. Maruf Hassan,nsu_author_74
Md. Mahfuzur Rahman,nsu_author_75
Mohammad Shorfuzzaman,nsu_author_76
and Mehedi Masud,nsu_author_77
Ahmed,nsu_author_78
N.,nsu_author_79
Syrus,nsu_author_80
M.A.,nsu_author_81
Chowdhury,nsu_author_82
A.,nsu_author_83
S. W. Tanzid,nsu_author_84
M. H. M. Iqbal,nsu_author_85
K. M. A. Salam,nsu_author_86
and H. U. Zaman,nsu_author_87
K. M. A. Salam and H. U. Zaman,nsu_author_88
M. A. Kabir,nsu_author_89
T. Bhuiyan,nsu_author_90
Md. Nadir Bin Ali,nsu_author_91
Md. Alamgir Kabir,nsu_author_92
T. Farah and Lj. Trajkovic,nsu_author_93
S. Lally,nsu_author_94
R. Gill,nsu_author_95
N. Al-Rousan,nsu_author_96
R. Paul,nsu_author_97
D. Xu,nsu_author_98
and Lj. Trajkovic,nsu_author_99
Tarif Riyad Rahman,nsu_author_100
Tousif Osman,nsu_author_101
Shahreen Shahjahan Psyche,nsu_author_102
Tonmoay Deb,nsu_author_103
Adnan Firoze,nsu_author_104
Rashedur M. Rahma,nsu_author_105
Shuvashish Paul,nsu_author_106
Pinku Deb Nath,nsu_author_107
Naseef M. Abdus Sattar,nsu_author_108
M. M. Tanzim Nawaz,nsu_author_109
Mahadi Hassan,nsu_author_110
Mir Golam Rasul and Hasan U. Zaman,nsu_author_111
Tawsif Ur Rahman Choudhury and Nafis Imtiaz Ahme,nsu_author_112
Rashedur M Rahman,nsu_author_113
A. Rahman and T. Motahar,nsu_author_114
Kazi Toyebul Haque,nsu_author_115
M.K. Robin,nsu_author_116
Mohammad Ashraful Anam,nsu_author_117
Naseef M. Abdus Sattar and Hasan U. Zaman,nsu_author_118
Romasa Qasim,nsu_author_119
G. M. Sayedur Rahman,nsu_author_120
Nahid Hasan and M. Shazzad Hosain,nsu_author_121
Syed Emdad Ullah,nsu_author_122
Tania Alauddin and Hasan U. Zaman,nsu_author_123
A. Rahman,nsu_author_124
S. Jan,nsu_author_125
H. Kim,nsu_author_126
B. A. Prakash,nsu_author_127
and T. M. Murali,nsu_author_128
M. Arabi Hasan Sakib,nsu_author_129
Fakhrul Islam,nsu_author_130
Sabbir Samiul Haque,nsu_author_131
Faridur Rahman Hridoy,nsu_author_132
Kallal Das,nsu_author_133
Rifayat Hossain Arko and Hasan U. Zaman,nsu_author_134
Syed Naffiz Hasan,nsu_author_135
Arka Basak,nsu_author_136
Sheefta Naz and Hasan U. Zaman,nsu_author_137
Tawsif Ur Rahman Choudhury,nsu_author_138
Nafis Imtiaz Ahmed,nsu_author_139
Umme Hafsa Billah,nsu_author_140
Sheikh Muhammad Sarwar,nsu_author_141
Abdullah-Al-Mamun,nsu_author_142
Shareen Mahmud,nsu_author_143
Nabila Rezwana Mirza and Md. Shazzad Hosain,nsu_author_144
Sayed Mahmudul Alam,nsu_author_145
Nahid Islam and Shazzad Hosain,nsu_author_146
Moinul Hossain,nsu_author_147
Mahfuzur Rahman Siddique,nsu_author_148
Refaya Karim,nsu_author_149
Mohsina Zaman,nsu_author_150
Rifat Monzur,nsu_author_151
Syed Jishan,nsu_author_152
Raisul Rashu,nsu_author_153
Naheena Haque,nsu_author_154
Shayanton Aurkaw,nsu_author_155
Rudraneel Chakraborty,nsu_author_156
Shazzad Hosain,nsu_author_157
