Author ID,Paper ID,Title
brac_author_0,brac_paper_0,DPP-PseAAC: a DNA-binding protein prediction model using Chou's general PseAAC
brac_author_1,brac_paper_0,DPP-PseAAC: a DNA-binding protein prediction model using Chou's general PseAAC
brac_author_2,brac_paper_0,DPP-PseAAC: a DNA-binding protein prediction model using Chou's general PseAAC
brac_author_3,brac_paper_0,DPP-PseAAC: a DNA-binding protein prediction model using Chou's general PseAAC
brac_author_0,brac_paper_1,isGPT: An optimized model to identify sub-Golgi protein types using SVM and Random Forest based feature selection
brac_author_4,brac_paper_1,isGPT: An optimized model to identify sub-Golgi protein types using SVM and Random Forest based feature selection
brac_author_3,brac_paper_1,isGPT: An optimized model to identify sub-Golgi protein types using SVM and Random Forest based feature selection
brac_author_5,brac_paper_2,Solving the multidimensional multiple-choice knapsack problem by constructing convex hulls
brac_author_0,brac_paper_2,Solving the multidimensional multiple-choice knapsack problem by constructing convex hulls
brac_author_3,brac_paper_2,Solving the multidimensional multiple-choice knapsack problem by constructing convex hulls
brac_author_6,brac_paper_3,Solving the multi-objective vehicle routing problem with soft time windows with the help of bees
brac_author_3,brac_paper_3,Solving the multi-objective vehicle routing problem with soft time windows with the help of bees
brac_author_0,brac_paper_3,Solving the multi-objective vehicle routing problem with soft time windows with the help of bees
brac_author_0,brac_paper_4,On Hamiltonian cycles and Hamiltonian paths
brac_author_3,brac_paper_4,On Hamiltonian cycles and Hamiltonian paths
brac_author_7,brac_paper_5,A comprehensive analysis of degree based condition for Hamiltonian cycles
brac_author_3,brac_paper_5,A comprehensive analysis of degree based condition for Hamiltonian cycles
brac_author_8,brac_paper_5,A comprehensive analysis of degree based condition for Hamiltonian cycles
brac_author_0,brac_paper_6,Antigenic: an improved prediction model of protective antigens
brac_author_4,brac_paper_6,Antigenic: an improved prediction model of protective antigens
brac_author_2,brac_paper_6,Antigenic: an improved prediction model of protective antigens
brac_author_3,brac_paper_6,Antigenic: an improved prediction model of protective antigens
