Author ID,Paper ID,Title,Author Name
brac_author_0,brac_paper_0, Generative Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR),Zarif Ikram
brac_author_1,brac_paper_0, Generative Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR),Dianbo Liu
brac_author_2,brac_paper_0, Generative Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR),M Saifur Rahman
brac_author_3,brac_paper_1,Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model,Abrar Rahman Abir
brac_author_4,brac_paper_1,Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model,Md Toki Tahmid
brac_author_2,brac_paper_1,Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model,M Saifur Rahman
brac_author_3,brac_paper_2,Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model,Abrar Rahman Abir
brac_author_5,brac_paper_2,Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model,Rafiqul Islam Rayan
brac_author_4,brac_paper_2,Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model,Md Toki Tahmid
brac_author_2,brac_paper_2,Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model,M Saifur Rahman
brac_author_3,brac_paper_3,LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning,Abrar Rahman Abir
brac_author_4,brac_paper_3,LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning,Md Toki Tahmid
brac_author_2,brac_paper_3,LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning,M Saifur Rahman
brac_author_6,brac_paper_4,Expert Systems with Applications,Machine Learning Based Finite Element Analysis (FEA) Surrogate for Hip Fracture Risk Assessment
brac_author_7,brac_paper_4,Expert Systems with Applications,Visualization
brac_author_8,brac_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information,Saha Gourab
brac_author_9,brac_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information,Sawmya Shashata
brac_author_10,brac_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information,Saha Arpita
brac_author_11,brac_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information,Akil Md Ajwad
brac_author_12,brac_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information,Tasnim Sadia
brac_author_13,brac_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information,Rahman Md Saifur
brac_author_14,brac_paper_5,PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information,Rahman M Sohel
brac_author_0,brac_paper_6,Gradient-guided discrete walk-jump sampling for biological sequence generation,Zarif Ikram
brac_author_1,brac_paper_6,Gradient-guided discrete walk-jump sampling for biological sequence generation,Dianbo Liu
brac_author_2,brac_paper_6,Gradient-guided discrete walk-jump sampling for biological sequence generation,M Saifur Rahman
brac_author_15,brac_paper_7,wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs,Sheikh Azizul Hakim
brac_author_16,brac_paper_7,wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs,Md Rownok Zahan Ratul
brac_author_17,brac_paper_7,wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs,Md Shamsuzzoha Bayzid
brac_author_18,brac_paper_8,Terraces in species tree inference from gene trees,Mursalin Habib*
brac_author_19,brac_paper_8,Terraces in species tree inference from gene trees,Kowshic Roy*
brac_author_20,brac_paper_8,Terraces in species tree inference from gene trees,Saem Hasan*
brac_author_21,brac_paper_8,Terraces in species tree inference from gene trees,Atif Hasan Rahman
brac_author_17,brac_paper_8,Terraces in species tree inference from gene trees,Md Shamsuzzoha Bayzid
brac_author_22,brac_paper_9,Bioinformatics,Pair-EGRET: enhancing the prediction of protein–protein interaction sites through graph attention networks
brac_author_23,brac_paper_9,Bioinformatics,protein language models
brac_author_24,brac_paper_10,14,Social Network Analysis
brac_author_25,brac_paper_10,14,Mining
