Authors,Title
"Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Mohammad Reza Selim and M. Zafar Iqbal", SUMono: A Representative Modern Bengali Corpus
"Md. Abdullah Al Mumin, Abu Awal Md. Shoeb, Md. Reza Selim and M. Zafar Iqbal", SUPara: A Balanced English-Bengali Parallel Corpus
"Md. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal", An Implementation of Machine Translation between Bangla and English
"Md. Abdullah Al Mumin, Mohammad Iftekhar Ahmed, Mohammad Alauddin Bhuiyan, Mohammad Reza Selim and Muhammed Zafar Iqbal", An Implementation of Machine Translation between Bangla and English
"Arun Krishna Paul and Md. Abdullah Al Mumin", A Fine-Grained Tagset for Bengali Language
"Arun Krishna Paul and Md. Abdullah Al Mumin", Proposed Tagging Techniques for Bengali,
"Sabir Ismail, Md. Shahidur Rahman and Md. Abdullah Al Mumin", Developing an Automated Bangla Parts of Speech Tagged Dictionary
"Ahmed Yunus, Md Masum","A Context Free Spell Correction Method using Supervised Machine Learning Algorithms"
"Quazi Ishtiaque Mahmud, Noymul Islam Chowdhury, Md Masum","A Multi Layer Perceptron Along with Memory Efficient Feature Extraction Approach for Bengali Document Categorization"
"Ahmed Yunus, Md Masum","Design and Development of an E-Commerce System in a Rapid Organized Way"
"Md. Masum, Muhammad Raisul Alam and Shafiul Hasan Md Tareq","Optimal Bangla Keypad Layout for Mobile Phone based on Ergonomics"
"Md. Masum, Md. Hasibur Rashid Chayon, Tawhidur Rahman and Md. Forhad Rabbi","Sensor-Based Automated River Monitoring System – Perspective to Bangladesh"
"Md. Masum, Syed Nuruzzaman and Md. Nazimul Haque","Secured-DSR : Modification of Conventional DSR Protocol for Hierarchical Multitier Ad Hoc Town"
"Muhammad Raisul Alam, Md. Masum, Md. Mostafizur Rahman and Md. Arifur Rahman","Design and Implementation of Microprocessor Based Electronic Voting System"
"Md Masum, Saiful Hasan, Shah Minul Amin, Md Abul Khayer","Mobile Location Service (MLS): An enormous market opportunity for mobile operators in Bangladesh"
"Md shohel Rana, Md Ashraf Hossain, Md Masum and M Muztaba Fuad","Comparative Study on Cluster on Programming Tools"
"Md. Masum, Dr. M Zafar Iqbal","A Dynamic Wavelength Assignment algorithm for the changing internodal traffic in all-optical ring network"
