Authors,Title
"Zarif Ikram, Dianbo Liu, M Saifur Rahman", Generative Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR)
"Abrar Rahman Abir, Md Toki Tahmid, M Saifur Rahman",Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model
"Abrar Rahman Abir, Rafiqul Islam Rayan, Md Toki Tahmid, M Saifur Rahman",Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model
"Abrar Rahman Abir, Md Toki Tahmid, M Saifur Rahman",LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning
"Machine Learning Based Finite Element Analysis (FEA) Surrogate for Hip Fracture Risk Assessment, Visualization",Expert Systems with Applications
"Saha Gourab, Sawmya Shashata, Saha Arpita, Akil Md Ajwad, Tasnim Sadia, Rahman Md Saifur, Rahman M Sohel",PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information
"Zarif Ikram, Dianbo Liu, M Saifur Rahman",Gradient-guided discrete walk-jump sampling for biological sequence generation
"Sheikh Azizul Hakim, Md Rownok Zahan Ratul, Md Shamsuzzoha Bayzid",wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs
"Mursalin Habib*, Kowshic Roy*, Saem Hasan*, Atif Hasan Rahman, Md Shamsuzzoha Bayzid",Terraces in species tree inference from gene trees
"Pair-EGRET: enhancing the prediction of protein–protein interaction sites through graph attention networks, protein language models",Bioinformatics
"Social Network Analysis, Mining",14
"Md. Shohrab Hossain, Ying-Dar Lin",Prioritization and offloading in P4 switch integrated with NFV
"Mohammed J.F. Alenazi, Mohammed Atiquzzaman",A Relaxed and Faster Switch Migration Framework to Balance the Load of Distributed Control Plane in Software Defined Networks
"Md. Shohrab Hossain, Ying-Dar Lin",3GPP Edge-Fog Federation: Transparent 3rd-Party Authentication and Application Mobility
"IEEE Transactions on Dependable, Secure Computing",1--12
"A Framework for Checking, Mitigating the Security Vulnerabilities of Cloud Service RESTful API",Service Oriented Computing and Applications
"Islam Rubyeat, Rahman Atif",An Alignment-Free Method for Detection of Missing Regions for Phylogenetic Analysis
"Roy Nilanjan, Kabir Acramul Haque, Zahan Nourin",Mouna Shahba Tasmiya
"Saha Shoumik, Afroz Sadia, Rahman Atif Hasan",MAlign: Explainable static raw-byte based malware family classification using sequence alignment
"Yafi Mashrur Ahmed, Hisham Md Hasibul Husain, Grisanti Francisco, Martin James F, Rahman Atif, Samee Md Abul Hassan",scGIST: gene panel design for spatial transcriptomics with prioritized gene sets
"Meher Afroz, Muntaka Ibnath, Ashikur Rahman, Jakia Sultana, Raqeebir Rab",On Feature Selection Algorithms for Effective Botnet Detection (Journal)
"Approximation algorithms for maximum weighted internal spanning trees in regular graphs, subdivisions of graphs",The Computer Journal
"“To Lane or Not to Lane?”—Comparing On-Road Experiences in Developing, Developed Countries Using a New Simulator RoadBird",IEEE Transactions on Intelligent Transportation Systems
"Toufikuzzaman Md, Hassan Samee Md Abul, Sohel Rahman M",CRISPR-DIPOFF: an interpretable deep learning approach for CRISPR Cas-9 off-target prediction
"Benzir Md Ahmed, Mohammed Eunus Ali, Mohammad Mehedy Masud",Mohammed Raihan Azad
"Wearable, Ubiquitous Technologies",7(4)
"Sheikh Hasib Ahmed, Dibyendu Brinto Bose, Rafi Khandoker, M Saifur Rahman",StackDPP: a stacking ensemble based DNA-binding protein prediction model
"Data Poisoning Attacks, Mitigation Strategies on Federated Support Vector Machines",Springer Nature Computer Science
