Authors,Title
"Md Samiullah, Ann E Nicholson, David W Albrecht","iOOBN: An Object-Oriented Bayesian Network Modelling Framework with Inheritance"
"Md Samiullah, CF Ahmed","An efficient approach to mine correlated graphs"
"Dr. Md. Haider Ali, Ahmed Samsul Arefin","Fundamentals of Computer and Information Technology"
"Md. Rezaul Karim","Straight-Line Grid Drawings of Planar Graphs with Sub-Quadratic Area"
"Hafiz Md. Hasan Babu","VLSI Circuits and Embedded Systems"
"Hafiz Md. Hasan Babu","Quantum Computing: A Pathway to Quantum Logic Design"
"Hafiz Md. Hasan Babu","Reversible and DNA Computing"
"Hafiz Md. Hasan Babu","VLSI Circuits and Embedded Systems"
"Hafiz Md. Hasan Babu","One Dream One Country: Digital Bangladesh"
"Kashob Kumar Roy, Md Hasibul Haque Moon, Md Mahmudur Rahman, Chowdhury Farhan Ahmed, Carson K. Leung","Mining Sequential Patterns in Uncertain Databases Using Hierarchical Index Structure"
"Shaily Kabir, Christian Wagner","A Bidirectional Subsethood Based Fuzzy Measure for Aggregation of Interval-Valued Data"
"Md Mofijul Islam, Sk Shariful Islam Arafat, Md Shakil Hossain, Md Mahmudur Rahman, Md Mahmudul Hasan, SM Al-Hossain Imam, Swakkhar Shatabda, Tamanna Islam Juthi","RAiTA: Recommending Accepted Answer Using Textual Metadata"
"Karishma Mohiuddin, Mirza Mohtashim Alam, Amit Kishor Das, Md. Tahsir Ahmed Munna, Shaikh Muhammad Allayear, Md. Haider Ali","Haar Cascade Classifier and Lucas–Kanade Optical Flow Based Realtime Object Tracker with Custom Masking Technique"
"Muhammad Ibrahim, Manzur Murshed","From Tf-Idf to Learning-to-Rank: An Overview"
"Shabbir Ahmed, Salil S. Kanhere","Message Dissemination in Vehicular Networks"
"Shabbir Ahmed, Farzana Mithun","A Tutorial on Random Number Generators in Discrete Event Simulators"
"Shabbir Ahmed, Salil S. Kanhere","UNSW Technical Report UNSW-CSE-TR-1009 (2010)"
"Md Mehedi Hasan, Muhammad Ibrahim, Md Sawkat Ali","Selecting Update Blocks of Convolutional Neural Networks using Genetic Algorithm in Transfer Learning"
