Title,Authors
"M.N.Y. Ali, J.K. Das,  S.M. Abdullah  Al  Mamun, M.E.H. Choudhury",Specific  Features of a Converter of Web Documents from Bengali to Universal Networking   Language
"M.N.Y. Ali, M. Ameer Ali,  A. M. Nurannabi, J.K. Das","Algorithm for Conversion of Bangla Sentence to Universal Networking Language,"
"M.N.Y. Ali, M. Z. H. Sarker, G.A. Farook, J.K. Das","Rules for Morphological Analysis of Bangla Verbs for Universal Networking Language,"
"M.N.Y. Ali, S. Al Noor, M. Z. Hossain, J.K. Das","Development of Analysis Rules for Bangla Root and Primary Suffix for Universal Networking Language,"
"M. Z. Hossain, M.N.Y. Ali, S. M. Allayear, J.K. Das","Development of Templates for Dictionary Entries of Bangla Roots and Primary Suffixes for Universal Networking Language,"
"M.N.Y. Ali, A. M. Nurannabi, M. Ameer Ali, J.K. Das","Conversion of Bangal Sentence for Universal Networking Language,"
"Aloke Kumar Saha, Jugal Krishna Das",Identification of Extreme Guilt and Grave Fault in Bengali Language using Machine Learning
"Aloke Kumar Saha, M.F. Mridha, Jahir Ibna Rafiq, Jugal K Das",Information Extraction from Natural Language Using Universal Networking Language
"Aloke Kumar Saha, M. F. Mridha, Jahir Ibna Rafiq and Jugal Krishna Das",Data Extraction from Natural Language Using Universal Networking Language
"Aloke Kumar Saha, M. F. Mridha, Jugal Krishna Das",Creating a  Bangla Enconversion  Module for Generating UNL Expression from Bangla  Bagdhara (Phrase and Idoms)
"Aloke Kumar Saha, Md. Firoz Mridha, Molla Rashied Hussein and Jugal Krishna Das",Design and Implementation of an efficient DeConverter for generating Bangla sentences from UNL Expression
"Muhammad F. Mridha, Aloke Kumar Saha and Jugal Krishna Das",New Approach of Solving Semantic Ambiguity Problem of Bangla Root Words Using Universal Networking Language (UNL)
"Aloke Kumar Saha, Muhammad F. Mridha and Jugal Krishna Das",Analysis of Bangla Root words for Universal Networking Language (UNL)
"Muhammad F. Mridha, Aloke Kumar Saha and Jugal Krishna Das",Solving Semantic Problem of Phrases in NLP Using Universal Networking Language (UNL)
"Aloke Kumar Saha, Muhammad F. Mridha, Shammi Akhtar and Jugal Krishna Das",Attribute Analysis for Bangla Words for Universal Networking Language (UNL)
"Aloke Kumar Saha, Muhammad F. Mridha and Jugal Krishna Das",Semantic Analysis of Bangla Language for Developing A UNL Deconverter
"Aloke Kumar Saha, Muhammad F. Mridha, Kamal Kanti Biswas, and Jugal Krishna Das",A New Approach of Developing a Deconverting rules for Bangla Language
"Aloke Kumar Saha, Muhammad F. Mridha, Manoj Banik, and Jugal Krishna Das",Specification of UNL Deconverter for Bangla Language
"Muhammad Firoz Mridha, Manoj Banik, Md. Nawab Yousuf Ali, Mohammad Nurul Huda, Chowdhury Mofizur Rahman, Jugal Krishna Das","Formation of Bangla Word Dictionary Compatible with UNL Structure,"
"Muhammad Firoz Mridha, Md. Zakir Hossain, Manoj Banik, Mohammad Nurul Huda, Chowdhury Mofizur Rahman, Jugal Krishna Das","Development of Grammatical Attributes for Bangla Root and Primary Suffix for Universal Networking Language,"
"Muhammad Firoz Mridha, Mohammad Nurul Huda, Chowdhury Mofizur Rahman, Jugal Krishna Das",Development of Morphological Rules for Bangla Root and Verbal Suffix for Universal Networking Language
"Nusrat Sultana, Rumana Yasmin, Bijon Mallik, Mohammad Shorif Uddin","ONUBAD: A comprehensive dataset for automated conversion of Bangla regional dialects into standard Bengali dialect,"
"Kanija Muntarina, Rafid Mostafiz, Sumaita Binte Shorif, Mohammad Shorif Uddin","Deep learning-based edge detection for random natural images,"
"Fahmida Khanom, Shuvo Biswas, Mohammad Shorif Uddin, Rafid Mostafiz","XEMLPD: an explainable ensemble machine learning approach for Parkinson disease diagnosis with optimized features,"
"Ohiduzzaman, Mahmudul Hasan, Shiming Zhang, Mohammad Nurul Huda, Mohammad Shorif Uddin","Spectral analysis of bone‑conducted speech using modified linear prediction,"
"Ohiduzzaman, Mahmudul Hasan, Shiming Zhang, Mohammad Nurul Huda, Mohammad Shorif Uddin","Ill-condition enhancement for BC speech using RMC method,"
"Shayla Sharmin, Mohammad Riadur Rashid, Tania Khatun, Md Zahid Hasan, Mohammad Shorif Uddin,  Marzia","A dataset of color fundus images for the detection and classification of eye diseases,"
"Md. Masum Billah, Azmery Sultana, Rakin Sad Aftab, Mir Maruf Ahmed, Mohammad Shorif Uddin","Leaf disease detection using convolutional neural networks: a proposed model using tomato plant leaves,"
"Shuvo Biswas, Rafid Mostafiz, Mohammad Shorif Uddin, Bikash Kumar Paul","XAI-FusionNet: Diabetic foot ulcer detection based on multi-scale feature fusion with explainable artificial intelligence,"
"Sk. Fahmida Islam, Nayan Chakrabarty, Mohammad Shorif Uddin","Citrus leaf disease detection through deep learning approach,"
"Md. Masudul Islam, Galib Muhammad Shahriar Himel, Mohammad Shorif Uddin, Md. Golam Moazzam","A visual dataset for recognition of rice varieties,"
"Mahbuba Begum, Sumaita Binte Shorif, Mohammad Shorif Uddin, Jannatul Ferdush, Tony Jan, Alistair Barros, Md Whaiduzzaman","Image Watermarking Using Discrete Wavelet Transform and Singular Value Decomposition for Enhanced Imperceptibility and Robustness,"
"Tania Khatun, Md. Asraful Sharker Nirob, Prayma Bishshash, Morium Akter, Mohammad Shorif Uddin","A comprehensive dragon fruit image dataset for detecting the maturity and quality grading of dragon fruit,"
Muhammad Kamal Hossen and Mohammad Shorif Uddin,"Attention monitoring of students during online classes using XGBoost classifier,"
