Author Name,Author ID
,CU_
19.	Sadia Mahjabin,CU_19.	Sadia_Mahjabin
2.	Rahul Mohalder,CU_2.	Rahul_Mohalder
2003.,CU_2003.
2004.,CU_2004.
2006.,CU_2006.
2007.,CU_2007.
2008.,CU_2008.
2009.,CU_2009.
2010.,CU_2010.
2011.,CU_2011.
2012.,CU_2012.
2013.,CU_2013.
2014.,CU_2014.
23.	Md. Atikur Rahman Sabuj,CU_23.	Md._Atikur_Rahman_Sabuj
34.	Kamrul Hasan Talukder and Koichi Harada,CU_34.	Kamrul_Hasan_Talukder_and_Koichi_Harada
38.	Kamrul Hasan Talukder,CU_38.	Kamrul_Hasan_Talukder
41.	Kamrul Hasan Talukder and Koichi Harada,CU_41.	Kamrul_Hasan_Talukder_and_Koichi_Harada
45.	Kamrul Hasan Talukder and Koichi Harada,CU_45.	Kamrul_Hasan_Talukder_and_Koichi_Harada
46.	Kamrul Hasan Talukder,CU_46.	Kamrul_Hasan_Talukder
47.	Kamrul Hasan Talukder and Koichi Harada,CU_47.	Kamrul_Hasan_Talukder_and_Koichi_Harada
52.	Kamrul Hasan Talukder,CU_52.	Kamrul_Hasan_Talukder
53.	Ahmed Shah Mashiyat,CU_53.	Ahmed_Shah_Mashiyat
54.	Manishankar Mondal,CU_54.	Manishankar_Mondal
55.	Nilimesh Halder,CU_55.	Nilimesh_Halder
56.	Ahmed Shah Mashiyat,CU_56.	Ahmed_Shah_Mashiyat
57.	Nilimesh Halder,CU_57.	Nilimesh_Halder
59.	Md. Khademul Islam Molla,CU_59.	Md._Khademul_Islam_Molla
60.	Shamim Hasnat Ripon,CU_60.	Shamim_Hasnat_Ripon
61.	Md. Khademul Islam Molla,CU_61.	Md._Khademul_Islam_Molla
63.	Kamrul Hasan Talukder,CU_63.	Kamrul_Hasan_Talukder
64.	Kamrul Hasan Talukder,CU_64.	Kamrul_Hasan_Talukder
65.	Kamrul Hasan Talukder,CU_65.	Kamrul_Hasan_Talukder
66.	Kamrul Hasan Talukder,CU_66.	Kamrul_Hasan_Talukder
67.	Kamrul Hasan Talukder and Md. Khademul Islam Molla,CU_67.	Kamrul_Hasan_Talukder_and_Md._Khademul_Islam_Molla
68.	Kamrul Hasan Talukder and Md. Khademul Islam Molla,CU_68.	Kamrul_Hasan_Talukder_and_Md._Khademul_Islam_Molla
69.	Kamrul Hasan Talukder and Md. Khademul Islam Molla,CU_69.	Kamrul_Hasan_Talukder_and_Md._Khademul_Islam_Molla
7.	Prince Mahmud,CU_7.	Prince_Mahmud
70.	Kamrul Hasan Talukder and Md. Khademul Islam Molla,CU_70.	Kamrul_Hasan_Talukder_and_Md._Khademul_Islam_Molla
