Author Name,Author ID
,AIUB_
& jubayer ahamed,AIUB_&_jubayer_ahamed
& molla,AIUB_&_molla
& parvin,AIUB_&_parvin
& soumen basu,AIUB_&_soumen_basu
& uddin,AIUB_&_uddin
) shahadat hossain,AIUB_)_shahadat_hossain
*,AIUB_*
...sala uddin pathan,AIUB_...sala_uddin_pathan
1 a. k. m. m. hossain,AIUB_1_a._k._m._m._hossain
1 h. ara,AIUB_1_h._ara
1 k. m. e. hasan,AIUB_1_k._m._e._hasan
1 m. k. biswas,AIUB_1_m._k._biswas
1 s. m. sharafuddin,AIUB_1_s._m._sharafuddin
1-15,AIUB_1-15
12) abhijit bhowmik,AIUB_12)_abhijit_bhowmik
18) tania rahman,AIUB_18)_tania_rahman
1a) s. b. faruque,AIUB_1a)_s._b._faruque
2 y. haque1,AIUB_2_y._haque1
2. ahsanul akib,AIUB_2._ahsanul_akib
2. oa beg,AIUB_2._oa_beg
2. sohrab khan,AIUB_2._sohrab_khan
21. m. f. mridha,AIUB_21._m._f._mridha
24) bijoya bose khan,AIUB_24)_bijoya_bose_khan
26) abhijit bhowmik,AIUB_26)_abhijit_bhowmik
3,AIUB_3
4) d karmaker,AIUB_4)_d_karmaker
4. amena ferdosui,AIUB_4._amena_ferdosui
4. m sohail,AIUB_4._m_sohail
5) m a imran,AIUB_5)_m_a_imran
5. ayesha,AIUB_5._ayesha
5. f tuz zohra,AIUB_5._f_tuz_zohra
6) m islam,AIUB_6)_m_islam
7) a bhowmik,AIUB_7)_a_bhowmik
7. ft zohra,AIUB_7._ft_zohra
8. ft tuz zohra,AIUB_8._ft_tuz_zohra
8. hosen,AIUB_8._hosen
9. mj uddin,AIUB_9._mj_uddin
a bhowmik and d karmaker,AIUB_a_bhowmik_and_d_karmaker
a dimas yunianto putro,AIUB_a_dimas_yunianto_putro
a duong tung pham,AIUB_a_duong_tung_pham
a jeonggeun jo,AIUB_a_jeonggeun_jo
a jinju song,AIUB_a_jinju_song
a joseph paul baboo,AIUB_a_joseph_paul_baboo
a jun lee,AIUB_a_jun_lee
a k m atique ullah,AIUB_a_k_m_atique_ullah
a k m m hossain1,AIUB_a_k_m_m_hossain1
a kadir.,AIUB_a_kadir.
a rahman,AIUB_a_rahman
a seokhun kim,AIUB_a_seokhun_kim
a shovan kumar kundu,AIUB_a_shovan_kumar_kundu
a sungjin kim,AIUB_a_sungjin_kim
a suresh kumar singh,AIUB_a_suresh_kumar_singh
a t m k jamil,AIUB_a_t_m_k_jamil
a vinod mathewa and jaekook kim orcid logo *a,AIUB_a_vinod_mathewa_and_jaekook_kim_orcid_logo_*a
a yang-kook sunb and jaekook kim,AIUB_a_yang-kook_sunb_and_jaekook_kim
a.,AIUB_a.
a. a. -m. bulbul,AIUB_a._a._-m._bulbul
a. a. mamun,AIUB_a._a._mamun
a. a. nahid,AIUB_a._a._nahid
a. abdulkadir1,AIUB_a._abdulkadir1
a. aran,AIUB_a._aran
a. f. m. saifuddin saif,AIUB_a._f._m._saifuddin_saif
a. g. m zaman,AIUB_a._g._m_zaman
a. g. m. zaman,AIUB_a._g._m._zaman
a. hussain,AIUB_a._hussain
a. islam,AIUB_a._islam
a. j. keya,AIUB_a._j._keya
a. k. m. m. hossain,AIUB_a._k._m._m._hossain
a. k. saha and d. che,AIUB_a._k._saha_and_d._che
a. kaiyum,AIUB_a._kaiyum
a. khair,AIUB_a._khair
a. kumar,AIUB_a._kumar
a. m. abd el-aty,AIUB_a._m._abd_el-aty
a. m. anisul huq,AIUB_a._m._anisul_huq
a. mannan,AIUB_a._mannan
a. mannan n. a. chowdhury,AIUB_a._mannan_n._a._chowdhury
a. onik,AIUB_a._onik
a. q. ohi,AIUB_a._q._ohi
a. r. m. fahim,AIUB_a._r._m._fahim
a. s. m. a. mamun,AIUB_a._s._m._a._mamun
a. s. m. morshedul,AIUB_a._s._m._morshedul
a. t. m. k. jamil,AIUB_a._t._m._k._jamil
a. t. m. kaosar jamil,AIUB_a._t._m._kaosar_jamil
a. tanzim,AIUB_a._tanzim
a.a. mamun,AIUB_a.a._mamun
a.f.m.s.; hanif,AIUB_a.f.m.s.;_hanif
a.g.m zaman,AIUB_a.g.m_zaman
a.g.m. zaman,AIUB_a.g.m._zaman
a.i.m ismail,AIUB_a.i.m_ismail
a.j.s. ahammad,AIUB_a.j.s._ahammad
a.q.m.,AIUB_a.q.m.
a.r.m.,AIUB_a.r.m.
a.z.m. ehtesham chowdhury,AIUB_a.z.m._ehtesham_chowdhury
aaa rupai,AIUB_aaa_rupai
abdul ahad,AIUB_abdul_ahad
abdul mannan,AIUB_abdul_mannan
abdul mannan and a a mamun,AIUB_abdul_mannan_and_a_a_mamun
abdul mannan and abdullah al mamun,AIUB_abdul_mannan_and_abdullah_al_mamun
abdullah al hussain1,AIUB_abdullah_al_hussain1
abdullah al maruf,AIUB_abdullah_al_maruf
abdullah al-ragib,AIUB_abdullah_al-ragib
abdullah alshehab4,AIUB_abdullah_alshehab4
abdullahi lawal,AIUB_abdullahi_lawal
abdulrahman alkandari3,AIUB_abdulrahman_alkandari3
abdur rahman,AIUB_abdur_rahman
abdus samad,AIUB_abdus_samad
abdussalam balarabe suleiman,AIUB_abdussalam_balarabe_suleiman
abeda s touchy,AIUB_abeda_s_touchy
abeda s. touchy,AIUB_abeda_s._touchy
abeda sultana touchy,AIUB_abeda_sultana_touchy
abhijit bhowmik,AIUB_abhijit_bhowmik
abhijit pathak,AIUB_abhijit_pathak
abhishek bagchi,AIUB_abhishek_bagchi
abrar islam and afroza nahar.,AIUB_abrar_islam_and_afroza_nahar.
abu bakar siddique,AIUB_abu_bakar_siddique
abu jafar md. muzahid,AIUB_abu_jafar_md._muzahid
abu q. ohi,AIUB_abu_q._ohi
abu quwsar,AIUB_abu_quwsar
abu quwsar ohi,AIUB_abu_quwsar_ohi
abu sufian,AIUB_abu_sufian
abubakr m idris,AIUB_abubakr_m_idris
abubakr m. idris,AIUB_abubakr_m._idris
abul khair,AIUB_abul_khair
ac bhowmick,AIUB_ac_bhowmick
adit ishraq,AIUB_adit_ishraq
aditya kumar saha,AIUB_aditya_kumar_saha
adnan sami,AIUB_adnan_sami
adnan sami and md. nazmul hossain,AIUB_adnan_sami_and_md._nazmul_hossain
adnan sayed,AIUB_adnan_sayed
afroza nahar,AIUB_afroza_nahar
afroza yasmin,AIUB_afroza_yasmin
afroza; bin-faisal,AIUB_afroza;_bin-faisal
afsah sharmin,AIUB_afsah_sharmin
afsara tasnim,AIUB_afsara_tasnim
agnieszka jastrzębska,AIUB_agnieszka_jastrzębska
ahamd i. m. ismail,AIUB_ahamd_i._m._ismail
ahmed,AIUB_ahmed
ahmed afif monrat,AIUB_ahmed_afif_monrat
ahmed shahriar sakib,AIUB_ahmed_shahriar_sakib
ahmed sikder,AIUB_ahmed_sikder
ai md. ismail,AIUB_ai_md._ismail
aim ismail,AIUB_aim_ismail
aim ismail.,AIUB_aim_ismail.
aiman lameesa,AIUB_aiman_lameesa
aishwarjyo roy,AIUB_aishwarjyo_roy
ajlina karamehic-muratovic,AIUB_ajlina_karamehic-muratovic
ajmayeen adil,AIUB_ajmayeen_adil
akash mamon sarkar,AIUB_akash_mamon_sarkar
akibur rahman,AIUB_akibur_rahman
akinul islam jony,AIUB_akinul_islam_jony
aklima a. lima,AIUB_aklima_a._lima
aklima akter,AIUB_aklima_akter
aklima akter lima,AIUB_aklima_akter_lima
akm lutfor rahman,AIUB_akm_lutfor_rahman
akm moinul haque meaze1 and humayra ferdous,AIUB_akm_moinul_haque_meaze1_and_humayra_ferdous
akml rahman,AIUB_akml_rahman
akramkhan rony,AIUB_akramkhan_rony
al bakin tushar,AIUB_al_bakin_tushar
al sohan,AIUB_al_sohan
alessandra donofrio,AIUB_alessandra_donofrio
alfarhood s,AIUB_alfarhood_s
aloke kumar saha,AIUB_aloke_kumar_saha
amel ksibi,AIUB_amel_ksibi
amena ferdosui,AIUB_amena_ferdosui
amena ferdousi,AIUB_amena_ferdousi
ami akter1,AIUB_ami_akter1
aminun nahar jhumur,AIUB_aminun_nahar_jhumur
amit banerjee,AIUB_amit_banerjee
and a. a. mamun,AIUB_and_a._a._mamun
and a.j.s. ahammad,AIUB_and_a.j.s._ahammad
and afroza nahar,AIUB_and_afroza_nahar
and ahmed tanvir,AIUB_and_ahmed_tanvir
and aloke kumar saha,AIUB_and_aloke_kumar_saha
and anwar hussen wadud,AIUB_and_anwar_hussen_wadud
and debajyoti karmaker,AIUB_and_debajyoti_karmaker
and dunren che,AIUB_and_dunren_che
and dunren che.,AIUB_and_dunren_che.
