UID1,UID2
393,5093
3365,3434
6785,7471
7361,8472
1536,3172
8050,8140
4512,5769
3539,5867
15,2649
7293,7601
3331,3992
375,560
5768,6032
7971,8576
5823,6869
1642,779
1668,5574
1738,5458
1169,947
1331,2366
233,3262
4264,5790
3582,7335
3582,555
1785,4538
3777,5423
1625,3331
1840,358
2367,4344
2564,4643
1592,530
6794,8365
8183,8672
7540,8559
7050,8507
8783,8838
1777,5790
8064,8095
3748,6947
1315,975
6744,8818
1277,6285
4064,6578
3253,3668
7423,8199
4265,4382
1693,3630
4482,5867
4047,6237
4435,5693
2355,6943
7777,8364
7429,8803
4951,6859
1383,4032
6728,7617
267,6553
1330,4663
7369,7562
4663,868
5878,6250
4206,5434
7285,7459
2850,3903
7123,7845
282,3709
7705,7707
2448,3989
1846,333
3700,3820
400,6299
2698,5289
1945,4847
5349,6238
4549,5246
7709,7715
2271,3328
3459,630
2805,4220
2386,944
4936,698
1963,3408
4265,6878
1703,8250
2941,3250
523,5728
3065,5179
1439,2807
1586,3287
1390,5688
1949,3369
1719,2687
1188,6307
3483,4717
3553,526
7939,8322
3575,654
4875,530
3314,5163
7593,7728
350,4611
115,3806
7315,7328
6728,6998
3640,4379
2292,3286
2380,5324
541,617
1785,6053
5139,5994
1514,2982
7770,8833
4467,4622
7361,8834
4134,5382
7483,8859
2668,3286
3815,5803
1438,73
5867,85
7550,8611
3536,5060
854,989
7503,7588
2807,3202
8583,8652
4216,628
7428,8369
1041,4615
1186,2431
2525,4932
3891,4481
4155,4935
1901,2862
2631,4533
2523,4001
1555,622
1315,3234
7956,8061
1192,4954
3318,4115
3456,3575
3498,3820
1570,5775
7027,7628
8000,8067
5758,6879
7894,8364
4070,4535
2775,6605
3791,4104
3567,3880
1491,5867
2919,4643
7025,7641
6796,8546
7820,7915
4853,6115
3307,3399
1641,5387
2448,4720
5211,5576
7758,8832
7369,8313
8047,8343
1817,914
7316,7836
2149,6218
7894,8363
7967,8623
5967,6004
6509,8290
2264,3156
276,4011
3670,5423
654,8281
1903,6844
3285,3360
5510,989
2862,3865
1857,4971
1967,6085
8014,8015
1701,989
1545,4005
151,6031
3382,5877
2476,3262
7374,7567
2179,5385
4413,872
4354,4379
7519,8184
7280,8025
2644,8290
7998,8470
5867,6239
2807,6411
7460,7707
7726,7827
4128,8290
1365,975
1780,2135
6988,7887
7708,8443
1846,5581
1808,6887
7377,8689
3211,989
5442,6293
2122,406
1693,4008
3162,6272
4316,5323
4123,4124
1656,245
2476,6249
2472,5674
253,4344
7770,8825
7087,8445
7099,8673
3981,4988
1840,8288
545,5576
455,989
1666,4383
1239,6639
7259,8263
2860,4095
1675,2980
7442,7940
7611,7627
5122,5404
4510,864
7253,7483
6137,946
3788,6129
5163,5425
7622,8143
3268,6600
2825,2883
3074,3405
4417,6293
2407,4659
4160,750
1001,533
1785,3624
6699,6704
7709,8317
4033,637
4416,6129
2708,6158
7383,8226
7475,8834
3795,4169
502,5618
7618,7650
1028,4057
5038,5996
2530,4950
1983,5073
2492,6520
5029,5382
7771,7871
1694,2335
7459,7713
2204,2774
297,5012
1535,2448
2536,4064
3777,4048
7841,8079
1383,3860
5705,6129
4013,5756
512,5674
6766,6768
5898,989
2551,2835
166,2868
3303,3338
3178,6269
2892,3668
7140,7471
3754,4013
5513,861
1672,4933
8028,8694
1555,3702
5428,616
8102,8314
445,5897
3389,4212
2124,3765
1998,3839
2693,5331
8432,8830
3504,3630
7380,7575
2129,4212
2287,2439
1785,2733
3741,5035
7482,8804
3497,6604
2209,5246
2189,948
4517,709
3326,4204
1564,2408
1900,2751
7770,8844
8448,8583
2795,6532
7089,8798
1963,697
7850,8143
5094,989
8649,8857
6981,7475
277,3630
7509,8432
6312,808
2859,5721
5613,6954
2762,948
2631,6293
5103,6915
1028,933
3291,6296
2660,3587
1439,5862
2208,4311
1841,6605
8338,8677
2357,2708
2224,422
3348,6296
3046,5182
129,5235
2367,2927
4132,6178
1644,2677
2703,5242
2486,6869
5208,6117
3910,5144
3558,4526
3989,6960
7279,7366
492,5714
1315,5246
2187,2834
4245,463
4620,779
1749,2580
4214,638
6991,8846
1460,2294
5409,5720
7165,8057
1263,346
2153,555
2436,5747
5776,6244
7545,7943
7380,7518
6701,7765
3399,3591
7069,7895
2149,5998
1182,16
1343,2234
6549,872
6701,7982
6883,8283
1330,4862
2442,3330
7733,7758
7509,8411
8164,8361
7615,7753
7750,8472
2448,6938
7364,8405
7471,8821
7681,8012
3848,4052
3992,6254
2534,4200
3700,3901
1280,4723
3884,4265
5103,6904
2559,5446
2798,6031
7776,7850
7387,8016
1785,2126
3879,4638
7571,8195
2676,779
5226,829
1438,4618
4334,5377
328,4497
4884,5261
3670,4048
3722,7066
1000,4196
2885,4147
496,6611
7017,8210
2773,3661
1968,358
531,532
1967,750
1311,989
2130,5787
5053,5771
7773,7804
7827,8540
8452,8840
2474,4200
4467,6497
3278,5688
180,5233
3145,4013
4998,762
8214,8543
7395,8692
1434,5208
3640,5478
1818,3229
252,4548
3708,5121
4013,6257
2135,6127
7442,8016
350,6863
6495,816
7165,8630
1810,2448
6770,6815
6700,8256
2319,4407
7952,8032
7464,8110
2635,8290
2386,2708
1689,4699
4955,6448
1041,2321
2488,878
2773,2944
3331,4333
7593,8050
6702,7503
6755,8358
3725,4722
1293,5093
1865,2189
6757,7952
3864,4036
2230,474
7518,7963
2234,5802
1445,6588
3815,6413
2816,3003
7289,8587
8073,8098
1837,6280
1445,4860
6155,6590
2143,6679
1182,3076
1653,868
5766,988
3282,8282
2316,5988
2154,501
4070,5867
4013,4533
8304,8521
7845,8667
4369,907
7703,8446
1438,6120
3922,6960
4428,515
2785,2912
7328,8125
150,5310
7421,8147
6508,969
3044,5208
6913,8281
7442,8784
1820,5246
6914,695
6780,7044
553,5716
7681,8505
2591,2609
4333,4913
4512,8260
5878,6390
7161,8637
267,5029
2180,485
3553,6188
4013,6318
1188,4855
1365,4922
7850,8527
266,4695
3299,4185
7520,7957
5221,6584
139,3103
1636,3459
1280,1547
1860,6280
3562,720
1239,2273
4333,5427
2399,6643
5199,5376
2893,6895
1042,6394
1494,6240
3456,6919
3269,985
16,5393
8472,8637
4009,879
243,3086
2653,3063
6724,8418
4064,6930
3170,3558
2154,4696
2677,2679
1761,4467
8162,8385
8027,8858
1374,2327
3764,5455
1403,5867
210,4671
2708,6906
2865,4883
3157,488
6986,7854
426,989
7546,7895
7255,7584
8559,8840
7176,8280
3705,3791
2807,2952
1785,4044
7044,7681
3958,5103
163,182
5249,6896
7153,7867
7510,7676
7477,8459
7301,7758
6976,7612
6772,7540
1508,363
4044,4145
7844,8434
1004,999
2559,3328
7706,8318
1162,3055
2363,2858
1208,3839
7621,7970
3678,4133
2992,406
7758,8189
7406,7663
7253,7493
4155,6491
1952,266
7309,8109
159,879
3186,3871
23,5699
4913,5005
1699,6952
2433,4973
2889,6945
2367,4135
3331,4106
7012,7398
1770,4855
6989,7940
277,3128
7972,8084
6264,8279
6695,6704
1690,784
238,3686
2702,6577
8017,8662
3702,622
3291,6681
480,6151
3305,6955
3475,4164
2926,3835
1390,3275
1517,3314
7601,7971
3348,6681
2889,887
1552,4956
2399,5438
3054,6148
3549,3781
3470,5682
2697,6135
6780,7914
6609,750
5368,6122
4055,4520
3739,6929
1242,6394
4537,699
3559,3816
3806,656
4510,6263
7745,8067
7666,7690
1743,4195
1187,948
7463,8521
7610,7942
7963,8842
3059,3093
2290,5294
7656,7982
1697,811
7774,8059
3012,5372
3519,6194
211,802
7831,7921
7987,8771
6210,6267
8023,8045
2367,4561
3349,834
7567,8456
6249,637
3463,3636
4544,6000
4048,4441
119,2881
4872,5289
7494,7907
7152,7792
1040,6603
5637,6203
7492,7497
3657,4277
1785,4100
