UID1,UID2,Count
7397,7616,1
7397,7892,1
7397,8175,1
7397,8684,1
7616,7892,1
7616,8175,1
7616,8684,1
7892,8175,1
8175,8684,1
7080,7748,1
7080,7904,1
7080,8649,1
7080,8857,1
7748,7904,1
7748,8649,1
7748,8857,1
7904,8649,1
7904,8857,1
8649,8857,1
8343,8603,1
7758,7898,1
7758,8054,1
7758,8071,1
7898,8054,1
7898,8071,1
8054,8071,1
7621,7642,1
7621,7652,1
7621,7656,1
7621,7970,1
7621,7982,1
7642,7656,1
7642,7970,1
7652,7656,1
7652,7970,1
7656,7970,1
7656,7982,1
7970,7982,1
7064,8010,1
7064,8333,1
8010,8333,1
7163,7745,1
7163,8067,1
7350,7745,1
7350,8067,1
7745,8067,1
7700,8811,1
7302,7381,1
7302,7446,1
7302,8383,1
7302,8476,1
7381,7446,1
7381,7733,1
7381,8383,1
7381,8476,1
7446,7471,1
7446,7733,1
7446,7758,1
7446,7895,1
7446,8383,1
7446,8476,1
7471,8383,1
7471,8476,1
7733,8383,1
7733,8476,1
7758,8383,1
7758,8476,1
7895,8383,1
7895,8476,1
8383,8476,1
6795,8359,1
7115,7892,1
7115,7956,1
7115,8061,1
7115,8148,1
7115,8154,1
7892,7956,1
7892,8061,1
7892,8148,1
7892,8154,1
7956,8061,1
7956,8148,1
7956,8154,1
8061,8148,1
8061,8154,1
8148,8154,1
7290,7385,1
7290,7486,1
7290,7878,1
7290,8781,1
7385,7486,1
7385,7878,1
7385,8781,1
7486,7878,1
7878,8781,1
7677,7678,1
7677,7892,1
7677,8415,1
7677,8439,1
7678,7892,1
7678,8415,1
7678,8439,1
7892,8415,1
7892,8439,1
8415,8439,1
7254,7909,1
7254,7934,1
7254,8335,1
7254,8497,1
7909,7934,1
7909,8335,1
7909,8497,1
7934,8335,1
7934,8497,1
8335,8497,1
7282,7375,1
7282,7892,1
7282,7992,1
7375,7892,1
7375,7992,1
7892,7992,1
6702,7256,1
6702,7364,1
6702,7503,1
6702,7588,1
6702,8395,1
6702,8398,1
6702,8405,1
7256,7364,1
7256,7503,1
7256,7588,1
7256,8395,1
7256,8398,1
7256,8405,1
7364,7503,1
7364,7588,1
7364,8395,1
7364,8398,1
7364,8405,1
7503,7588,1
7503,8395,1
7503,8398,1
7503,8405,1
7588,8395,1
7588,8398,1
7588,8405,1
8395,8398,1
8395,8405,1
8398,8405,1
7049,7337,1
7049,7769,1
7049,7816,1
7049,8671,1
7337,7769,1
7337,7816,1
7337,8671,1
7769,7816,1
7769,8671,1
7816,8671,1
7293,7601,1
7293,7971,1
7293,8169,1
7293,8502,1
7293,8576,1
7293,8850,1
7601,7754,1
7601,7844,1
7601,7971,1
7601,8102,1
7601,8169,1
7601,8409,1
7601,8434,1
7601,8502,1
7601,8576,1
7601,8850,1
7754,7971,1
7754,8169,1
7754,8502,1
7754,8576,1
7754,8850,1
7844,7971,1
7844,8169,1
7844,8502,1
7844,8576,1
7844,8850,1
7971,8102,1
7971,8169,1
7971,8409,1
7971,8434,1
7971,8502,1
7971,8576,1
7971,8850,1
8102,8169,1
8102,8502,1
8102,8576,1
8102,8850,1
8169,8409,1
8169,8434,1
8169,8502,1
8169,8576,1
8169,8850,1
8409,8502,1
8409,8576,1
8409,8850,1
8434,8502,1
8434,8576,1
8434,8850,1
8502,8576,1
8502,8850,1
8576,8850,1
7293,8311,1
7293,8314,1
7754,8311,1
7754,8314,1
7844,8311,1
7844,8314,1
8102,8311,1
8102,8314,1
8311,8314,1
8311,8409,1
8311,8434,1
8314,8409,1
8314,8434,1
7321,7965,1
