UID1,UID2,Title
7397,7616,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
7397,7892,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
7397,8175,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
7397,8684,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
7616,7892,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
7616,8175,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
7616,8684,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
7892,8175,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
7892,8684,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
8175,8684,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
3399,7151,linear-time rectilinear drawings of subdivisions of triconnected cubic planar graphs with orthogonally convex faces
3399,7927,linear-time rectilinear drawings of subdivisions of triconnected cubic planar graphs with orthogonally convex faces
7151,7927,linear-time rectilinear drawings of subdivisions of triconnected cubic planar graphs with orthogonally convex faces
7251,7855,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7251,7913,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7251,8021,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7251,8623,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7855,7913,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7855,8021,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7855,8623,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7913,8021,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7913,8623,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
8021,8623,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
7080,7748,a comparative review on ddos attack detection using machine learning techniques
7080,7904,a comparative review on ddos attack detection using machine learning techniques
7080,8649,a comparative review on ddos attack detection using machine learning techniques
7080,8857,a comparative review on ddos attack detection using machine learning techniques
7748,7904,a comparative review on ddos attack detection using machine learning techniques
7748,8649,a comparative review on ddos attack detection using machine learning techniques
7748,8857,a comparative review on ddos attack detection using machine learning techniques
7904,8649,a comparative review on ddos attack detection using machine learning techniques
7904,8857,a comparative review on ddos attack detection using machine learning techniques
8649,8857,a comparative review on ddos attack detection using machine learning techniques
8343,8603,deep learning based cyberbullying detection in bangla language
7758,7898,"perovskite materials in x-ray detection and imaging: recent progress, challenges, and future prospects"
7758,8054,"perovskite materials in x-ray detection and imaging: recent progress, challenges, and future prospects"
