Authors,Title
"1.	Zarif Ikram, Dianbo Liu, M Saifur Rahman, Antibody sequence optimization with gradient-guided discrete walk-jump sampling",Generative and Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR)
"2.	Abrar Rahman Abir, Md Toki Tahmid, M Saifur Rahman",Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model
"3.	Abrar Rahman Abir, Rafiqul Islam Rayan, Md Toki Tahmid, M Saifur Rahman",Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model
"4.	Abrar Rahman Abir, Md Toki Tahmid, M Saifur Rahman",LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning
"5.	Rabina Awal, Mahmuda Naznin, Tanvir R. Faisal",Machine Learning Based Finite Element Analysis (FEA) Surrogate for Hip Fracture Risk Assessment and Visualization
,6.	Saha Gourab and Sawmya Shashata and Saha Arpita and Akil Md Ajwad and Tasnim Sadia and Rahman Md Saifur and Rahman M Sohel
"7.	Zarif Ikram, Dianbo Liu, M Saifur Rahman",Gradient-guided discrete walk-jump sampling for biological sequence generation
"8.	Sheikh Azizul Hakim, Md Rownok Zahan Ratul, Md Shamsuzzoha Bayzid",wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs
,9.	Mursalin Habib* and Kowshic Roy* and Saem Hasan* and Atif Hasan Rahman and Md Shamsuzzoha Bayzid
"10.	Ramisa Alam, Sazan Mahbub, Md Shamsuzzoha Bayzid",Pair-EGRET: enhancing the prediction of protein–protein interaction sites through graph attention networks and protein language models
11.	Sadia Sharmin,Evolution of user behaviour on social media during 2018 road safety movement in Bangladesh
"12.	Farhin Faiza Neha, Yuan-Cheng Lai, Md. Shohrab Hossain and Ying-Dar Lin",Prioritization and offloading in P4 switch integrated with NFV
"13.	Ratul Sikder, Md. Shohrab Hossain, Mohammed J.F. Alenazi and Mohammed Atiquzzaman",A Relaxed and Faster Switch Migration Framework to Balance the Load of Distributed Control Plane in Software Defined Networks
"14.	Asad Ali, Minhajul Islam, Tushin Mallick, Mohammad Sakibul Islam, Sadman Sakib, Md. Shohrab Hossain and Ying-Dar Lin",3GPP Edge-Fog Federation: Transparent 3rd-Party Authentication and Application Mobility
"15.	Mohammad Shamim Ahsan, Md. Shariful Islam, Md. Shohrab Hossain, Anupam Das",Detecting Smart Home Device Activities Using Packet-Level Signatures from Encrypted Traffic
"16.	Md Shohel Khan, Rubaiyat Sha Fardin Siam, Muhammad Abdullah Adnan",A Framework for Checking and Mitigating the Security Vulnerabilities of Cloud Service RESTful API
17.	Islam Rubyeat and Rahman Atif,An Alignment-Free Method for Detection of Missing Regions for Phylogenetic Analysis
"18.	Roy Nilanjan, Kabir Acramul Haque, Zahan Nourin, Mouna Shahba Tasmiya, Chakravarty Sakshar, Rahman Atif Hasan, Md Shamsuzzoha Bayzid",Genome wide association studies on seven yield-related traits of 183 rice varieties in Bangladesh
19.	Saha Shoumik and Afroz Sadia and Rahman Atif Hasan,MAlign: Explainable static raw-byte based malware family classification using sequence alignment
,20.	Yafi Mashrur Ahmed and Hisham Md Hasibul Husain and Grisanti Francisco and Martin James F and Rahman Atif and Samee Md Abul Hassan
,21.	Meher Afroz and Muntaka Ibnath and Ashikur Rahman and Jakia Sultana and Raqeebir Rab
"22.	Sheikh Azizul Hakim, Rahnuma Islam Nishat, Md Saidur Rahman",Approximation algorithms for maximum weighted internal spanning trees in regular graphs and subdivisions of graphs
"23.	Md. Masum Mushfiq, Tarik Reza Toha, Saiful Islam Salim, Aaiyeesha Mostak, Masfiqur Rahaman, Najla Abdulrahman Al-Nabhan, Arif Mohaimin Sadri, and A. B. M. Alim Al Islam",“To Lane or Not to Lane?”—Comparing On-Road Experiences in Developing and Developed Countries Using a New Simulator RoadBird
24.	Toufikuzzaman Md and Hassan Samee Md Abul and Sohel Rahman M,CRISPR-DIPOFF: an interpretable deep learning approach for CRISPR Cas-9 off-target prediction
"25.	Benzir Md Ahmed, Mohammed Eunus Ali, Mohammad Mehedy Masud, Mohammed Raihan Azad, and Mahmuda Naznin",After-Meal Blood Glucose Level Prediction for Type-2 Diabetic Patients
"26.	Wasifur Rahman, Abdelrahman Abdelkader, Sangwu Lee, Phillip Yang, Md Saiful Islam, Tariq Adnan, Masum Hasan, Ellen Wagner, Sooyong Park, E. Ray Dorsey, Catherine Schwartz, Karen Jaffe, Ehsan Hoque",A User-Centered Framework to Empower People with Parkinson's Disease
"27.	Sheikh Hasib Ahmed, Dibyendu Brinto Bose, Rafi Khandoker, M Saifur Rahman",StackDPP: a stacking ensemble based DNA-binding protein prediction model
"28.	Israt Jahan Mouri, Muhammad Ridowan, Muhammad Abdullah Adnan",Data Poisoning Attacks and Mitigation Strategies on Federated Support Vector Machines
"29.	Benzir Md Ahmed, Mohammed Eunus Ali, Mohammad Mehedy Masud, Mahmuda Naznin",Recent Trends and Techniques of Blood Glucose Level Prediction for Diabetes Control
"30.	Jamalia Sultana, Mahmuda Naznin, Tanvir Md. Faisal",SSDL–An efficient automated semi-supervised deep learning approach for patient-specific 3D reconstruction of proximal femur from QCT images
"31.	Md Ehtesham-Ul-Haque, Jacob D’Rozario , Rudaiba Adnin , Farhan Tanvir Utshaw, Fabiha Tasneem, Israt Jahan Shefa, A.B.M. Alim Al Islam",EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations
"32.	Farhin Faiza Neha, Yuan-Cheng Lai, Md. Shohrab Hossain and Ying-Dar Lin",Offloading in P4 switch Integrated with multiple Virtual Network Function Servers
"33.	Md. Ruhul Amin and Md. Shohrab Hossain, Mohammed Atiquzzaman",Performance Analysis of Distributed Coordination Function with Early Collision Detection in In-band Full-duplex Wireless Networks
"34.	Md Saiful Islam, Wasifur Rahman, Abdelrahman Abdelkader, Sangwu Lee, Phillip T. Yang, Jennifer Lynn Purks, Jamie Lynn Adams, Ruth B. Schneider, Earl Ray Dorsey, Ehsan Hoque",Using AI to measure Parkinson’s disease severity at home
"35.	Wasifur Rahman, Masum Hasan, Md Saiful Islam, Titilayo Olubajo, Jeet Thaker, Abdel-Rahman Abdelkader, Phillip Yang, Henry Paulson, Gulin Oz, Alexandra Durr, Thomas Klockgether, Tetsuo Ashizawa, Readisca Investigators, Ehsan Hoque",Auto-Gait: Automatic Ataxia Risk Assessment with Computer Vision from Gait Task Videos
"36.	Md Saiful Islam, Adiba Mahbub Proma, Caleb Wohn, Karen Berger, Serena Uong, Varun Kumar, Katrina Smith Korfmacher, Ehsan Hoque",SEER: Sustainable E-commerce with Environmental-impact Rating
"37.	Ahmmed S, Mondal MRH, Mia MR, Adibuzzaman M, Hoque ASML, Ahamed SI",A novel approach for standardizing clinical laboratory categorical test results using machine learning and string distance similarity
,38.	Rahman Mohammad Nuwaisir and Noman Abdullah Al and Turza Abir Mohammad and Abrar Mohammed Abid and Samee Md Abul Hassan and Rahman M Saifur
,39.	Sarif Sultan Saruar Jahan and Raqeebir Rab and Peom Dutta and Hossain Muhammad Mahdi Hassan Khan and Muhammad Shahariar Karim Badhon and Sumaiya Binte Hassan and
"40.	Sanzana Karim Lora, Ishrat Jahana, Rahad Hussain, Rifat Shahriyar, and A.B.M. Alim Al Islam",A Transformer-based Generative Adversarial Learning to Detect Sarcasm from Bengali Text with Correct Classification of Confusing Text
"41.	Shuha Nabila, Tanzima Hashem, Samiul Anwar and A. B. M. Alim Al Islam",Efficient algorithms for community aware ridesharing
"42.	Md Ashiqur Rahman, Abdullah Aman Tutul, Mahfuza Sharmin, Md Shamsuzzoha Bayzid",BEENE: deep learning-based nonlinear embedding improves batch effect estimation
"43.	Ishrat Jahan, Najla Abdulrahman Al-Nabhan, Jannatun Noor, Masfiqur Rahaman, ABM Alim Al Islam",Leveraging A Smartwatch for Activity Recognition in Salat
"44.	Rudaiba Adnin, Ishita Haque, Sadia Afroz, Alvi Md Ishmam, Sakil Sarkar, Md Kafi Khan, Afsana Mimi, Sriram Chellappan, ABM Alim Al Islam",Focusing on the Unfocused: Corresponding Perspectives on Connectivity among Small-Scale Non-Profit Organizations Working for Street Children in Bangladesh and Their Donors
"45.	J. Noor, N. A. Al-Nabhan and A. B. M. A. A. Islam",RemOrphan: Object Storage Sustainability through Removing Offline-Processed Orphan Garbage Data
"46.	Sarfaraz Newaz, Md Toki Tahmid, Nadia Al-Aboody & A. B. M. Alim Al Islam",A ubiquitous method for predicting underground petroleum deposits based on satellite data
47.	Md Shamsuzzoha Bayzid,Inferring Optimal Species Trees in the Presence of Gene Duplication and Loss: Beyond Rooted Gene Trees
"48.	Punam Biswas, Tanzima Hashem, Muhammad Aamir Cheema, Safest Nearby Neighbor Queries in Road Networks",IEEE Transactions on Intelligent Transportation Systems
"49.	Tanzima Hashem, Matt Duckham, Mahathir Monjur, Fariha Tabassum Islam",Representative dissimilar path queries: accommodating human movement dynamics in road networks
"50.	Nenad Radosevic, Matt Duckham, Mohammad Saiedur Rahaman, Serene Ho, Katherine Williams, Tanzima Hashem, Yaguang Tao",Spatial data trusts: an emerging governance framework for sharing spatial data
"51.	Fariha Tabassum Islam, Tanzima Hashem, Rifat Shahriyar",A Crowd-Enabled Approach for Privacy-Enhanced and Personalized Safe Route Planning for Fixed or Flexible Destinations
"52.	Md Abdullah Al Alamin, Gias Uddin, Sanjay Malakar, Sadia Afroz, Tameem Haider, Anindya Iqbal",Developer discussion topics on the adoption and barriers of low code software development platforms
"53.	Md Jahidul Islam, Ratri Datta, Anindya Iqbal",Actual rating calculation of the zoom cloud meetings app using user reviews on google play store with sentiment annotation of BERT and hybridization of RNN and LSTM
"54.	Minaoar Hossain Tanzil, Masud Sarker, Gias Uddin, Anindya Iqbal",A mixed method study of DevOps challenges
"55.	Ammar Sohail, Muhammad Aamir Cheema, Mohammed Eunus Ali, Adel N Toosi, Hesham A Rakha",Data-driven approaches for road safety: A comprehensive systematic literature review
"56.	Nur Al Hasan Haldar, Jianxin Li, Mohammed Eunus Ali, Taotao Cai, Yunliang Chen, Timos Sellis, Mark Reynolds",Top-k Socio-Spatial Co-Engaged Location Selection for Social Users
"57.	Nabil Ibtehaz, SM Shakhawat Hossain Sourav, Md Shamsuzzoha Bayzid, M Sohel Rahman",Align-gram: Rethinking the Skip-gram Model for Protein Sequence Analysis
