Author Name,Author ID
,CU_
A Low Frequency Band Watermarking with Weighted Correction in the Combined Cosine and Wavelet Transform Domain,CU_A_Low_Frequency_Band_Watermarking_with_Weighted_Correction_in_the_Combined_Cosine_and_Wavelet_Transform_Domain
A.,CU_A.
A. Das,CU_A._Das
A. Iqbal,CU_A._Iqbal
A. M. Mahbub,CU_A._M._Mahbub
A. N. M. R. Karim,CU_A._N._M._R._Karim
ASM Kayes,CU_ASM_Kayes
Aapan Mutsuddy,CU_Aapan_Mutsuddy
Abdul Khaleque and M. S. Arefin,CU_Abdul_Khaleque_and_M._S._Arefin
Abdullah As Sami,CU_Abdullah_As_Sami
Ahatesham Bhuiyana,CU_Ahatesham_Bhuiyana
Ahsan Sadee Tanim,CU_Ahsan_Sadee_Tanim
Al-Sakib Khan Pathan,CU_Al-Sakib_Khan_Pathan
Al-Sakib Khan Pathan and Choong Seon Hong,CU_Al-Sakib_Khan_Pathan_and_Choong_Seon_Hong
Alok Kumar Chowdhury,CU_Alok_Kumar_Chowdhury
Andrey Vavilin,CU_Andrey_Vavilin
Andy Vavilin,CU_Andy_Vavilin
Anik Saha,CU_Anik_Saha
Anik Saha and Kaushik Deb,CU_Anik_Saha_and_Kaushik_Deb
Anik Sen,CU_Anik_Sen
Anika Sadia,CU_Anika_Sadia
Animash Kar and Ashraful Huq Suny,CU_Animash_Kar_and_Ashraful_Huq_Suny
Animash Kar and Kaushik Deb,CU_Animash_Kar_and_Kaushik_Deb
Animesh Chandra Roy,CU_Animesh_Chandra_Roy
Anuva Chowdhury,CU_Anuva_Chowdhury
Arafin Mahamud and Asaduzzaman,CU_Arafin_Mahamud_and_Asaduzzaman
Arifa Sultana,CU_Arifa_Sultana
Arpita Chowdhury,CU_Arpita_Chowdhury
Asaduzzaman,CU_Asaduzzaman
Asaduzzaman & Hoque,CU_Asaduzzaman_&_Hoque
Asaduzzaman and D. M. Hasibul Hasan,CU_Asaduzzaman_and_D._M._Hasibul_Hasan
Asaduzzaman and Hyung Yun Kong,CU_Asaduzzaman_and_Hyung_Yun_Kong
Asaduzzaman and Hyung-Yun Kong,CU_Asaduzzaman_and_Hyung-Yun_Kong
Asaduzzaman and I. H. Sarker,CU_Asaduzzaman_and_I._H._Sarker
Asaduzzaman and M. Chowdhury,CU_Asaduzzaman_and_M._Chowdhury
Asaduzzaman and Md. Mokammel Haque,CU_Asaduzzaman_and_Md._Mokammel_Haque
Ashraf Uddin,CU_Ashraf_Uddin
Assaduzzaman,CU_Assaduzzaman
Ayesha Banu,CU_Ayesha_Banu
Billal Hossain,CU_Billal_Hossain
Byung Goo Choi and Choong Seon Hong,CU_Byung_Goo_Choi_and_Choong_Seon_Hong
Byung-Seok Woo and Kang-Hyun Jo,CU_Byung-Seok_Woo_and_Kang-Hyun_Jo
C. Sheel and M. M. Islam,CU_C._Sheel_and_M._M._Islam
Chen Zhiming,CU_Chen_Zhiming
Chinmoy Bhowmik,CU_Chinmoy_Bhowmik
Chitra Biswas,CU_Chitra_Biswas
Choong Seon Hong and Eui-Nam Huh,CU_Choong_Seon_Hong_and_Eui-Nam_Huh
D. Das,CU_D._Das
Das,CU_Das
Dea Kyu Choi,CU_Dea_Kyu_Choi
Debbrata Kumar Saha,CU_Debbrata_Kumar_Saha
Deepak Kumar Chy.,CU_Deepak_Kumar_Chy.
Dhrubajyoti Das,CU_Dhrubajyoti_Das
Dipanjan Das Roy,CU_Dipanjan_Das_Roy
Dipankar Das,CU_Dipankar_Das
Dipankar Das and Kaushik Deb,CU_Dipankar_Das_and_Kaushik_Deb
Dipon Talukder,CU_Dipon_Talukder
Dipon Talukder and Md Mokammmel Haque,CU_Dipon_Talukder_and_Md_Mokammmel_Haque
Dr. Abu Sayed Md. Latiful Hoque and Mohammad Shamsul Arefin,CU_Dr._Abu_Sayed_Md._Latiful_Hoque_and_Mohammad_Shamsul_Arefin
Dr. Kaushik Deb,CU_Dr._Kaushik_Deb
E. Hoque and M. S. Islam,CU_E._Hoque_and_M._S._Islam
E. Hossain,CU_E._Hossain
Eftekhar Hossain,CU_Eftekhar_Hossain
FFT based Audio Watermarking Method with a Gray Image for Copyright Protection,CU_FFT_based_Audio_Watermarking_Method_with_a_Gray_Image_for_Copyright_Protection
Farhana Shirin Chowdhury,CU_Farhana_Shirin_Chowdhury
Faria Zarin Subah,CU_Faria_Zarin_Subah
