Author Name,Author ID,UID,Aff
tarikul,aiub_author_0,8684,AIUB
fayz-al-asad,aiub_author_1,7891,AIUB
alfarhood,aiub_author_10,6828,AIUB
al-amin,aiub_author_100,7769,AIUB
ahmed,aiub_author_1000,8596,AIUB
abdullah,aiub_author_1001,6765,AIUB
najmol,aiub_author_1002,7949,AIUB
shafiul,aiub_author_1003,7005,AIUB
chowdhury,aiub_author_1004,7012,AIUB
argho,aiub_author_1005,7051,AIUB
suben,aiub_author_1006,8611,AIUB
khandaker,aiub_author_1007,7550,AIUB
ayesha,aiub_author_1008,7071,AIUB
mamun,aiub_author_1009,6743,AIUB
zahan,aiub_author_101,8850,AIUB
zahan,aiub_author_101,UID_7725,AIUB
al-shaikhli,aiub_author_1011,7428,AIUB
hossain,aiub_author_1012,7583,AIUB
jamil,aiub_author_1013,6713,AIUB
hasan,aiub_author_1014,7387,AIUB
ali,aiub_author_1015,113,AIUB
ali,aiub_author_1015,113,AIUB
esha,aiub_author_1016,7417,AIUB
hassan,aiub_author_1018,7710,AIUB
matin,aiub_author_1019,7692,AIUB
n.,aiub_author_102,8169,AIUB
n.,aiub_author_102,UID_7726,AIUB
sikder,aiub_author_1020,8458,AIUB
sankar,aiub_author_1021,8498,AIUB
moniruzzaman,aiub_author_1022,7941,AIUB
basith,aiub_author_1023,7688,AIUB
rabiul,aiub_author_1024,7960,AIUB
chongqi,aiub_author_1025,7121,AIUB
shahjaman,aiub_author_1026,7991,AIUB
mohammad,aiub_author_1027,8064,AIUB
mohammad,aiub_author_1029,8049,AIUB
fahim,aiub_author_103,6742,AIUB
fahim,aiub_author_103,6742,AIUB
mostafizur,aiub_author_1030,7204,AIUB
sajjadul,aiub_author_1031,8479,AIUB
shahriar,aiub_author_1032,6804,AIUB
hossain,aiub_author_1033,7819,AIUB
rowshan,aiub_author_1034,7310,AIUB
tohedul,aiub_author_1035,8767,AIUB
mohammed,aiub_author_1036,8090,AIUB
mahmud,aiub_author_1037,8429,AIUB
wenyu,aiub_author_1038,8820,AIUB
yongsheng,aiub_author_1039,8839,AIUB
s.,aiub_author_104,8409,AIUB
s.,aiub_author_104,UID_7728,AIUB
abdul,aiub_author_1040,271,AIUB
abdul,aiub_author_1042,271,AIUB
habibur,aiub_author_1043,7779,AIUB
mohammad,aiub_author_1044,8053,AIUB
mahmud,aiub_author_1045,7243,AIUB
awal,aiub_author_1046,7602,AIUB
masud,aiub_author_1047,7660,AIUB
bulbul,aiub_author_1048,6720,AIUB
shuvo,aiub_author_105,8576,AIUB
shuvo,aiub_author_105,UID_7729,AIUB
ferdosui,aiub_author_1051,6831,AIUB
sohan,aiub_author_1053,6826,AIUB
abdullah;,aiub_author_1054,7775,AIUB
bin-faisal,aiub_author_1055,6797,AIUB
sajid,aiub_author_1056,7825,AIUB
sabbir,aiub_author_1057,7818,AIUB
tushar,aiub_author_1058,6825,AIUB
riazul,aiub_author_1059,7330,AIUB
md.,aiub_author_106,7971,AIUB
sourav,aiub_author_1060,8600,AIUB
hassan,aiub_author_1061,8187,AIUB
mohammad,aiub_author_1062,8082,AIUB
mamun,aiub_author_1063,8035,AIUB
mustafa,aiub_author_1064,8768,AIUB
nilufar,aiub_author_1065,8212,AIUB
mohammad,aiub_author_1067,8322,AIUB
hossain,aiub_author_1068,7939,AIUB
manzurul,aiub_author_1069,7793,AIUB
sarker,aiub_author_107,8502,AIUB
sarker,aiub_author_107,UID_7730,AIUB
hossain.,aiub_author_1070,7021,AIUB
hoque,aiub_author_1072,8430,AIUB
khandaker,aiub_author_1073,7455,AIUB
das,aiub_author_1074,7372,AIUB
das,aiub_author_1074,7453,AIUB
khan,aiub_author_1075,6993,AIUB
abdus,aiub_author_1077,6995,AIUB
wardah,aiub_author_1078,8816,AIUB
manzurul,aiub_author_1079,7219,AIUB
m.,aiub_author_108,7601,AIUB
m.,aiub_author_108,UID_7731,AIUB
siyamul,aiub_author_1080,7999,AIUB
manjurul,aiub_author_1081,7202,AIUB
mohaimen-,aiub_author_1082,8042,AIUB
haram,aiub_author_1083,7384,AIUB
chang-sik,aiub_author_1084,7117,AIUB
raiyan,aiub_author_1085,7445,AIUB
shihab,aiub_author_1086,8786,AIUB
sakibjamil,aiub_author_1087,8481,AIUB
shariful,aiub_author_1088,7443,AIUB
tanvir,aiub_author_1089,6975,AIUB
masum,aiub_author_109,7754,AIUB
masum,aiub_author_109,UID_7732,AIUB
beg,aiub_author_1090,8243,AIUB
beg,aiub_author_1090,UID_7769,AIUB
ismail,aiub_author_1093,6808,AIUB
sathasivam.,aiub_author_1094,8407,AIUB
sohail,aiub_author_1095,7600,AIUB
ali,aiub_author_1096,113,AIUB
ali,aiub_author_1096,113,AIUB
al-kouz,aiub_author_1097,8810,AIUB
chu,aiub_author_1098,8838,AIUB
chu,aiub_author_1098,8838,AIUB
thounthong,aiub_author_1099,8261,AIUB
safran,aiub_author_11,8021,AIUB
md.,aiub_author_110,8434,AIUB
md.,aiub_author_110,UID_7733,AIUB
roushanara,aiub_author_1100,8378,AIUB
mohammad,aiub_author_1101,7235,AIUB
chowdhury,aiub_author_1102,7012,AIUB
singh,aiub_author_1103,8583,AIUB
singh,aiub_author_1103,UID_7784,AIUB
v.k.,aiub_author_1104,8796,AIUB
v.k.,aiub_author_1104,UID_7785,AIUB
arora,aiub_author_1105,7055,AIUB
arora,aiub_author_1105,UID_7786,AIUB
p.,aiub_author_1106,8262,AIUB
p.,aiub_author_1106,UID_7787,AIUB
a.,aiub_author_1108,6718,AIUB
a.,aiub_author_1108,6718,AIUB
bhattacharya,aiub_author_1109,7098,AIUB
molla,aiub_author_111,8102,AIUB
molla,aiub_author_111,UID_7734,AIUB
s.,aiub_author_1110,8408,AIUB
s.,aiub_author_1110,UID_7790,AIUB
md.m.,aiub_author_1111,8014,AIUB
md.m.,aiub_author_1111,UID_7791,AIUB
md.s.,aiub_author_1112,8016,AIUB
md.s.,aiub_author_1112,UID_7792,AIUB
onik,aiub_author_1113,8252,AIUB
onik,aiub_author_1113,UID_7793,AIUB
md.m.h.,aiub_author_1114,8015,AIUB
md.m.h.,aiub_author_1114,UID_7794,AIUB
mahmudul,aiub_author_1115,7658,AIUB
stamati,aiub_author_1116,8697,AIUB
loucopoulos,aiub_author_1117,8272,AIUB
nikolaidou,aiub_author_1118,7743,AIUB
yeasmin,aiub_author_1119,8837,AIUB
yeasmin,aiub_author_1119,UID_7795,AIUB
md.,aiub_author_112,7844,AIUB
kuri,aiub_author_1120,7562,AIUB
kuri,aiub_author_1120,UID_7796,AIUB
r.,aiub_author_1121,8313,AIUB
r.,aiub_author_1121,UID_7797,AIUB
mahamudul,aiub_author_1122,7723,AIUB
a.r.m.,aiub_author_1123,6754,AIUB
a.r.m.,aiub_author_1123,6754,AIUB
pathan,aiub_author_1124,8483,AIUB
a.q.m.,aiub_author_1125,6754,AIUB
a.q.m.,aiub_author_1125,6754,AIUB
riaz,aiub_author_1126,8358,AIUB
riaz,aiub_author_1126,UID_7800,AIUB
h.,aiub_author_1127,7369,AIUB
h.,aiub_author_1127,7369,AIUB
mohammad,aiub_author_1128,8078,AIUB
mehedi,aiub_author_1129,7799,AIUB
putul,aiub_author_113,8311,AIUB
putul,aiub_author_113,UID_7735,AIUB
siyamul,aiub_author_1130,7835,AIUB
onik,aiub_author_1131,6740,AIUB
onik,aiub_author_1131,UID_7802,AIUB
m.,aiub_author_1132,7645,AIUB
m.,aiub_author_1133,7674,AIUB
m.,aiub_author_1133,UID_7803,AIUB
m.,aiub_author_1134,7643,AIUB
m.,aiub_author_1134,UID_7804,AIUB
uddin,aiub_author_1135,8785,AIUB
uddin,aiub_author_1135,UID_7788,AIUB
khandaker,aiub_author_1136,7201,AIUB
a.g.m.,aiub_author_1137,6750,AIUB
razib,aiub_author_1138,7223,AIUB
noshin,aiub_author_1139,7498,AIUB
r.,aiub_author_114,8314,AIUB
r.,aiub_author_114,UID_7736,AIUB
sajib,aiub_author_1140,8477,AIUB
mohammad,aiub_author_1141,7232,AIUB
hossain,aiub_author_1143,7227,AIUB
ara,aiub_author_1144,7363,AIUB
ara,aiub_author_1144,7363,AIUB
din,aiub_author_1145,8404,AIUB
tarek,aiub_author_1146,8394,AIUB
biswas,aiub_author_1147,7346,AIUB
sharafuddin,aiub_author_1148,8406,AIUB
faruque,aiub_author_1149,7515,AIUB
saikat,aiub_author_115,8475,AIUB
haque,aiub_author_1150,7025,AIUB
haque,aiub_author_1150,7025,AIUB
faruque,aiub_author_1151,7515,AIUB
sharafuddin,aiub_author_1152,8432,AIUB
hasan,aiub_author_1153,7387,AIUB
hossain,aiub_author_1154,6731,AIUB
ara,aiub_author_1155,7363,AIUB
ara,aiub_author_1155,7363,AIUB
biswas,aiub_author_1156,7346,AIUB
haque,aiub_author_1157,7025,AIUB
yasmin,aiub_author_1158,8489,AIUB
bin-faisal,aiub_author_1159,6797,AIUB
ratan,aiub_author_116,7965,AIUB
rahid,aiub_author_1160,8403,AIUB
foysal,aiub_author_1161,7338,AIUB
arupkumar,aiub_author_1162,7057,AIUB
shahidul,aiub_author_1163,7989,AIUB
shams,aiub_author_1165,8656,AIUB
hossain,aiub_author_1166,7979,AIUB
mahamud,aiub_author_1167,7631,AIUB
tehjib,aiub_author_1168,7680,AIUB
hossain,aiub_author_1169,8846,AIUB
farzana,aiub_author_117,7065,AIUB
pramanik,aiub_author_1170,6991,AIUB
akter1,aiub_author_1171,6833,AIUB
anowar,aiub_author_1172,7043,AIUB
michael,aiub_author_1174,8028,AIUB
connie,aiub_author_1175,7132,AIUB
hossain,aiub_author_1176,7003,AIUB
beg,aiub_author_1177,7096,AIUB
beg,aiub_author_1177,UID_7807,AIUB
beg,aiub_author_1178,7097,AIUB
beg,aiub_author_1178,UID_7808,AIUB
khan,aiub_author_1179,7548,AIUB
khan,aiub_author_1179,UID_7809,AIUB
saydul,aiub_author_118,8505,AIUB
prosenjit,aiub_author_1180,8307,AIUB
prodan,aiub_author_1181,7432,AIUB
sheikh,aiub_author_1182,7995,AIUB
musaddiq,aiub_author_1183,8160,AIUB
yeasmin,aiub_author_1184,8124,AIUB
mahadi,aiub_author_1185,7917,AIUB
mostafa,aiub_author_1186,8111,AIUB
shahjalal,aiub_author_1187,7543,AIUB
chowdhury,aiub_author_1188,7012,AIUB
hanif,aiub_author_1189,7781,AIUB
zafril,aiub_author_119,8849,AIUB
