Author Name,Author ID
"""An efficient algorithm to detect common ancestor genes for non-overlapping inversion","CU_""An_efficient_algorithm_to_detect_common_ancestor_genes_for_non-overlapping_inversion"
"""Butterfly detection and classification techniques: A review","CU_""Butterfly_detection_and_classification_techniques:_A_review"
"""Combination of SVM","CU_""Combination_of_SVM"
"""Extending the Knowledge Intensive Genetic Algorithm Based Supervised Concept Learner to Adopt Continuous Attributes","CU_""Extending_the_Knowledge_Intensive_Genetic_Algorithm_Based_Supervised_Concept_Learner_to_Adopt_Continuous_Attributes"
"""Nighttime Vehicle Detection Methods Based on Headlight Feature: A Review","CU_""Nighttime_Vehicle_Detection_Methods_Based_on_Headlight_Feature:_A_Review"
$mathbb{R}^3,CU_$mathbb{R}^3
& Acharjee,CU_&_Acharjee
& Ahmed,CU_&_Ahmed
& Alam,CU_&_Alam
& Alassafi,CU_&_Alassafi
& Amin,CU_&_Amin
& Chang,CU_&_Chang
& Chowdhury,CU_&_Chowdhury
& Das,CU_&_Das
& Ferdous,CU_&_Ferdous
& Iqbal,CU_&_Iqbal
& Islam,CU_&_Islam
& Jamal,CU_&_Jamal
& Kolberg,CU_&_Kolberg
& Moniruzzaman,CU_&_Moniruzzaman
& Nahid,CU_&_Nahid
& Numao,CU_&_Numao
& Poet,CU_&_Poet
& Rabbi,CU_&_Rabbi
& Rahman,CU_&_Rahman
& Shahidur Rahman,CU_&_Shahidur_Rahman
& Shimamura,CU_&_Shimamura
& jubayer ahamed,CU_&_jubayer_ahamed
& molla,CU_&_molla
& parvin,CU_&_parvin
& soumen basu,CU_&_soumen_basu
& uddin,CU_&_uddin
(May 2016).,CU_(May_2016).
(Non-)Biprojectivity of Simplicial Polyhedra,CU_(Non-)Biprojectivity_of_Simplicial_Polyhedra
) shahadat hossain,CU_)_shahadat_hossain
*,CU_*
. Azmin,CU_._Azmin
. Das,CU_._Das
...,CU_...
... & Rahman,CU_..._&_Rahman
...sala uddin pathan,CU_...sala_uddin_pathan
09 March 2021.,CU_09_March_2021.
1 a. k. m. m. hossain,CU_1_a._k._m._m._hossain
1 h. ara,CU_1_h._ara
1 k. m. e. hasan,CU_1_k._m._e._hasan
1 m. k. biswas,CU_1_m._k._biswas
1 s. m. sharafuddin,CU_1_s._m._sharafuddin
1-15,CU_1-15
10. M. S. Hossain,CU_10._M._S._Hossain
10th International Conference on Ad hoc Networks,CU_10th_International_Conference_on_Ad_hoc_Networks
10th International Conference on Geographic Information Science (GIScience),CU_10th_International_Conference_on_Geographic_Information_Science_(GIScience)
10th International Conference on Networking Systems,CU_10th_International_Conference_on_Networking_Systems
10th international conference on Computer,CU_10th_international_conference_on_Computer
11,CU_11
