Author Name,Author ID,UID
A Ahmad,brac_author_438,2
A Al Mamun,brac_author_456,3
A Al Muksit,brac_author_420,4
A Al Saud,brac_author_463,5
A B M Alim Al Islam,buet_author_396,6
A Bhattacharjee,brac_author_540,7
A Das,brac_author_527,14
A Datta,brac_author_37,15
A Dehzangi,brac_author_415,16
A Firoze,nsu_author_1383,17
A Framework for Checking,buet_author_32,19
A Heuristic for Maximum Greedy Consensus Tree Problem,buet_author_1354,20
A Hybrid Encryption Technique based on DNA Cryptography,buet_author_1404,21
A Hybrid P2P Protocol for Real-time Applications,buet_author_2536,22
A Jahan,sust_author_115,23
A K M Bahalul Haque,nsu_author_268,24
A K M Mahbubur Rahman,du_author_419,25
A K M Shahariar Azad Rabby,nsu_author_1339,26
A Kabir,brac_author_568,27
A Khatun,brac_author_510,28
A Khuda,nsu_author_557,29
A Linear Algorithm for Resource Tripartitioning Triconnected Planar Graphs,buet_author_1020,30
A Linguistically Sortable Bengali Coding System,buet_author_1142,31
A Low Frequency Band Watermarking with Weighted Correction in the Combined Cosine and Wavelet Transform Domain,cuet_author_87,32
A M Esfar-E-Alam and Md Ashraful Alam,brac_author_629,33
A Mahbub,brac_author_411,34
A Mathews,brac_author_564,35
A Model for Automatic Partial Evaluation of SQL Queries,buet_author_1456,36
A Motion-Aware Approach for Efficient Evaluation of Continuous Queries on 3D Object Databases,buet_author_996,37
A Multicast-based MAC Protocol for Improving Data Transmission Efficiency in Industrial WSNs.,ju_author_379,38
A Necessary Condition,buet_author_733,39
A Network-based Seamless Handover scheme for Multi-homed devices,buet_author_2062,40
A New Adaptive Merging,buet_author_1031,41
A New Adaptive Strategy for Pruning,buet_author_2395,42
A New Algorithm for Systems of Linear Equations,buet_author_2785,43
A New Approach to File Encryption,buet_author_2544,44
A New Constructive Algorithm for Architectural,buet_author_1037,45
A New Constructive Algorithm for Designing,buet_author_2442,46
A New Crossover Operator,buet_author_1155,47
A New Efficient Algorithm for Computing the Longest Common Subsequence,buet_author_1045,48
A New Histogram-Shifting-Imitated Embedding Scheme,buet_author_663,49
A New Technique for Database Fragmentation in Distributed Systems,buet_author_1008,50
A New algorithm to Design Compact Two-Hidden Layer Artificial Neural Networks,buet_author_1157,51
A Novel Anonymization Technique to Trade-off Location Privacy,buet_author_2285,52
A Novel Approach for VNF Requirement Prediction Using DNN,buet_author_1641,53
A Novel Block Matching Algorithm for Motion Vector Estimation,buet_author_2327,54
A Novel Feedback Based Fast Adaptive Trust Model for P2P Networks,buet_author_2297,55
A Novel Image Steganography using Multiple LSB substitution,buet_author_1564,56
A Novel Scheduling,buet_author_2006,57
A Nowshin,brac_author_743,58
A Parametric I/O Model for Modern Storage Devices,buet_author_1473,59
A Prediction Based Replica Selection Strategy for Reducing Tail Latency in Distributed Systems,buet_author_1541,60
A Privacy-Enhanced,buet_author_1489,61
A Quorum Based Distributed Mutual Exclusion Algorithm for Multi-Level Clustered Network Architecture,buet_author_2461,62
A Rahman,brac_author_426,63
