Author ID,Paper ID,Title
aiub_author_0,aiub_paper_0,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
aiub_author_1,aiub_paper_0,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
aiub_author_2,aiub_paper_0,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
aiub_author_3,aiub_paper_0,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
aiub_author_4,aiub_paper_0,natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
aiub_author_5,aiub_paper_1,linear-time rectilinear drawings of subdivisions of triconnected cubic planar graphs with orthogonally convex faces
aiub_author_6,aiub_paper_1,linear-time rectilinear drawings of subdivisions of triconnected cubic planar graphs with orthogonally convex faces
aiub_author_7,aiub_paper_1,linear-time rectilinear drawings of subdivisions of triconnected cubic planar graphs with orthogonally convex faces
aiub_author_8,aiub_paper_2,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
aiub_author_9,aiub_paper_2,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
aiub_author_10,aiub_paper_2,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
aiub_author_11,aiub_paper_2,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
aiub_author_12,aiub_paper_2,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
aiub_author_13,aiub_paper_2,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
aiub_author_14,aiub_paper_3,a comparative review on ddos attack detection using machine learning techniques
aiub_author_15,aiub_paper_3,a comparative review on ddos attack detection using machine learning techniques
aiub_author_16,aiub_paper_3,a comparative review on ddos attack detection using machine learning techniques
aiub_author_17,aiub_paper_3,a comparative review on ddos attack detection using machine learning techniques
aiub_author_18,aiub_paper_3,a comparative review on ddos attack detection using machine learning techniques
aiub_author_19,aiub_paper_4,deep learning based cyberbullying detection in bangla language
aiub_author_20,aiub_paper_4,deep learning based cyberbullying detection in bangla language
aiub_author_21,aiub_paper_4,deep learning based cyberbullying detection in bangla language
aiub_author_22,aiub_paper_5,a fast-moving user-group detection algorithm for handover mitigation in ultra-dense cellular network
