Author Name,Author ID,UID
tarikul,aiub_author_0,1
fayz-al-asad,aiub_author_1,2
alfarhood,aiub_author_10,3
al-amin,aiub_author_100,4
ahmed,aiub_author_1000,5
abdullah,aiub_author_1001,6
najmol,aiub_author_1002,7
shafiul,aiub_author_1003,8
chowdhury,aiub_author_1004,9
argho,aiub_author_1005,10
suben,aiub_author_1006,11
khandaker,aiub_author_1007,12
ayesha,aiub_author_1008,13
mamun,aiub_author_1009,14
zahan,aiub_author_101,15
zahan,aiub_author_101,15
al-shaikhli,aiub_author_1011,16
hossain,aiub_author_1012,17
jamil,aiub_author_1013,18
hasan,aiub_author_1014,19
ali,aiub_author_1015,20
ali,aiub_author_1015,20
esha,aiub_author_1016,21
hassan,aiub_author_1018,22
matin,aiub_author_1019,23
n.,aiub_author_102,24
n.,aiub_author_102,24
sikder,aiub_author_1020,25
sankar,aiub_author_1021,26
moniruzzaman,aiub_author_1022,27
basith,aiub_author_1023,28
rabiul,aiub_author_1024,29
chongqi,aiub_author_1025,30
shahjaman,aiub_author_1026,31
mohammad,aiub_author_1027,32
mohammad,aiub_author_1029,32
fahim,aiub_author_103,33
fahim,aiub_author_103,33
mostafizur,aiub_author_1030,34
sajjadul,aiub_author_1031,35
shahriar,aiub_author_1032,36
hossain,aiub_author_1033,17
rowshan,aiub_author_1034,37
tohedul,aiub_author_1035,38
mohammed,aiub_author_1036,39
mahmud,aiub_author_1037,40
wenyu,aiub_author_1038,41
yongsheng,aiub_author_1039,42
s.,aiub_author_104,43
s.,aiub_author_104,43
abdul,aiub_author_1040,44
abdul,aiub_author_1042,44
habibur,aiub_author_1043,45
mohammad,aiub_author_1044,32
mahmud,aiub_author_1045,40
awal,aiub_author_1046,46
masud,aiub_author_1047,47
bulbul,aiub_author_1048,48
shuvo,aiub_author_105,49
shuvo,aiub_author_105,49
ferdosui,aiub_author_1051,50
sohan,aiub_author_1053,51
abdullah;,aiub_author_1054,52
bin-faisal,aiub_author_1055,53
sajid,aiub_author_1056,54
sabbir,aiub_author_1057,55
tushar,aiub_author_1058,56
riazul,aiub_author_1059,57
md.,aiub_author_106,58
sourav,aiub_author_1060,59
hassan,aiub_author_1061,22
mohammad,aiub_author_1062,32
mamun,aiub_author_1063,14
mustafa,aiub_author_1064,60
nilufar,aiub_author_1065,61
mohammad,aiub_author_1067,32
hossain,aiub_author_1068,17
manzurul,aiub_author_1069,62
sarker,aiub_author_107,63
sarker,aiub_author_107,63
hossain.,aiub_author_1070,64
hoque,aiub_author_1072,65
khandaker,aiub_author_1073,12
das,aiub_author_1074,66
das,aiub_author_1074,66
khan,aiub_author_1075,67
abdus,aiub_author_1077,68
wardah,aiub_author_1078,69
manzurul,aiub_author_1079,62
m.,aiub_author_108,70
m.,aiub_author_108,70
siyamul,aiub_author_1080,71
manjurul,aiub_author_1081,72
mohaimen-,aiub_author_1082,73
haram,aiub_author_1083,74
chang-sik,aiub_author_1084,75
raiyan,aiub_author_1085,76
shihab,aiub_author_1086,77
sakibjamil,aiub_author_1087,78
shariful,aiub_author_1088,79
tanvir,aiub_author_1089,80
masum,aiub_author_109,81
masum,aiub_author_109,81
beg,aiub_author_1090,82
beg,aiub_author_1090,82
ismail,aiub_author_1093,83
sathasivam.,aiub_author_1094,84
sohail,aiub_author_1095,85
ali,aiub_author_1096,20
ali,aiub_author_1096,20
al-kouz,aiub_author_1097,86
chu,aiub_author_1098,87
chu,aiub_author_1098,87
thounthong,aiub_author_1099,88
safran,aiub_author_11,89
