Authors,Title
"Musfequa Rahman, Kaushik Deb, Pranab Kumar Dhar, Tetsuya Shimamura",ADBNet: An Attention-Guided Deep Broad Convolutional Neural Network for the Classification of Breast Cancer Histopathology Images
"Md Al-Mamun Provath, Kaushik Deb, Kang Hyun Jo",XAI-Driven Lightweight Multiscale ConvLSTM Architecture for Video Violence Detection
"GM Sakhawat Hossain, Kaushik Deb, Iqbal H Sarker",An Enhanced Feature-Based Hybrid Approach for Adversarial PDF Malware Detection
"Ayesha Banu, Sabiha Anan, Kaushik Deb",Removing Rain from Single Image Using Atrous U-Net and GAN
"S Hossain, K Deb, S Sakib, IH Sarker",A hybrid deep learning framework for daily living human activity recognition with cluster-based video summarization
"GM Sakhawat Hossain, Kaushik Deb, Helge Janicke, Iqbal H Sarker",PDF Malware Detection: Towards Machine Learning Modeling with Explainability Analysis
"Md Ashiqur Rahman, Shuhena Salam Aonty, Kaushik Deb",Estimation from Human Facial Expression Using Deep Neural Network
"Md Al-Mamun Provath, Kaushik Deb, Pranab Kumar Dhar, Tetsuya Shimamura",Classification of Lung and Colon Cancer Histopathological Images Using Global Context Attention Based Convolutional Neural Network
"Abdullah As Sami, Saadman Sakib, Kaushik Deb, Iqbal H Sarker",Improved YOLOv5-Based Real-Time Road Pavement Damage Detection in Road Infrastructure Management
"Md Ashiqur Rahman, Shuhena Salam Aonty, Kaushik Deb, Iqbal H Sarker",Attention-Based Human Age Estimation from Face Images to Enhance Public Security
"Dhrubajyoti Das, Kaushik Deb, Taufique Sayeed, Pranab Kumar Dhar, Tetsuya Shimamura",Outdoor Trash Detection in Natural Environment Using a Deep Learning Model
"huhena Salam Aonty, Kaushik Deb, Dhrubajyoti Das, Kang-Hyun Jo",Human Pose Estimation Using Parallel Architecture
"Md Shihab Hossain, Kaushik Deb, Syed Md Minhaz Hossain, Kang-Hyun Jo",Daily Living Human Activity Recognition Using Deep Neural Networks
"Md Al-Mamun Provath, Kaushik Deb, Kang-Hyun Jo",Classification of Lung and Colon Cancer Using Deep Learning Method
"Musfequa Rahman, Kaushik Deb, Kang-Hyun Jo",Classifying Breast Cancer Using Deep Convolutional Neural Network Method
"Faria Zarin Subah, Kaushik Deb",A comprehensive study on atlas-based classification of autism spectrum disorder using functional connectivity features from resting-state functional magnetic resonance imaging
"Md Khaliluzzaman, Ashraf Uddin, Kaushik Deb, Md Junayed Hasan",Person Recognition Based on Deep Gait: A Survey
"Saadman Sakib, Anik Sen, Kaushik Deb",A Transfer Learning Approach to Recognize Pedestrian Attributes
"Promiti Chakraborty, Sabiha Anan, Kaushik Deb",Flood Region Detection Based on K-Means Algorithm and Color Probability
"Shuhena Salam Aonty, Kaushik Deb, Moumita Sen Sarma, Pranab Kumar Dhar, Tetsuya Shimamura",Multi-Person Pose Estimation using Group-Based Convolutional Neural Network Model
"Md. Azhar Uddin, Tahmina Khanam, Muhammad Ibrahim Khan, Kaushik Deb and Kang-Hyun Jo",Shadow processing with color model adjustment and texture analysis
"Md Mahadi Hasan, Saadman Sakib, Kaushik Deb",Road Damage Detection and Classification using Deep Neural Network
"Shuhena Salam Aonty, Moumita Sen Sarma, Kaushik Deb",Jointly Learning Structure for Human Pose Estimation using Convolutional Neural Networks
"Maisha Maimuna, Syed Md Minhaz Hossain, Kaushik Deb",Masked Face Inpainting Using Generative Adversarial Network Based Architecture
"Dhrubajyoti Das, Anik Sen, Syed Md Minhaz Hossain, Kaushik Deb",Trash Image Classification Using Transfer Learning Based Deep Neural Network
"Syed Md Minhaz Hossain, Anik Sen, Kaushik Deb",Detecting Spam SMS Using Self Attention Mechanism
