Authors,Title
"tarikul islam, md. fayz-al-asad, m. a. khatun, n. parveen, hijaz ahmed and sameh askarh",natural convection heat transport performance of nanofluids under the influence of inclined magnetic field
"md. manzurul hasan, debajyoti mondal, and md. saidur rahman",linear-time rectilinear drawings of subdivisions of triconnected cubic planar graphs with orthogonally convex faces
"md. khairul alam mazumder,m. f. mridha, sultan alfarhood, mejdl safran, md. abdullah-al-jubair, dunren che",a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of image
"zerin hasan sahosh, azraf faheem, marzana bintay tuba, md. istiaq ahmed, syeda anika tasnim",a comparative review on ddos attack detection using machine learning techniques
"sristy shidul nath,razuan karim, sristy shidul nath and mahdi h. mirazand mahdi h. miraz",deep learning based cyberbullying detection in bangla language
nusrat jahan anannya and md mehedi hasan,a fast-moving user-group detection algorithm for handover mitigation in ultra-dense cellular network
"md. helal miah, mayeen uddin khandaker, mohammad aminul islam, mohammad nur-e-alam, hamid osman and md. habib ullah","perovskite materials in x-ray detection and imaging: recent progress, challenges, and future prospects"
"md. roni islam, m. k. r. khan, md. sarowar hossain, m. m. rahman, m. mahbubul haque, m. aliuzzaman, m. k. alame and m. s. i. sarker","structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
"ashraful goni, md. umor faruk jahangir, rajarshi roy chowdhury","a study on cyber security: analyzing current threats, navigating complexities, and implementing prevention strategies"
"mohammad mahmudul hasan, marcelo corrales, george kousiouris, dimosthenis anagnostopoulos",cidata: an ontology-based framework for international data transfers and gdpr compliance
"md. khairul alam mazumder, m. f. mridha, sultan alfarhood, mejdl safran, md. abdullah-al-jubair, dunren che",a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
bithi paul,"biosynthesis of silver nanoparticles by banana pulp extract: characterizations, antibacterial activity, and bioelectricity generation"
"w. a. khan, m.j. uddin",nano-bioconvective anisotropic slip flow in anisotropic porous medium with coriolis force effects
"jahidul islam, mahmud shareef, rubel anwar, sajeda akter, md. habib ullah, hamid osman, ismail m.m. rahman, mayeen uddin khandaker, faisal islam chowdhury",a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
md. faruk abdullah al sohan,unmasking deception: a comprehensive survey on fake news detection strategies and technologies
"rifat al mamun rudro, md. faruk abdullah al sohan, afroza nahar",enhancing academic integrity for bangladesh's educational landscape
rifath mahmud,emotion detection using machine learning: an analytical review
"md. nur alam, mujahid iqbal, mohammad hassan, md. fayz-al-asad, muhammad sajjad hossain, cemil tunç","bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
dipta gomes,classification of food objects using deep convolutional neural network using transfer learning
"md. tanvir hasan and mufti mahmud md. shamsul arefin,mohammed mostafizur rahman","a topical review on enabling technologies for the internet of medical things: sensors, devices, platforms, and applications"
"md. arifuzzaman, tusar saha, jiban podder, fahad al-bin, hari narayan das",effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
most. nadia tamanna,numerical investigation of heat transfer enhancement on tangent hyperbolic fluid over a stretching sheet with an inclined magnetic field filled with hybrid nanofluids
"s. s. billah, m. s. hossain, md. fayz-al-asad, m. s. i. mallik, s. c. paul, m. j. h. munshi and m. m. a. sarker",free convection at different locations of adiabatic elliptic blockage in a square enclosure
zasmin haque,marburg virus and risk factor among infected population: a modeling study
bithi paul,biosynthesis and characterizations of silver nanoparticles by using green banana peel extract: evaluation of their antibacterial and electrical performances
"rakin s. aftab, md. kais k. emon, sanjana f. anny, durjoy sarker, md. mazid-ul-haque",security analysis in online transaction systems: a proposed framework
"md. fayz-al-asad, f. mebarek-oudina, h. vaidya, md. shamim hasan, md. manirul alam sarker and a. i. ismail",finite element analysis for magneto-convection heat transfer performance in vertical wavy surface enclosure: fin size impact
"h ara1, s a tarek2, m k biswas3, s m s al-din4, e hoque1, k m e hasan1, a k m m hossain1, s b faruque1, y haque1 and s m sharafuddin1",investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
dr. muhammad firoz mridha,leveraging deep neural networks to uncover unprecedented levels of precision in the diagnosis of hair and scalp disorders
"md rifat hossan, foyasl ahamed nirob, arafat islam, tanjim mahmud rakin, md al-amin",a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
"zahan, n., fahim, s. a., shuvo, md. s. h., sarker, m., masum, s. md., & molla, md. a. i.",fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
"putul, r. a., fahim, s. a., masum, s. md., & molla, md. a. i.",fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
dr. muhammad firoz mridha,cauli-det: enhancing cauliflower disease detection with modified yolov8
"saikat baul, md. ratan rana, farzana bente alam.",a real-time light-weight computer vision application for driver’s drowsiness detection
"saydul akbar murad, zafril rizal m. azmi, abu jafar md. muzahid, md. murad hossain sarker, m. saef ullah miah, md. khairul bashar bhuiyan, nick rahimi, anupam kumar bairagi",priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
"md saef ullah miah, md mohsin kabir, talha bin sarwar, mejdl safran, sultan alfarhood & m. f. mridha",a multimodal approach to cross‑lingual sentiment analysis with ensemble of transformer and llm
"hafijur rahman, md. soriful islam, abul khair, md. shohag hossain reyad",a study on the numerical accuracy and efficiency of the bisection method in finding nth roots of positive real numbers
dr. muhammad firoz mridha,explainable federated learning for privacy-preserving bangla sign language detection
dr. muhammad firoz mridha,indicdialogue: a dataset of subtitles in 10 indic languages for indic language modeling
dr. muhammad firoz mridha,"explainable ai approaches in deep learning: advancements, applications and challenges"
dr. muhammad firoz mridha,a machine learning approach for vocal fold segmentation and disorder classification based on ensemble method
