Authors,Title
"Sarwar, H., Hossain, S., Rahman, M., Ahmed, S., Akter, N., & Rahman, C. M.",Selection of an optimal set of features for bengali character recognition
"Rahman, C. M., & Numao, M.",Top-down induction of recursive programs from small number of sparse examples
"of Fron. IOS Press.

Nasreen, Hossain, S., Sarwar, H., & Rahman, C. M.",Development of a recognizer for Bangla text: Present status and future challenges
"Farid, D. M., Rahman, M. Z., & Rahman, C. M.",Mining complex network data for adaptive intrusion detection
", Data Mining. InTech.

Hassan, M. A., Khan, R. R., Kabir, M. F., & Rahman, C. M.",Finding the appropriate meaning of polysemous words using context dependency
".

Huda, M. N., Hasan, M. M., Hassan, F., Kotwal, M. R. A., Muhammad, G., & Rahman, C. M.",Articulatory feature extraction for speech recognition using neural network
"Siddiqi, F. A., & Rahman, C. M.",Evolutionary multi-objective whale optimization algorithm
".

Farid, D. M., Maruf, G. M., & Rahman, C. M.",A new approach of Boosting using decision tree classifier for classifying noisy data
".

Mridha, M. F., Hossain, M. Z., Banik, M., Huda, M. N., Rahman, C. M., & Das, J. K.",Development of grammatical attributes for Bangla root and primary suffix for universal networking language
"Mridha, M. F., Banik, M., Nawab Yousuf Ali, M., Huda, M. N., Rahman, C. M., & Das, J. K.",Formation of Bangla word dictionary compatible with UNL structure
"bcfbc

Kotwal, M. R. A., Hossain, M. S., Hassan, F., Muhammad, G., Huda, M. N., & Rahman, C. M.",Bangla phoneme recognition using hybrid features
"Mridha, M. F., Huda, M. N., Rahman, C. M., & Das, J. K.","Development of morphological rules for Bangla root, verbal suffix and primary suffix for universal networking language"
".

Faisal Kabir, M., Chowdury, H. A. M., Dahal, K., Hossain, A., & Rahman, C. M.",Disjunctive naïve bayesian classifier to enhance accuracy for dynamic prediction
"Md. Farid, D., Darmont, J., Harbi, N., & Rahman, C. M.",A new supervised learning algorithm using naïve Bayesian classifier
".

Banik, M., Saha, A. K., Kotwal, M. R. A., Huda, M. N., & Rahman, C. M.",Distinctive phonetic feature extraction for Japanese language
". SKIMA.

Shahadat Hossain, M., Kotwal, M. R. A., Banik, M., Hassan, F., Hasan, M. M., Huda, M. N., & Rahman, C. M.",Preparation of Bangla speech corpus for phoneme recognition
". SKIMA.

 Hossain, S., Akter, N., Faqruddin Ali Azam, S. M., Sarwar, H., & Rahman, C. M.",Comparative analysis on feature vectors for printed Bangla OCR
"rd International Conference on Software, Knowledge and Information Management and Applications.

Zia, M. Z. K., Rahman, D. M. F., & Rahman, C. M.",Two-level dictionary-based text compression scheme
"Gani, M. O., Mehedi, I. J., Seraj, M., Sarwar, H., & Rahman, C. M.",Prediction of the density of active wireless device using markov model
"Mahmud, J., & Rahman, C. M.",On analysis of multi-dimensional features for signature verification
"rd International Conference on Electrical and Computer Engineering.

Rahman, a K. M. A., & Rahman, C. M.",A new approach for compressing color images using neural network
"st National Conference on Computer and Information Systems.

Rahman, C. M., & Numao, M.",Learning simple recursive concepts by discovering missing examples
"th International Workshop on Inductive Logic Programming.

Rahman, C. M., & Numao, M.",Constructive induction for recursive programs
